framework,path,compileSdkVersion,targetSdkVersion,minSdkVersion
android,repositories/googlesamples/android-instant-apps/aab-simple/build.gradle,,,
android,repositories/googlesamples/android-instant-apps/aab-simple/app/build.gradle,28,28,21
android,repositories/googlesamples/android-instant-apps/storage-api/build.gradle,,,
android,repositories/googlesamples/android-instant-apps/storage-api/app/build.gradle,,,
android,repositories/googlesamples/android-nearby/messages/NearbyBackgroundBeacons/build.gradle,,,
android,repositories/googlesamples/android-nearby/messages/NearbyBackgroundBeacons/app/build.gradle,23,23,9
android,repositories/googlesamples/android-nearby/messages/NearbyDevices/build.gradle,,,
android,repositories/googlesamples/android-nearby/messages/NearbyDevices/app/build.gradle,23,23,9
android,repositories/googlesamples/android-nearby/connections/rockpaperscissors/build.gradle,,,
android,repositories/googlesamples/android-nearby/connections/rockpaperscissors/app/build.gradle,28,28,23
android,repositories/googlesamples/android-nearby/connections/walkietalkie/build.gradle,,,
android,repositories/googlesamples/android-nearby/connections/walkietalkie/app/build.gradle,28,28,16
android,repositories/googlesamples/android-AppUsageStatistics/build.gradle,,,
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/build.gradle,,,
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/library/build.gradle,29,29,15
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/checks/build.gradle,,,
android,repositories/googlesamples/android-custom-lint-rules/android-studio-2/build.gradle,,,
android,repositories/googlesamples/android-custom-lint-rules/android-studio-4/build.gradle,,,
android,repositories/googlesamples/android-custom-lint-rules/android-studio-4/library/build.gradle,29,29,15
android,repositories/googlesamples/android-custom-lint-rules/android-studio-4/checks/build.gradle,,,
android,repositories/googlesamples/android-play-billing/ClassyTaxiJava/build.gradle,,,
android,repositories/googlesamples/android-play-billing/ClassyTaxiJava/app/build.gradle,29,29,21
android,repositories/googlesamples/android-play-billing/ClassyTaxiAppKotlin/build.gradle,,,
android,repositories/googlesamples/android-play-billing/ClassyTaxiAppKotlin/app/build.gradle,,,
android,repositories/googlesamples/android-play-billing/TrivialDriveKotlin/build.gradle,,,
android,repositories/googlesamples/android-play-billing/TrivialDriveKotlin/app/build.gradle,28,28,14
android,repositories/googlesamples/android-vision/visionSamples/ocr-reader/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/ocr-reader/app/build.gradle,23,23,9
android,repositories/googlesamples/android-vision/visionSamples/photo-demo/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/photo-demo/app/build.gradle,24,24,9
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-start/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-start/app/build.gradle,27,27,21
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-complete/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-complete/app/build.gradle,27,27,21
android,repositories/googlesamples/android-vision/visionSamples/googly-eyes/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/googly-eyes/app/build.gradle,24,24,9
android,repositories/googlesamples/android-vision/visionSamples/multi-tracker/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/multi-tracker/app/build.gradle,24,24,9
android,repositories/googlesamples/android-vision/visionSamples/barcode-reader/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/barcode-reader/app/build.gradle,24,24,9
android,repositories/googlesamples/android-vision/visionSamples/FaceTracker/build.gradle,,,
android,repositories/googlesamples/android-vision/visionSamples/FaceTracker/app/build.gradle,24,24,9
android,repositories/googlesamples/android-ads/advanced/BannerRecyclerViewExample/build.gradle,,,
android,repositories/googlesamples/android-ads/advanced/BannerRecyclerViewExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/advanced/APIDemo/build.gradle,,,
android,repositories/googlesamples/android-ads/advanced/APIDemo/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admanager/InterstitialExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admanager/InterstitialExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admanager/BannerExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admanager/BannerExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admanager/RewardedVideoExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admanager/RewardedVideoExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admanager/CustomRenderingExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admanager/CustomRenderingExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admob/InterstitialExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admob/InterstitialExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admob/BannerExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admob/BannerExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admob/RewardedVideoExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admob/RewardedVideoExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-ads/admob/NativeAdvancedExample/build.gradle,,,
android,repositories/googlesamples/android-ads/admob/NativeAdvancedExample/app/build.gradle,28,28,15
android,repositories/googlesamples/android-BluetoothLeGatt/build.gradle,,,
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,27,27,18
android,repositories/googlesamples/android-Camera2Raw/build.gradle,,,
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-WifiRttScan/build.gradle,,,
android,repositories/googlesamples/android-WifiRttScan/Application/build.gradle,28,28,28
android,repositories/googlesamples/android-ActionBarCompat-ShareActionProvider/build.gradle,,,
android,repositories/googlesamples/android-ActionBarCompat-ShareActionProvider/Application/build.gradle,24,24,7
android,repositories/googlesamples/android-testdpc/build.gradle,,,
android,repositories/googlesamples/android-testdpc/app/build.gradle,29,29,21
android,repositories/googlesamples/android-PictureInPicture/build.gradle,,,
android,repositories/googlesamples/android-PictureInPicture/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-PictureInPicture/kotlinApp/app/build.gradle,27,27,26
android,repositories/googlesamples/android-PictureInPicture/app/build.gradle,27,27,26
android,repositories/googlesamples/android-Camera2Video/build.gradle,,,
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-Camera2Video/kotlinApp/build.gradle,,,
