AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability,Kind,Name
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2731.0,382.0,1941.0,628.0,1239.0,485.0,0.0,0.0,0.0,944.0,1299.0,526.0,773.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.0300000000000002,72.0,72.0,75.0,48.0,13,f3210f4efcff644544b4e104af2eab68001da5a2,2014-12-10 10:03:21-08:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2731.0,382.0,1941.0,628.0,1239.0,485.0,0.0,0.0,0.0,944.0,1299.0,526.0,773.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.0300000000000002,72.0,72.0,75.0,48.0,13,6c1c9c82f3e276610b3ef22ec22c9871105e8057,2014-12-15 11:57:15-08:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2731.0,382.0,1941.0,628.0,1239.0,485.0,0.0,0.0,0.0,944.0,1299.0,526.0,773.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.0300000000000002,72.0,72.0,75.0,48.0,13,2c803cf9fa88590b4680113fd165b76de2871871,2015-01-21 12:15:24-08:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2731.0,382.0,1941.0,628.0,1239.0,485.0,0.0,0.0,0.0,944.0,1299.0,526.0,773.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.0300000000000002,72.0,72.0,75.0,48.0,13,2b4cfbf2cc77a13f38a05b498ece486b65860d5d,2015-03-30 17:46:07-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,42.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2731.0,382.0,1941.0,628.0,1239.0,485.0,0.0,0.0,0.0,944.0,1299.0,526.0,773.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.0300000000000002,72.0,72.0,75.0,48.0,13,7e623617af9ac5e7ec1277b628ebb048191ee801,2015-04-28 10:57:19-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2748.0,387.0,1952.0,639.0,1251.0,488.0,0.0,0.0,0.0,952.0,1310.0,534.0,776.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.05,72.0,72.0,75.0,48.0,13,7dcca2a136cc91fa4a7c5f1a8c5b091ee0aaea8f,2015-05-21 10:05:37-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2748.0,387.0,1952.0,639.0,1251.0,488.0,0.0,0.0,0.0,952.0,1310.0,534.0,776.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.05,72.0,72.0,75.0,48.0,13,f3abd4b8d149e88930e8b4979cb0569b1f40f241,2015-05-28 12:00:51-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2802.0,394.0,1988.0,650.0,1274.0,499.0,0.0,0.0,0.0,976.0,1337.0,543.0,794.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.07,72.0,72.0,75.0,48.0,13,090d3ca4cf0e3c4950e9d85ddf226f5c382f4e86,2015-06-19 13:04:09-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2798.0,394.0,1984.0,650.0,1271.0,499.0,0.0,0.0,0.0,975.0,1335.0,543.0,792.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.07,72.0,72.0,75.0,48.0,13,be6542eac3605953950c4b6264fc2c7e44eea4bd,2015-07-09 11:11:33-07:00,0.00041283092174965603,,
17.0,17.0,18.0,13.0,103.0,4.0,81.0,14.0,20.0,49.0,13.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,37.0,9.0,43.0,199.0,0.0,10.0,8.0,25.0,0.0,2798.0,394.0,1984.0,650.0,1271.0,499.0,0.0,0.0,0.0,975.0,1335.0,543.0,792.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,27.0,18.0,0.0,24.0,7.0,0.0,261.0,256.0,3.07,72.0,72.0,75.0,48.0,13,fec808bb82d3cb891b2d8ca8af3b04ae47d0ce7a,2015-08-17 09:55:45-07:00,0.00041283092174965603,,
