Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,a4fa4e86d4525222419ed509688157f9822c9b19,2014-12-09 02:01:36+00:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,a2a8fed9e5f07564b8852c75a753a02fc6983cf4,2014-12-10 12:16:40-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,c9ca11c53f2cdea3d57f47b58b7892c9725eff1f,2014-12-10 17:12:31-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,e5f46373891d97d7b240ac834e8ad6ffa0312cc8,2014-12-10 17:27:18-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,f94d7b0fd7ecc626a502fdfbd987e3752142a561,2014-12-10 17:07:18-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,5e04496717cda04c23a8eb1bb37aa4844f9246c4,2014-12-11 03:11:55+00:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,b5ffe6813af011d8b160680a8d7929835510a806,2014-12-10 18:47:40-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,f3805d89679ad0c225b253136989ba7200122881,2014-12-10 20:33:49-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,600bd05e5db5da304239faf3975f6cd0736eb841,2014-12-10 18:23:00-08:00,0.2847613990306854
,,8.0,8.0,8.0,6.0,72.0,3.0,41.0,24.0,14.0,23.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,48.0,132.0,0.0,6.0,17.0,25.0,0.0,942.0,114.0,427.0,135.0,232.0,401.0,0.0,0.0,0.0,202.0,289.0,107.0,182.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,10.0,0.0,13.0,7.0,0.0,258.0,238.0,5.430000000000001,77.0,77.0,80.0,52.0,7,8c977d656513f8bf86a74172d55156d21cb181c6,2014-12-11 07:19:13+00:00,0.2847613990306854
