,,Java,Classes,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,Readability,DIT,questions
2015,5,0.0,0.0,0.8249657064471879,0.8154981549815498,0.905982905982906,0.832274459974587,0.0,0.0,0.8877551020408163,0.8376383763837638,0.0,1.0,0.0
2015,6,0.0,0.0,0.8249657064471879,0.8154981549815498,0.905982905982906,0.832274459974587,0.0,0.0,0.8877551020408163,0.8376383763837638,0.0,1.0,0.0
2015,7,0.0,0.0,0.8249657064471879,0.8154981549815498,0.905982905982906,0.832274459974587,0.0,0.0,0.8877551020408163,0.8376383763837638,0.0,1.0,0.0
2015,8,0.0,0.0,0.9758573388203018,0.981549815498155,1.0,1.0,0.0,0.0,1.0,0.9797047970479705,0.0,1.0,0.0
2015,9,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9875283446712018,1.0,0.0,1.0,0.0
2015,10,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9875283446712018,1.0,0.0,1.0,0.0
2015,11,0.125,0.15333333333333332,0.7377838744093885,0.6670766707667076,0.7492877492877499,0.5045884512212337,0.0,0.0,0.9570420760896949,0.9052890528905289,0.0,1.0,0.18181818181818182
2015,12,0.125,0.15333333333333332,0.7377838744093885,0.6670766707667076,0.7492877492877499,0.5045884512212337,0.0,0.0,0.9570420760896949,0.9052890528905289,0.0,1.0,0.2727272727272727
2016,1,0.125,0.14,0.7505258344764515,0.6765067650676506,0.780626780626781,0.501482422702245,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.2727272727272727
2016,2,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,3,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,4,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,5,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,6,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,7,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
2016,8,0.125,0.14,0.7525377229080933,0.6801968019680196,0.780626780626781,0.5108005082592122,0.0,0.0,0.9708994708994708,0.9323493234932351,0.0,1.0,0.36363636363636365
