framework,path,id,creationDate,ownerUserId,postTypeId,acceptedAnswerId
Azure-Samples,active-directory-android,32770613,2015-09-24T20:45:44.760,292851,1,
Azure-Samples,active-directory-android,36732143,2016-04-20T01:12:50.937,6227642,1,
Azure-Samples,active-directory-android,37610780,2016-06-03T09:32:10.500,1881812,1,
Azure-Samples,active-directory-android,43295797,2017-04-08T15:15:59.460,7837085,1,45979651
Azure-Samples,active-directory-android,55299475,2019-03-22T12:20:13.177,4515588,1,
Azure-Samples,active-directory-android,55590356,2019-04-09T10:12:41.730,11333813,1,
Azure-Samples,storage-blob-java-getting-started,45209985,2017-07-20T08:57:13.327,7756218,1,45210515
Azure-Samples,storage-blob-java-getting-started,56635520,2019-06-17T16:36:51.283,937028,1,
Azure-Samples,storage-blob-java-getting-started,57578327,2019-08-20T16:53:32.083,2448059,1,57612493
Azure-Samples,storage-table-java-getting-started,54700980,2019-02-15T00:11:30.443,11064744,1,54703644
Azure-Samples,active-directory-java-webapp-openidconnect,41198310,2016-12-17T11:54:16.080,7310059,1,
Azure-Samples,active-directory-java-webapp-openidconnect,45006441,2017-07-10T07:47:56.030,5185060,1,
Azure-Samples,active-directory-java-webapp-openidconnect,45158721,2017-07-18T06:06:07.560,5185060,1,45159563
Azure-Samples,active-directory-java-webapp-openidconnect,48441398,2018-01-25T11:06:12.147,1688064,1,
Azure-Samples,active-directory-java-webapp-openidconnect,52004423,2018-08-24T12:23:56.913,5662881,1,52158481
Azure-Samples,active-directory-java-webapp-openidconnect,67475824,2021-05-10T18:28:17.967,5922395,1,67485989
Azure-Samples,compute-java-manage-vm,41353576,2016-12-27T23:43:55.950,2234038,1,
Azure-Samples,network-java-manage-network-security-group,53256144,2018-11-12T04:53:02.223,9891536,1,
Azure-Samples,resources-java-manage-resource-group,60989651,2020-04-02T10:40:24.223,2429136,1,
Azure-Samples,resources-java-manage-resource,60989651,2020-04-02T10:40:24.223,2429136,1,
Azure-Samples,batch-java-manage-batch-accounts,55693505,2019-04-15T16:24:53.120,1720349,1,55697070
Azure-Samples,storage-blob-android-photo-uploader,45511954,2017-08-04T16:52:26.750,3136841,1,45561375
Azure-Samples,dns-java-host-and-manage-your-domains,61118265,2020-04-09T09:44:51.463,3265367,1,61135465
