framework,path,imports,javaFiles,imports/java_files
android,googlesamples/android-AutofillFramework,152,348,0.4367816091954023
android,googlesamples/android-play-location,47,22,2.1363636363636362
android,googlesamples/google-services,42,17,2.4705882352941178
android,googlesamples/easypermissions,25,28,0.8928571428571429
android,googlesamples/android-testing,46,61,0.7540983606557377
android,googlesamples/android-Camera2Basic,45,4,11.25
android,googlesamples/android-credentials,53,17,3.1176470588235294
android,googlesamples/android-EmojiCompat,18,3,6.0
android,googlesamples/android-instant-apps,59,24,2.4583333333333335
android,googlesamples/android-nearby,60,15,4.0
android,googlesamples/android-AppUsageStatistics,24,6,4.0
android,googlesamples/android-custom-lint-rules,0,7,0.0
android,googlesamples/android-play-billing,22,27,0.8148148148148148
android,googlesamples/android-vision,54,48,1.125
android,googlesamples/android-ads,35,26,1.3461538461538463
android,googlesamples/android-SpeedTracker,34,12,2.8333333333333335
android,googlesamples/android-BluetoothLeGatt,35,4,8.75
android,googlesamples/android-Camera2Raw,53,4,13.25
android,googlesamples/android-WifiRttScan,23,4,5.75
android,googlesamples/android-ActionBarCompat-ShareActionProvider,23,4,5.75
android,googlesamples/android-testdpc,170,135,1.2592592592592593
android,googlesamples/android-PictureInPicture,44,5,8.8
android,googlesamples/android-ActivitySceneTransitionBasic,29,11,2.6363636363636362
android,googlesamples/android-Camera2Video,39,3,13.0
android,googlesamples/android-Notifications,25,23,1.0869565217391304
android,googlesamples/android-BasicAccessibility,23,9,2.5555555555555554
android,googlesamples/android-XYZTouristAttractions,59,18,3.2777777777777777
android,googlesamples/android-WearVerifyRemoteApp,12,2,6.0
android,googlesamples/android-WearSpeakerSample,30,3,10.0
android,googlesamples/android-WearHighBandwidthNetworking,15,1,15.0
android,googlesamples/android-WearDrawers,15,2,7.5
android,googlesamples/android-WearComplicationProvidersTestSuite,13,8,1.625
android,googlesamples/android-WearAccessibilityApp,45,33,1.3636363636363635
android,googlesamples/android-WatchFace,66,17,3.8823529411764706
android,googlesamples/android-RuntimePermissionsWear,14,8,1.75
