framework,path,framework_contributors,sample_contributors,commom_contributors,commom/framework,commom/sample
android,googlesamples/android-AutofillFramework,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-play-location,174,13,9,0.05172413793103448,0.6923076923076923
android,googlesamples/google-services,174,38,29,0.16666666666666666,0.7631578947368421
android,googlesamples/easypermissions,174,22,10,0.05747126436781609,0.45454545454545453
android,googlesamples/android-testing,174,29,17,0.09770114942528736,0.5862068965517241
android,googlesamples/android-Camera2Basic,174,4,4,0.022988505747126436,1.0
android,googlesamples/android-credentials,174,7,4,0.022988505747126436,0.5714285714285714
android,googlesamples/android-EmojiCompat,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-instant-apps,174,8,8,0.04597701149425287,1.0
android,googlesamples/android-nearby,174,13,8,0.04597701149425287,0.6153846153846154
android,googlesamples/android-AppUsageStatistics,174,1,1,0.005747126436781609,1.0
android,googlesamples/android-custom-lint-rules,174,10,9,0.05172413793103448,0.9
android,googlesamples/android-play-billing,174,23,20,0.11494252873563218,0.8695652173913043
android,googlesamples/android-vision,174,16,12,0.06896551724137931,0.75
android,googlesamples/android-ads,174,9,7,0.040229885057471264,0.7777777777777778
android,googlesamples/android-SpeedTracker,174,4,3,0.017241379310344827,0.75
android,googlesamples/android-BluetoothLeGatt,174,3,3,0.017241379310344827,1.0
android,googlesamples/android-Camera2Raw,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-WifiRttScan,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-ActionBarCompat-ShareActionProvider,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-testdpc,174,17,15,0.08620689655172414,0.8823529411764706
android,googlesamples/android-PictureInPicture,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-ActivitySceneTransitionBasic,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-Camera2Video,174,4,4,0.022988505747126436,1.0
android,googlesamples/android-Notifications,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-BasicAccessibility,174,3,2,0.011494252873563218,0.6666666666666666
android,googlesamples/android-XYZTouristAttractions,174,2,2,0.011494252873563218,1.0
android,googlesamples/android-WearVerifyRemoteApp,174,2,2,0.011494252873563218,1.0
