full_name,Buse Readability trend,Buse Readability pvalue,framework,Scalabrino Readability trend,Scalabrino Readability pvalue,FANIN trend,FANIN pvalue,FANOUT trend,FANOUT pvalue,CC trend,CC pvalue,CCM trend,CCM pvalue,CCS trend,CCS pvalue,EC trend,EC pvalue,KNTS trend,KNTS pvalue,NPATH trend,NPATH pvalue,NPLOG trend,NPLOG pvalue,PL trend,PL pvalue,LOC trend,LOC pvalue,DLOC trend,DLOC pvalue,Executable Line of Code trend,Executable Line of Code pvalue,CLOC trend,CLOC pvalue,BL trend,BL pvalue,NV trend,NV pvalue,AM trend,AM pvalue,NPRM trend,NPRM pvalue,NPM trend,NPM pvalue,PM trend,PM pvalue,LM trend,LM pvalue,STMT trend,STMT pvalue,DSTMT trend,DSTMT pvalue,ESTMT trend,ESTMT pvalue,CCR trend,CCR pvalue,WMC trend,WMC pvalue,NOC trend,NOC pvalue,DIT trend,DIT pvalue,LCOM trend,LCOM pvalue,CBO trend,CBO pvalue,RFC trend,RFC pvalue,NIV trend,NIV pvalue,questions trend,questions pvalue
googlesamples/android-play-safetynet,no trend,0.11909374134173323,googlesamples,no trend,0.38869051320086045,increasing,2.313038649504051e-11,increasing,2.313038649504051e-11,increasing,0.01160543405762171,increasing,0.01160543405762171,increasing,0.01160543405762171,decreasing,0.02904727042649302,no trend,0.08297433436410784,increasing,0.01160543405762171,no trend,0.1206036341623371,no trend,0.17295957392690164,no trend,0.17295957392690164,decreasing,0.03976047308352726,increasing,4.9687809422493956e-11,no trend,0.08587767323394879,no trend,0.17295957392690164,increasing,1.7410414376861638e-07,no trend,0.1206036341623371,no trend,0.2804863568433933,no trend,0.2725898565279614,decreasing,1.7410414376861638e-07,no trend,0.1206036341623371,no trend,0.17295957392690164,decreasing,0.03976047308352726,increasing,5.536615610424178e-11,increasing,0.01160543405762171,increasing,6.869149693500276e-11,no trend,0.2725898565279614,increasing,1.7410414376861638e-07,decreasing,0.019050741577352204,increasing,5.80374739378442e-08,no trend,0.1206036341623371,no trend,0.1206036341623371,increasing,0.0
googlesamples/mlkit,decreasing,0.00012975985804297707,googlesamples,decreasing,0.00037542996762751635,no trend,0.19167059142275544,no trend,0.0791092150986985,decreasing,0.02166739992842648,decreasing,0.042763425833193924,decreasing,0.01702379603221149,decreasing,0.027376765789661528,no trend,0.06490335860944318,no trend,0.6204252937103818,decreasing,0.027376765789661528,increasing,1.454341586715202e-06,increasing,9.226612573964843e-07,increasing,5.807852703210159e-07,increasing,9.226612573964843e-07,no trend,0.16280544974369304,increasing,5.434517408975381e-06,increasing,2.274530014556575e-06,increasing,2.274530014556575e-06,increasing,0.00012975985804297707,increasing,0.00018632600716106396,increasing,0.0008528465186221634,increasing,1.454341586715202e-06,increasing,9.226612573964843e-07,increasing,5.807852703210159e-07,increasing,9.226612573964843e-07,no trend,0.09574665647381542,increasing,2.274530014556575e-06,increasing,0.00018632600716106396,decreasing,0.02166739992842648,increasing,0.00012975985804297707,increasing,1.454341586715202e-06,increasing,2.274530014556575e-06,increasing,1.454341586715202e-06,increasing,1.650717158518944e-06
aws-samples/aws-dynamodb-examples,no trend,0.5431484398662707,aws-samples,no trend,0.25880457917703525,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,decreasing,0.0,no trend,0.05426789778816654,no trend,0.05426789778816654,no trend,0.31895662329458085,no trend,0.05426789778816654,decreasing,0.0,decreasing,0.0,decreasing,0.0,no trend,0.05426789778816654,decreasing,0.0,no trend,1.0,decreasing,0.0,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,no trend,1.0,decreasing,0.0,no trend,0.05426478195055351,decreasing,0.0,decreasing,0.0,no trend,0.05426478195055351,increasing,1.0319189946983442e-10
aws-samples/amazon-kinesis-learning,decreasing,0.0002624550751817445,aws-samples,decreasing,1.3322676295501878e-15,increasing,0.0005476796798136174,increasing,2.220446049250313e-16,increasing,6.94999613415348e-14,increasing,6.94999613415348e-14,increasing,6.94999613415348e-14,increasing,1.872673685454629e-05,increasing,0.0005476796798136174,increasing,0.0005476796798136174,increasing,1.872673685454629e-05,increasing,0.0,increasing,0.0,increasing,0.0,increasing,0.0,no trend,0.6657156891422629,increasing,0.0,increasing,9.471601281063613e-11,increasing,9.471601281063613e-11,increasing,9.471601281063613e-11,increasing,9.471601281063613e-11,no trend,1.0,increasing,9.471601281063613e-11,increasing,0.0,increasing,0.0,increasing,0.0,decreasing,0.0,increasing,0.0,no trend,1.0,no trend,1.0,no trend,0.4035665895097358,increasing,0.0,increasing,9.471601281063613e-11,increasing,0.0,increasing,1.6816812387077107e-08
aws-samples/eb-java-scorekeep,decreasing,0.029582628170424785,aws-samples,increasing,2.882279804383714e-06,no trend,0.466792672390262,decreasing,2.4106525575717797e-06,decreasing,0.0015194409245136153,decreasing,0.0015194409245136153,decreasing,0.0017239784429745608,decreasing,0.0009996079174265926,no trend,0.05519787858416492,increasing,0.00012188897197717985,decreasing,1.3474621418652077e-10,no trend,0.8613645088019897,no trend,0.7765802342812562,no trend,0.22427483161046435,no trend,0.8102371087988105,decreasing,3.464802489006047e-05,no trend,0.3551554274833493,increasing,8.881784197001252e-16,increasing,7.781297168829582e-07,decreasing,4.843158429856942e-08,no trend,0.17353103434461215,no trend,1.0,decreasing,4.6040774526190376e-08,no trend,0.7821569036373663,no trend,0.35142174077366417,no trend,0.844248614869378,decreasing,3.808103261371265e-05,no trend,0.9362009067872608,no trend,1.0,decreasing,1.7419954367881019e-09,no trend,0.262428563301081,no trend,0.2356033265773796,increasing,7.781297168829582e-07,no trend,0.3905089075540249,increasing,6.8401944495199984e-06
aws-samples/amazon-ecs-java-microservices,increasing,0.0010677699132188856,aws-samples,increasing,0.0010677699132188856,decreasing,0.00023078362992201562,decreasing,0.025814038550280083,decreasing,0.0010677699132188856,decreasing,0.0010677699132188856,decreasing,0.0010677699132188856,decreasing,0.00023078362992201562,decreasing,0.0010677699132188856,decreasing,0.0010677699132188856,decreasing,0.0010677699132188856,increasing,0.025814038550280083,increasing,0.0010677699132188856,increasing,0.00023078362992201562,increasing,0.0010677699132188856,increasing,0.0010677699132188856,increasing,0.025814038550280083,decreasing,0.025814038550280083,increasing,0.025814038550280083,increasing,0.025814038550280083,decreasing,0.0010677699132188856,increasing,0.00023078362992201562,increasing,0.025814038550280083,increasing,0.0010677699132188856,increasing,0.025814038550280083,increasing,0.025814038550280083,increasing,0.025814038550280083,increasing,0.0010677699132188856,increasing,0.0010677699132188856,increasing,0.025814038550280083,increasing,0.0010677699132188856,increasing,0.0010677699132188856,increasing,0.025814038550280083,increasing,0.0010677699132188856,increasing,1.5972836386879408e-09
aws-samples/aws-cognito-java-desktop-app,increasing,0.0002190287575301042,aws-samples,no trend,0.058282947533784046,increasing,0.0004040081960674513,increasing,0.0004040081960674513,increasing,0.0004040081960674513,increasing,0.0004040081960674513,increasing,0.0004040081960674513,decreasing,0.017828224685211724,decreasing,0.017828224685211724,increasing,1.1670979056521702e-06,decreasing,0.017828224685211724,increasing,0.0004040081960674513,increasing,0.00011480435455601956,increasing,3.357260136560569e-08,increasing,5.5820567799180765e-06,decreasing,2.5674485426563365e-08,increasing,0.017828224685211724,no trend,1.0,decreasing,0.017828224685211724,decreasing,0.017828224685211724,decreasing,0.017828224685211724,decreasing,0.017828224685211724,decreasing,1.0285428064804591e-09,increasing,0.0004040081960674513,increasing,0.0004040081960674513,increasing,0.0004040081960674513,decreasing,0.017828224685211724,increasing,0.00011480435455601956,no trend,1.0,decreasing,0.017828224685211724,no trend,0.05079775699714406,increasing,0.017828224685211724,decreasing,0.017828224685211724,increasing,0.00011480435455601956,increasing,4.624745031378552e-12
aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,no trend,1.0,aws-samples,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.0004279729572940205
aws-samples/aws-cloudhsm-jce-examples,no trend,1.0,aws-samples,decreasing,1.1690648449302898e-12,decreasing,8.120923933319091e-10,decreasing,1.0840250568300291e-06,decreasing,2.627342787775433e-10,decreasing,1.477393762883139e-10,decreasing,2.627342787775433e-10,decreasing,6.742872926679411e-10,decreasing,1.217357326055435e-10,decreasing,2.614718444204911e-06,decreasing,4.636808714764129e-10,increasing,2.0536099487600268e-09,increasing,3.798925152231902e-08,increasing,2.119859843219274e-12,increasing,1.676236927039554e-11,increasing,3.6354923582671006e-07,increasing,1.1589396109457084e-11,increasing,7.69860950668999e-05,increasing,3.151956410762935e-06,decreasing,2.5659467555172455e-06,increasing,5.282454373922718e-07,no trend,1.0,increasing,3.3006137101221356e-06,increasing,2.1269058825268417e-07,increasing,4.8971937616215655e-12,increasing,1.3180416091884695e-07,decreasing,2.227489855588516e-05,decreasing,1.1230226268255095e-05,no trend,1.0,no trend,1.0,decreasing,4.391320148489086e-05,increasing,2.829070311349824e-12,increasing,3.151956410762935e-06,decreasing,4.0422998281997025e-11,increasing,1.6546341081724592e-06
aws-samples/aws-transcribe-streaming-example-java,decreasing,0.01925312524485867,aws-samples,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.01925312524485867,decreasing,0.01925312524485867,no trend,1.0,increasing,0.01925312524485867,increasing,0.01925312524485867,no trend,1.0,no trend,1.0,increasing,0.01925312524485867,no trend,1.0,no trend,1.0,no trend,1.0,increasing,0.01925312524485867,increasing,0.01925312524485867,no trend,1.0,no trend,1.0,increasing,0.023362762470426235,no trend,1.0,increasing,0.01925312524485867,decreasing,0.01925312524485867,increasing,0.00027893390324562617
