full_name,Buse Readability correlation,Buse Readability pvalue,framework,Scalabrino Readability correlation,Scalabrino Readability pvalue,FANIN correlation,FANIN pvalue,FANOUT correlation,FANOUT pvalue,CC correlation,CC pvalue,CCM correlation,CCM pvalue,CCS correlation,CCS pvalue,EC correlation,EC pvalue,KNTS correlation,KNTS pvalue,NPATH correlation,NPATH pvalue,NPLOG correlation,NPLOG pvalue,PL correlation,PL pvalue,LOC correlation,LOC pvalue,DLOC correlation,DLOC pvalue,Executable Line of Code correlation,Executable Line of Code pvalue,CLOC correlation,CLOC pvalue,BL correlation,BL pvalue,NV correlation,NV pvalue,AM correlation,AM pvalue,NPRM correlation,NPRM pvalue,NPM correlation,NPM pvalue,PM correlation,PM pvalue,LM correlation,LM pvalue,STMT correlation,STMT pvalue,DSTMT correlation,DSTMT pvalue,ESTMT correlation,ESTMT pvalue,CCR correlation,CCR pvalue,WMC correlation,WMC pvalue,NOC correlation,NOC pvalue,DIT correlation,DIT pvalue,LCOM correlation,LCOM pvalue,CBO correlation,CBO pvalue,RFC correlation,RFC pvalue,NIV correlation,NIV pvalue,questions correlation,questions pvalue
googlesamples/io2014-codelabs,0.6985897806731068,7.54204205228409e-14,googlesamples,-0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,-0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,-0.6985897806731068,7.54204205228409e-14,-0.6985897806731068,7.54204205228409e-14,0.0,1.0,0.6985897806731068,7.54204205228409e-14,0.6985897806731068,7.54204205228409e-14,1.0,0.0
googlesamples/android-play-publisher-api,,,googlesamples,0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,,,0.8746811784618388,7.795647398945425e-28,0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,,,,,,,,,,,,,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,-0.8746811784618388,7.795647398945425e-28,,,,,,,,,0.8746811784618388,7.795647398945425e-28,,,,,1.0,0.0
googlesamples/androidtv-sample-inputs,-0.31295286302116815,0.0044463752496532285,googlesamples,-0.584434626904036,1.015103445976889e-08,-0.6648878600525077,1.2947753849825073e-11,-0.8169452893003317,1.421919623655435e-20,-0.6677512071069864,9.833231144122889e-12,-0.6677512071069864,9.833231144122889e-12,-0.6644272346567872,1.3529958320609715e-11,-0.8164789638319087,1.5572416056048717e-20,-0.8532849961782815,4.7658342643434884e-24,0.5360870399410393,2.4989569546407006e-07,-0.8469326149849997,2.2361259524833332e-23,0.5837413767640949,1.0667887086813206e-08,0.5786226185356673,1.533848474905683e-08,0.3473869137988111,0.0014856830996563119,0.5781246484045007,1.5884743546142575e-08,0.5487224628790413,1.1355482582279724e-07,0.3818543138886226,0.0004355258042305837,-0.2688712695780034,0.015219869958511267,0.8536575213558198,4.34300854525697e-24,0.5293296814266317,3.760881216214064e-07,0.01903665964653555,0.8660465851540537,-0.8099590195049204,5.4063360299107154e-20,0.529606001915218,3.699180744890907e-07,0.44142229645296616,3.707199249897737e-05,0.34858303587112216,0.0014269384667782812,0.5099434364001459,1.1581686094630953e-06,0.536487451886453,2.4384685756123464e-07,0.5790745937632797,1.485820884588662e-08,0.8205953069102063,6.917105621142576e-21,-0.4054569035636405,0.00017332535936016665,0.4320909194948697,5.625314453168685e-05,0.44192495216546973,3.623594935263232e-05,0.8536575213558198,4.34300854525697e-24,0.21676973051048107,0.05192150896346197,1.0,0.0
googlesamples/android-AppUsageStatistics,,,googlesamples,-0.36418116366110614,0.0008972977402414716,-0.3435983617535455,0.0018056912084043757,0.1457268725835307,0.19711854242762894,,,,,,,,,,,,,,,0.5934462810231291,6.582604872145427e-09,0.5947876929817986,5.966990646349792e-09,0.19059407868735895,0.09036850721508607,-0.34341728223543355,0.001816463693785032,0.10865534234436902,0.3373613961399795,,,,,,,,,,,,,,,-0.3432766403704948,0.0018248704457636794,,,-0.3432766403704948,0.0018248704457636794,-0.6956781992620774,7.959103474926439e-13,,,,,,,,,0.22155820076256913,0.04825577606673162,,,,,1.0,0.0
googlesamples/android-testing-templates,,,googlesamples,0.19668134506898202,0.09774087906891017,-0.19668134506898202,0.09774087906891017,,,,,,,,,0.19668134506898202,0.09774087906891017,,,,,,,-0.19668134506898202,0.09774087906891017,-0.19668134506898202,0.09774087906891017,-0.026820183418497547,0.8230420456178448,-0.11516480340026111,0.33539032155590864,-0.19668134506898202,0.09774087906891017,0.19668134506898202,0.09774087906891017,0.19668134506898202,0.09774087906891017,,,-0.026820183418497547,0.8230420456178448,0.19668134506898202,0.09774087906891017,0.19668134506898202,0.09774087906891017,,,,,-0.11516480340026111,0.33539032155590864,-0.11516480340026111,0.33539032155590864,,,,,,,,,,,-0.19668134506898202,0.09774087906891017,,,,,1.0,0.0
googlesamples/io2015-codelabs,-0.2963744891819096,0.009827065579681958,googlesamples,0.35508181418288093,0.0017720766637227467,-0.6808924856343364,1.7995195246648293e-11,-0.6808924856343364,1.7995195246648293e-11,0.40853549138060186,0.00027397538642808417,0.40853549138060186,0.00027397538642808417,0.40853549138060186,0.00027397538642808417,-0.6808924856343364,1.7995195246648293e-11,0.40853549138060186,0.00027397538642808417,0.40853549138060186,0.00027397538642808417,0.40851995150759063,0.0002741369726654045,-0.6808924856343364,1.7995195246648293e-11,-0.5241554048804137,1.3906527339119627e-06,-0.6808924856343364,1.7995195246648293e-11,-0.6808924856343364,1.7995195246648293e-11,-0.6809702027368363,1.7864113302259696e-11,0.13617849712686728,0.2440316974874355,-0.4085821216421017,0.0002734910415104758,-0.6808924856343364,1.7995195246648293e-11,0.2963744891819096,0.009827065579681958,-0.6808924856343364,1.7995195246648293e-11,0.2963744891819096,0.009827065579681958,-0.5241683923652053,1.3896686197911722e-06,-0.6808924856343364,1.7995195246648293e-11,-0.5748943658199025,6.886062002993986e-08,-0.6808924856343364,1.7995195246648293e-11,0.6808924856343364,1.7995195246648293e-11,-0.6808924856343364,1.7995195246648293e-11,0.17142879226868218,0.14140151438164147,-0.2963744891819096,0.009827065579681958,-0.6809702027368363,1.7864113302259696e-11,-0.40853549138060186,0.00027397538642808417,-0.6808924856343364,1.7995195246648293e-11,-0.6809702027368363,1.7864113302259696e-11,1.0,0.0
googlesamples/google-services,0.6216541679791779,1.6037543383091043e-09,googlesamples,-0.7554299077453696,2.042335922076221e-15,0.5080050712319583,2.403077357487731e-06,0.41661036634739174,0.00016402194834597286,0.6261294325535599,1.1305950459089771e-09,0.48835222007660095,6.616554691298723e-06,0.6267905257195776,1.0731811031988108e-09,0.6250334105925559,1.2322952979125803e-09,0.8769796434380622,1.4033469860672956e-25,0.6277242771312657,9.968111049645752e-10,0.5866958971424587,2.0559449737309457e-08,0.15874383967488645,0.1679104941236852,0.1961746126931603,0.08727936117790915,0.27142491897998927,0.016949602145023012,0.18826590624070785,0.10106673265019452,-0.4539175546562644,3.379424390039387e-05,0.48566393047148887,7.563300913042893e-06,-0.013420548073565897,0.9077763237088514,-0.023698983591572537,0.8378963683814677,-0.8062142527918712,9.056076767436083e-19,0.24253168558400495,0.03356673283424985,-0.08410919762757131,0.4670584516115813,-0.02376464124012977,0.8374533944138766,0.26281332967351506,0.020931880265771915,0.456152657747919,3.055980063747351e-05,0.16627956988430076,0.14836949873228492,0.17522482404747022,0.12744337243264225,0.16792788495029756,0.14433182867911928,,,0.6115079940512411,3.4722889920505394e-09,0.6823135663088806,8.301999855550114e-12,0.6939791781025834,2.602867120772838e-12,-0.023698983591572537,0.8378963683814677,0.22006074726080474,0.05446920612724021,1.0,0.0
googlesamples/android-testdpc,0.2991372959519422,0.008222481529614191,googlesamples,0.6726173697878443,2.092033916062843e-11,-0.9570138188823126,4.635861099342923e-42,-0.9616058983641799,7.283943679034786e-44,-0.959092482079726,7.503930604260827e-43,-0.9589430357060557,8.58027376093008e-43,-0.959187584317516,6.8886081297838114e-43,-0.9461042336043851,1.833970983909811e-38,-0.09932749435483011,0.390082792445164,0.7758576419260406,1.1667507055910936e-16,-0.9487263381605993,2.964091025651989e-39,0.9565790657952719,6.707953235473503e-42,0.9556144573834003,1.5025314736444514e-41,0.9611032151072892,1.1755960407738369e-43,0.8961483866966146,3.506858500585601e-28,0.3442316052440367,0.0021731815099925085,0.9658854990647369,9.360050614849948e-46,0.9138977538757792,4.3246774426154265e-31,0.9656880557738047,1.1580176826761674e-45,0.9499083231159912,1.2630274743728839e-39,0.8951037707682852,5.005327841872677e-28,0.15407229400021138,0.1809390301447083,0.962217269892831,4.034170870566752e-44,0.9550166718887194,2.454627010807544e-41,0.9600842625595375,3.0435730159013125e-43,0.9294613419911081,3.263766509547894e-34,0.48146187182963607,9.300774365714604e-06,0.963467185018073,1.1686771252400342e-44,0.7782303287475695,8.206062307137249e-17,-0.7833318205914034,3.793636868402225e-17,0.958270032469418,1.5595410791824558e-42,0.9436587474897811,9.261902802762854e-38,0.9656880557738047,1.1580176826761674e-45,0.9586368577976567,1.1274338515905972e-42,0.9999999999999999,0.0
googlesamples/android-vision,0.8783533004052352,8.830170470558703e-25,googlesamples,0.732638676233428,1.1775625763338014e-13,-0.7531960050691114,9.841559833401155e-15,-0.5280644922235402,1.3301187878930171e-06,-0.6858529721785152,1.5539978435608167e-11,-0.5368196465883539,8.20145961196475e-07,-0.9766830144081045,7.4416423070664435e-50,-0.6782430347720212,3.1587804649957176e-11,-0.9130095718506691,9.395426571334504e-30,-0.8562968811914655,2.382988366705388e-22,-0.9130256561571284,9.33575583655562e-30,0.9222823635033782,1.9142588212006781e-31,0.9778582562195672,1.1799757399323752e-50,0.921276837325807,2.9872063758565017e-31,0.9221377308329618,2.041546228634243e-31,0.9214216641288366,2.8027746608153473e-31,0.91360469118966,7.416150460884991e-30,-0.6755807784861473,4.0284939561571234e-11,0.07705054826516186,0.5140782086358735,0.9209068660084585,3.513405199071531e-31,0.48500701018152714,1.1904598325358735e-05,-0.6760363505153755,3.86496651954634e-11,0.9199578091509127,5.30789170405015e-31,0.9220895199428228,2.085771473250605e-31,0.9211320659407577,3.183308421081758e-31,0.9221377308329618,2.041546228634243e-31,-0.43274314109768114,0.00011778426401570586,0.9214860067203405,2.7244257393791706e-31,0.423537322744934,0.00016992135693600206,-0.6757977175476845,3.9498144972670917e-11,0.5389690251417109,7.268197527078466e-07,0.9211481516502074,3.1609175042076725e-31,0.07705054826516186,0.5140782086358735,0.7116795889311259,1.1821099410149738e-12,1.0,0.0
googlesamples/easypermissions,0.5016842314278174,1.310799127680257e-05,googlesamples,0.31462351536872524,0.008973204017516334,-0.8909095356711365,2.6070154266414542e-24,-0.5021834402015803,1.2809887270783376e-05,-0.9071075589095021,1.6874589926040437e-26,-0.9071075589095021,1.6874589926040437e-26,-0.9070699185057902,1.7091250657359336e-26,-0.9114652736610616,3.709653077160318e-27,-0.7954524186414592,5.373134374569722e-16,-0.8974838428734895,3.7324194435301508e-25,-0.8951110122552737,7.6402150184636255e-25,0.7612439269275364,4.886732159181795e-14,0.7708734657069493,1.4857868108151124e-14,0.7802442872685587,4.406873579419447e-15,0.7456451327501861,2.999827348621754e-13,-0.05684167582895761,0.6452213340504132,0.851582546871584,3.514258165710991e-20,0.7778553672546659,6.041048706853013e-15,0.46638607689032235,6.107800940106513e-05,0.7830517577463637,3.026585087135096e-15,-0.0871411479536232,0.47981027952986244,0.5434573519497238,1.676664598549155e-06,0.7733320087058,1.0862023363056715e-14,0.7632532544753957,3.829539039549426e-14,0.7707541521749122,1.5083980043832302e-14,0.7553832738518778,9.817237874210971e-14,-0.12141918602854043,0.32396598731035586,0.7560931514137242,9.031186685709658e-14,0.25799906323346583,0.03365542973948576,-0.8846493040076753,1.4834412363664355e-23,0.7765655099592251,7.151097883908966e-15,0.7909633747291233,1.018176180394034e-15,0.46638607689032235,6.107800940106513e-05,0.871795381395626,3.9215840104080115e-22,1.0,0.0
