,,Java,Classes,Packages,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,DIT,Class Variables,Class Methods,NIM,NIV,Local Methods,Methods,Default Methods,Private Methods,Protected Methods,Public Methods,BLOC,Declarative Line of Code,Executable Line of Code,Statements,Declarative Statements,Executable Statements,Comment to Code Ratio,questions
2017,11,0.0,0.0,1.0,0.1394736842105263,0.00100603621730348,0.2352941176470586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23529411764705882,0.0,1.0,0.23529411764705882,0.2352941176470586,0.0,0.0,0.0,0.32352941176470573,0.0,0.2,0.19936204146730457,0.0,0.130769230769231,0.0,0.02985074626865674,0.0
2017,12,0.0,0.0,1.0,0.13815789473684215,0.0,0.2352941176470586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23529411764705882,0.0,1.0,0.23529411764705882,0.2352941176470586,0.0,0.0,0.0,0.32352941176470573,0.0,0.2,0.19936204146730457,0.0,0.130769230769231,0.0,0.02985074626865674,0.0
2018,1,0.0,0.0,1.0,0.13815789473684215,0.0,0.2352941176470586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23529411764705882,0.0,1.0,0.23529411764705882,0.2352941176470586,0.0,0.0,0.0,0.32352941176470573,0.0,0.2,0.19936204146730457,0.0,0.130769230769231,0.0,0.02985074626865674,0.0
2018,2,0.0,0.0,1.0,0.25723684210526304,0.11519114688128763,0.3235294117647059,0.015553522415370565,0.023529411764706215,0.0,1.0,0.14957264957264954,0.0,0.0,0.32352941176470607,0.0,1.0,0.32352941176470607,0.3235294117647059,0.0,0.0,0.0,0.411764705882353,0.09333333333333371,0.3040000000000003,0.3133971291866029,0.16066481994459827,0.2692307692307692,0.15932203389830518,0.02985074626865674,0.0
2018,3,0.0,0.0,1.0,0.48355263157894757,0.35261569416498956,0.6323529411764705,0.060841720036596506,0.18235294117647108,0.0,1.0,0.3461538461538458,0.0,0.0,0.6323529411764706,0.0,1.0,0.6323529411764706,0.6323529411764705,0.0,0.0,0.0,0.7205882352941179,0.28666666666666696,0.5160000000000002,0.536682615629984,0.3601108033240998,0.4653846153846152,0.3559322033898305,0.011194029850746693,0.0
2018,4,0.0,0.0,1.0,0.48355263157894757,0.35261569416498956,0.6323529411764705,0.060841720036596506,0.18235294117647108,0.0,1.0,0.3461538461538458,0.0,0.0,0.6323529411764706,0.0,1.0,0.6323529411764706,0.6323529411764705,0.0,0.0,0.0,0.7205882352941179,0.28666666666666696,0.5160000000000002,0.536682615629984,0.3601108033240998,0.4653846153846152,0.3559322033898305,0.011194029850746693,0.0
2018,5,0.0,0.0,1.0,0.48355263157894757,0.35261569416498956,0.6323529411764705,0.060841720036596506,0.18235294117647108,0.0,1.0,0.3461538461538458,0.0,0.0,0.6323529411764706,0.0,1.0,0.6323529411764706,0.6323529411764705,0.0,0.0,0.0,0.7205882352941179,0.28666666666666696,0.5160000000000002,0.536682615629984,0.3601108033240998,0.4653846153846152,0.3559322033898305,0.011194029850746693,0.0
2018,6,0.0,0.0,1.0,0.6355263157894737,0.49798792756539245,0.7647058823529409,0.07868252516010973,0.29411764705882354,0.0,1.0,0.49572649572649535,0.0,0.0,0.7647058823529415,0.0,1.0,0.7647058823529415,0.7647058823529409,0.0,0.0,0.0,0.8529411764705882,0.4133333333333335,0.64,0.6889952153110048,0.48199445983379485,0.5769230769230769,0.47796610169491505,0.0074626865671646,0.0
2018,7,0.0,0.0,1.0,0.6355263157894737,0.49798792756539245,0.7647058823529409,0.07868252516010973,0.29411764705882354,0.0,1.0,0.49572649572649535,0.0,0.0,0.7647058823529415,0.0,1.0,0.7647058823529415,0.7647058823529409,0.0,0.0,0.0,0.8529411764705882,0.4133333333333335,0.64,0.6889952153110048,0.48199445983379485,0.5769230769230769,0.47796610169491505,0.0074626865671646,0.0
2018,8,0.0,0.0,1.0,0.6355263157894737,0.49798792756539245,0.7647058823529409,0.07868252516010973,0.29411764705882354,0.0,1.0,0.49572649572649535,0.0,0.0,0.7647058823529415,0.0,1.0,0.7647058823529415,0.7647058823529409,0.0,0.0,0.0,0.8529411764705882,0.4133333333333335,0.64,0.6889952153110048,0.48199445983379485,0.5769230769230769,0.47796610169491505,0.0074626865671646,0.0
