,,Java,Classes,Packages,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,DIT,Class Variables,Class Methods,NIM,NIV,Local Methods,Methods,Default Methods,Private Methods,Protected Methods,Public Methods,BLOC,Declarative Line of Code,Executable Line of Code,Statements,Declarative Statements,Executable Statements,Comment to Code Ratio,questions
2017,12,0.0,0.0,0.0,0.58974358974359,0.7741935483870961,0.9458917835671146,0.9195402298850578,0.8,0.0,1.0,0.4545454545454559,9.024879609063983e-15,1.0,1.0,0.0,0.3723404255319154,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,0.857142857142856,0.8249999999999993,0.48780487804877815,0.4358974358974349,0.588235294117648,0.35714285714285515,0.94150307356732,0.0
2018,1,0.0,0.0,0.0,0.58974358974359,0.7741935483870961,0.9458917835671146,0.9195402298850578,0.8,0.0,1.0,0.4545454545454559,9.024879609063983e-15,1.0,1.0,0.0,0.3723404255319154,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,0.857142857142856,0.8249999999999993,0.48780487804877815,0.4358974358974349,0.588235294117648,0.35714285714285515,0.94150307356732,0.0
2018,2,0.0,0.0,0.0,0.58974358974359,0.7741935483870961,0.9458917835671146,0.9195402298850578,0.8,0.0,1.0,0.4545454545454559,9.024879609063983e-15,1.0,1.0,0.0,0.3723404255319154,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,0.857142857142856,0.8249999999999993,0.48780487804877815,0.4358974358974349,0.588235294117648,0.35714285714285515,0.94150307356732,0.0
2018,3,0.0,0.0,0.0,0.58974358974359,0.7741935483870961,0.9458917835671146,0.9195402298850578,0.8,0.0,1.0,0.4545454545454559,9.024879609063983e-15,1.0,1.0,0.0,0.3723404255319154,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,0.857142857142856,0.8249999999999993,0.48780487804877815,0.4358974358974349,0.588235294117648,0.35714285714285515,0.94150307356732,0.0
2018,4,0.0,0.0,0.0,0.58974358974359,0.7741935483870961,0.9458917835671146,0.9195402298850578,0.8,0.0,1.0,0.4545454545454559,9.024879609063983e-15,1.0,1.0,0.0,0.3723404255319154,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,0.857142857142856,0.8249999999999993,0.48780487804877815,0.4358974358974349,0.588235294117648,0.35714285714285515,0.94150307356732,0.0
2018,5,0.0,0.0,0.0,0.8290598290598292,0.9103942652329758,0.9458917835671146,0.9731800766283528,0.9333333333333333,0.0,1.0,0.7575757575757582,0.0,0.3417015341701537,0.9999999999999997,0.0,0.5815602836879435,1.0,0.9458917835671146,0.0,0.0,0.0,1.0,0.9523809523809511,0.908333333333334,0.7804878048780493,0.7435897435897452,0.7450980392156843,0.7619047619047619,0.9844008196179515,0.0
2018,6,0.0,0.0,0.0,1.0,1.0,0.9458917835671146,1.0,1.0,0.0,1.0,1.0,9.024879609063983e-15,0.5062761506276152,1.0,0.0,0.6861702127659577,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,7,0.0,0.0,0.0,1.0,1.0,0.9458917835671146,1.0,1.0,0.0,1.0,1.0,9.024879609063983e-15,0.5062761506276152,1.0,0.0,0.6861702127659577,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,8,0.0,0.0,0.0,1.0,1.0,0.9458917835671146,1.0,1.0,0.0,1.0,1.0,9.024879609063983e-15,0.5062761506276152,1.0,0.0,0.6861702127659577,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018,9,0.0,0.0,0.0,1.0,1.0,0.9458917835671146,1.0,1.0,0.0,1.0,1.0,9.024879609063983e-15,0.5062761506276152,1.0,0.0,0.6861702127659577,1.0,0.9458917835671146,0.0,2.900854160056215e-14,1.0052464911086175e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2018,10,0.0,0.0,0.0,0.5846153846153839,0.593548387096772,0.5675350701402739,0.599999999999999,0.6,0.0,0.6263736263736271,0.5636363636363607,9.024879609063983e-15,0.40753138075313794,0.6444444444444444,0.0,0.6861702127659577,0.6000000000000021,0.5675350701402739,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.5999999999999986,0.5999999999999994,0.5999999999999972,0.5902439024390257,0.5692307692307712,0.5764705882352927,0.5714285714285714,0.7940908189569708,0.5
2018,11,0.0,0.0,0.0,0.5846153846153839,0.593548387096772,0.5675350701402739,0.599999999999999,0.6,0.0,0.6263736263736271,0.5636363636363607,9.024879609063983e-15,0.40753138075313794,0.6444444444444444,0.0,0.6861702127659577,0.6000000000000021,0.5675350701402739,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.5999999999999986,0.5999999999999994,0.5999999999999972,0.5902439024390257,0.5692307692307712,0.5764705882352927,0.5714285714285714,0.7940908189569708,0.5
2018,12,0.0,0.0,0.0,0.5846153846153839,0.593548387096772,0.5675350701402739,0.599999999999999,0.6,0.0,0.6263736263736271,0.5636363636363607,9.024879609063983e-15,0.40753138075313794,0.6444444444444444,0.0,0.6861702127659577,0.6000000000000021,0.5675350701402739,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.5999999999999986,0.5999999999999994,0.5999999999999972,0.5902439024390257,0.5692307692307712,0.5764705882352927,0.5714285714285714,0.7940908189569708,0.5
2019,1,0.0,0.0,0.0,0.5846153846153839,0.593548387096772,0.5675350701402739,0.599999999999999,0.6,0.0,0.6263736263736271,0.5636363636363607,9.024879609063983e-15,0.40753138075313794,0.6444444444444444,0.0,0.6861702127659577,0.6000000000000021,0.5675350701402739,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.5999999999999986,0.5999999999999994,0.5999999999999972,0.5902439024390257,0.5692307692307712,0.5764705882352927,0.5714285714285714,0.7940908189569708,0.5
2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024879609063983e-15,0.012552301255230509,0.0,0.125,1.0,0.0,0.0,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852270473924253,1.0
2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024879609063983e-15,0.012552301255230509,0.0,0.125,1.0,0.0,0.0,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852270473924253,1.0
2019,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024879609063983e-15,0.012552301255230509,0.0,0.125,1.0,0.0,0.0,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852270473924253,1.0
2019,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024879609063983e-15,0.012552301255230509,0.0,0.125,1.0,0.0,0.0,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852270473924253,1.0
2019,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.024879609063983e-15,0.012552301255230509,0.0,0.125,1.0,0.0,0.0,0.0,2.900854160056215e-14,1.0052464911086175e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852270473924253,1.0
