metric,positive correlation,negative correlation,inconclusive
AM,25,20,47
BL,36,18,38
BWR,18,18,56
CBO,34,19,39
CC,24,28,40
CCM,23,28,41
CCR,24,19,49
CCS,23,27,42
CLASSES,33,10,49
CLOC,38,13,41
DIT,11,20,61
DLOC,31,19,42
DSTMT,35,19,38
EC,18,29,45
ELOC,41,14,37
ESTMT,39,17,36
FANIN,19,27,46
FANOUT,27,22,43
JAVA,29,8,55
KNTS,18,17,57
LCOM,20,20,52
LM,27,19,46
LOC,42,13,37
NIV,22,18,52
NOC,3,6,83
NPATH,29,26,37
NPLOG,18,16,58
NPM,26,7,59
NPRM,27,17,48
NV,23,14,55
PKG,21,8,63
PL,42,13,37
PM,8,15,69
RFC,25,20,47
SAR,18,37,37
STMT,38,18,36
WMC,37,15,40
,37,15,40
questions,92,0,0
