metric,no trend,increasing,decreasing
AM,38,31,23
BL,30,41,21
BWR,47,22,23
CBO,27,44,21
CC,29,30,33
CCM,30,29,33
CCR,35,29,28
CCS,30,29,33
CLASSES,43,39,10
CLOC,34,42,16
DIT,53,13,26
DLOC,33,37,22
DSTMT,31,40,21
EC,35,21,36
ELOC,24,49,19
ESTMT,27,43,22
FANIN,32,28,32
FANOUT,32,34,26
JAVA,46,34,12
KNTS,49,21,22
LCOM,42,25,25
LM,40,32,20
LOC,25,48,19
NIV,43,23,26
NOC,82,4,6
NPATH,26,35,31
NPLOG,49,24,19
NPM,54,29,9
NPRM,38,33,21
NV,47,26,19
PKG,56,25,11
PL,28,50,14
PM,66,9,17
RFC,38,31,23
SAR,24,26,42
STMT,27,43,22
WMC,30,44,18
