metric,positive correlation,negative correlation,inconclusive
AM,38,18,38
BL,40,19,35
BWR,30,27,37
CBO,39,20,35
CC,18,44,32
CCM,18,44,32
CCR,21,31,42
CCS,18,44,32
CLASSES,56,8,30
CLOC,35,22,37
DIT,18,27,49
DLOC,43,20,31
DSTMT,35,22,37
EC,17,47,30
ELOC,40,17,37
ESTMT,38,25,31
FANIN,21,43,30
FANOUT,25,36,33
JAVA,47,7,40
KNTS,22,31,41
LCOM,30,28,36
LM,35,21,38
LOC,43,15,36
NIV,34,21,39
NOC,14,8,72
NPATH,19,45,30
NPLOG,16,30,48
NPM,33,15,46
NPRM,23,28,43
NV,33,17,44
PKG,40,5,49
PL,43,20,31
PM,21,19,54
RFC,38,18,38
SAR,21,43,30
STMT,37,24,33
WMC,40,20,34
,40,20,34
questions,93,0,1
