framework,path,stars,popularity
Azure-Samples,Azure-Samples/key-vault-java-certificate-authentication,6,popular
Azure-Samples,Azure-Samples/active-directory-b2c-android-native-msal,6,popular
Azure-Samples,Azure-Samples/ms-identity-b2c-java-servlet-webapp-authentication,6,unpopular
Azure-Samples,Azure-Samples/azure-cosmos-db-cassandra-java-getting-started,7,unpopular
Azure-Samples,Azure-Samples/azure-cosmos-db-graph-java-getting-started,8,unpopular
Azure-Samples,Azure-Samples/storage-blob-android-photo-uploader,9,unpopular
Azure-Samples,Azure-Samples/ms-identity-java-desktop,10,unpopular
Azure-Samples,Azure-Samples/ms-identity-android-java,10,unpopular
Azure-Samples,Azure-Samples/azure-cosmos-java-sql-api-samples,12,unpopular
Azure-Samples,Azure-Samples/cognitive-services-face-android-detect,12,unpopular
Azure-Samples,Azure-Samples/ms-identity-java-webapi,17,unpopular
Azure-Samples,Azure-Samples/active-directory-b2c-android-native-appauth,18,unpopular
Azure-Samples,Azure-Samples/storage-blobs-java-quickstart,18,unpopular
Azure-Samples,Azure-Samples/storage-blob-java-getting-started,19,unpopular
Azure-Samples,Azure-Samples/SpeechToText-REST,20,unpopular
Azure-Samples,Azure-Samples/azure-iot-samples-java,23,unpopular
Azure-Samples,Azure-Samples/Azure-Spring-Cloud-Samples,29,unpopular
Azure-Samples,Azure-Samples/active-directory-android,32,unpopular
Azure-Samples,Azure-Samples/cognitive-services-android-customvision-sample,57,unpopular
Azure-Samples,Azure-Samples/active-directory-java-webapp-openidconnect,61,unpopular
Azure-Samples,Azure-Samples/ms-identity-java-webapp,78,unpopular
spring-guides,spring-guides/quoters,5,popular
spring-guides,spring-guides/gs-messaging-gcp-pubsub,8,popular
spring-guides,spring-guides/gs-accessing-neo4j-data-rest,9,popular
spring-guides,spring-guides/gs-managing-transactions,18,popular
spring-guides,spring-guides/gs-accessing-data-neo4j,29,popular
spring-guides,spring-guides/gs-handling-form-submission,35,popular
spring-guides,spring-guides/gs-accessing-mongodb-data-rest,56,popular
spring-guides,spring-guides/gs-routing-and-filtering,59,popular
spring-guides,spring-guides/gs-actuator-service,62,popular
spring-guides,spring-guides/gs-messaging-jms,62,popular
spring-guides,spring-guides/gs-gateway,64,popular
spring-guides,spring-guides/gs-rest-hateoas,65,popular
spring-guides,spring-guides/gs-crud-with-vaadin,76,popular
spring-guides,spring-guides/gs-async-method,80,popular
spring-guides,spring-guides/gs-rest-service-cors,82,popular
spring-guides,spring-guides/gs-scheduling-tasks,85,popular
spring-guides,spring-guides/gs-validating-form-input,95,popular
spring-guides,spring-guides/gs-consuming-web-service,96,popular
spring-guides,spring-guides/gs-accessing-data-mongodb,97,popular
spring-guides,spring-guides/gs-service-registration-and-discovery,99,unpopular
spring-guides,spring-guides/gs-producing-web-service,99,unpopular
spring-guides,spring-guides/gs-gradle,110,unpopular
spring-guides,spring-guides/gs-accessing-data-mysql,116,unpopular
spring-guides,spring-guides/gs-accessing-data-rest,125,unpopular
spring-guides,spring-guides/gs-messaging-rabbitmq,129,unpopular
spring-guides,spring-guides/gs-consuming-rest,130,unpopular
spring-guides,spring-guides/gs-batch-processing,160,unpopular
spring-guides,spring-guides/gs-accessing-data-jpa,161,unpopular
spring-guides,spring-guides/gs-serving-web-content,204,unpopular
spring-guides,spring-guides/gs-multi-module,208,unpopular
spring-guides,spring-guides/gs-securing-web,242,unpopular
spring-guides,spring-guides/gs-uploading-files,359,unpopular
spring-guides,spring-guides/gs-messaging-stomp-websocket,365,unpopular
spring-guides,spring-guides/tut-rest,375,unpopular
spring-guides,spring-guides/getting-started-guides,413,unpopular
spring-guides,spring-guides/gs-spring-boot-docker,527,unpopular
spring-guides,spring-guides/gs-spring-boot,648,unpopular
spring-guides,spring-guides/tut-spring-boot-oauth2,757,unpopular
spring-guides,spring-guides/gs-rest-service,1068,unpopular
googlearchive,googlearchive/compute-getting-started-java,9,popular
googlearchive,googlearchive/android-WclDemoSample,11,popular
googlearchive,googlearchive/android-CommitContentSampleApp,32,popular
googlearchive,googlearchive/android-WearCompanionLibrary,43,popular
googlearchive,googlearchive/android-MediaRouter,45,popular
googlearchive,googlearchive/identity-toolkit-android,47,popular
googlearchive,googlearchive/android-google-accounts,55,popular
googlearchive,googlearchive/android-LNotifications,58,popular
googlearchive,googlearchive/leanback-assistant,60,popular
googlearchive,googlearchive/android-topeka,62,popular
googlearchive,googlearchive/android-fido,79,popular
googlearchive,googlearchive/android-SwipeRefreshLayoutBasic,85,popular
googlearchive,googlearchive/friendlyping,87,popular
googlearchive,googlearchive/android-StorageProvider,92,popular
googlearchive,googlearchive/android-SynchronizedNotifications,96,popular
googlearchive,googlearchive/android-MediaEffects,103,popular
googlearchive,googlearchive/android-CardReader,106,popular
googlearchive,googlearchive/android-DirectShare,106,popular
googlearchive,googlearchive/android-ScopedDirectoryAccess,114,popular
googlearchive,googlearchive/android-BasicManagedProfile,115,popular
googlearchive,googlearchive/android-HdrViewfinder,118,popular
googlearchive,googlearchive/android-AccelerometerPlay,121,popular
googlearchive,googlearchive/android-BatchStepSensor,130,popular
googlearchive,googlearchive/android-NfcProvisioning,132,popular
googlearchive,googlearchive/android-DeviceOwner,139,popular
googlearchive,googlearchive/android-NetworkConnect,150,popular
googlearchive,googlearchive/android-CardEmulation,151,popular
googlearchive,googlearchive/android-TextLinkify,171,popular
googlearchive,googlearchive/android-DirectBoot,181,popular
googlearchive,googlearchive/android-BasicAndroidKeyStore,183,popular
googlearchive,googlearchive/android-SimpleMediaPlayer,187,popular
googlearchive,googlearchive/android-ActiveNotifications,222,popular
googlearchive,googlearchive/android-Notifications,227,popular
googlearchive,googlearchive/android-SlidingTabsBasic,229,popular
googlearchive,googlearchive/android-credentials,230,unpopular
googlearchive,googlearchive/android-BasicSyncAdapter,237,unpopular
googlearchive,googlearchive/android-ads,238,unpopular
googlearchive,googlearchive/android-BluetoothAdvertisements,240,unpopular
googlearchive,googlearchive/android-AsymmetricFingerprintDialog,242,unpopular
googlearchive,googlearchive/android-DisplayingBitmaps,276,unpopular
googlearchive,googlearchive/android-MediaRecorder,298,unpopular
googlearchive,googlearchive/android-DarkTheme,308,unpopular
googlearchive,googlearchive/android-DownloadableFonts,323,unpopular
googlearchive,googlearchive/android-NotificationChannels,369,unpopular
googlearchive,googlearchive/android-fit,373,unpopular
googlearchive,googlearchive/android-Camera2Raw,380,unpopular
googlearchive,googlearchive/android-MultiWindowPlayground,418,unpopular
googlearchive,googlearchive/android-AutofillFramework,429,unpopular
googlearchive,googlearchive/android-MediaBrowserService,431,unpopular
googlearchive,googlearchive/android-nearby,494,unpopular
googlearchive,googlearchive/tango-examples-java,501,unpopular
googlearchive,googlearchive/android-PdfRendererBasic,532,unpopular
googlearchive,googlearchive/leanback-showcase,629,unpopular
googlearchive,googlearchive/android-RecyclerView,687,unpopular
googlearchive,googlearchive/android-EmojiCompat,706,unpopular
googlearchive,googlearchive/android-JobScheduler,769,unpopular
googlearchive,googlearchive/android-instant-apps,852,unpopular
googlearchive,googlearchive/android-BluetoothLeGatt,904,unpopular
googlearchive,googlearchive/android-BluetoothChat,971,unpopular
googlearchive,googlearchive/android-ScreenCapture,1016,unpopular
googlearchive,googlearchive/androidtv-Leanback,1138,unpopular
googlearchive,googlearchive/chromium-webview-samples,1148,unpopular
