path,AvgCyclomatic correlation,AvgCyclomatic correlation pvalue,AvgCyclomaticModified correlation,AvgCyclomaticModified correlation pvalue,AvgCyclomaticStrict correlation,AvgCyclomaticStrict correlation pvalue,AvgEssential correlation,AvgEssential correlation pvalue,AvgLine correlation,AvgLine correlation pvalue,AvgLineBlank correlation,AvgLineBlank correlation pvalue,AvgLineCode correlation,AvgLineCode correlation pvalue,AvgLineComment correlation,AvgLineComment correlation pvalue,CountClassBase correlation,CountClassBase correlation pvalue,CountClassCoupled correlation,CountClassCoupled correlation pvalue,CountClassCoupledModified correlation,CountClassCoupledModified correlation pvalue,CountClassDerived correlation,CountClassDerived correlation pvalue,CountDeclClass correlation,CountDeclClass correlation pvalue,CountDeclClassMethod correlation,CountDeclClassMethod correlation pvalue,CountDeclClassVariable correlation,CountDeclClassVariable correlation pvalue,CountDeclInstanceMethod correlation,CountDeclInstanceMethod correlation pvalue,CountDeclInstanceVariable correlation,CountDeclInstanceVariable correlation pvalue,CountDeclMethod correlation,CountDeclMethod correlation pvalue,CountDeclMethodAll correlation,CountDeclMethodAll correlation pvalue,CountDeclMethodDefault correlation,CountDeclMethodDefault correlation pvalue,CountDeclMethodPrivate correlation,CountDeclMethodPrivate correlation pvalue,CountDeclMethodProtected correlation,CountDeclMethodProtected correlation pvalue,CountDeclMethodPublic correlation,CountDeclMethodPublic correlation pvalue,CountLine correlation,CountLine correlation pvalue,CountLineBlank correlation,CountLineBlank correlation pvalue,CountLineCode correlation,CountLineCode correlation pvalue,CountLineCodeDecl correlation,CountLineCodeDecl correlation pvalue,CountLineCodeExe correlation,CountLineCodeExe correlation pvalue,CountLineComment correlation,CountLineComment correlation pvalue,CountSemicolon correlation,CountSemicolon correlation pvalue,CountStmt correlation,CountStmt correlation pvalue,CountStmtDecl correlation,CountStmtDecl correlation pvalue,CountStmtExe correlation,CountStmtExe correlation pvalue,MaxCyclomatic correlation,MaxCyclomatic correlation pvalue,MaxCyclomaticModified correlation,MaxCyclomaticModified correlation pvalue,MaxCyclomaticStrict correlation,MaxCyclomaticStrict correlation pvalue,MaxEssential correlation,MaxEssential correlation pvalue,MaxInheritanceTree correlation,MaxInheritanceTree correlation pvalue,MaxNesting correlation,MaxNesting correlation pvalue,PercentLackOfCohesion correlation,PercentLackOfCohesion correlation pvalue,PercentLackOfCohesionModified correlation,PercentLackOfCohesionModified correlation pvalue,RatioCommentToCode correlation,RatioCommentToCode correlation pvalue,SumCyclomatic correlation,SumCyclomatic correlation pvalue,SumCyclomaticModified correlation,SumCyclomaticModified correlation pvalue,SumCyclomaticStrict correlation,SumCyclomaticStrict correlation pvalue,SumEssential correlation,SumEssential correlation pvalue,numberJavaFiles correlation,numberJavaFiles correlation pvalue,readability correlation,readability correlation pvalue,questions correlation,questions correlation pvalue
googlesamples/android-AutofillFramework,-0.824696873350775,1.0569904889500847e-11,-0.824696873350775,1.0569904889500847e-11,-0.8130266345769432,3.5198604121635436e-11,-0.8130266345769432,3.5198604121635436e-11,-0.8363671121246069,2.8958764420548486e-12,-0.4551393121794372,0.0021651725721021555,-0.8208067937594979,1.5936506184953502e-11,-0.8285869529420523,6.9395515828662505e-12,-0.8285869529420523,6.9395515828662505e-12,-0.8169167141682206,2.3795003723984502e-11,-0.8169167141682206,2.3795003723984502e-11,-0.2531560363960273,0.10143366421440934,0.8674877488548247,5.22885453957965e-14,-0.8480373508984385,7.141650993152086e-13,-0.8441472713071613,1.1533215359411269e-12,-0.8597075896722702,1.5590760358608005e-13,-0.8285869529420523,6.9395515828662505e-12,-0.8597075896722702,1.5590760358608005e-13,-0.8441472713071613,1.1533215359411269e-12,-0.6535333713345765,2.0206562975339054e-06,-0.8441472713071613,1.1533215359411269e-12,-0.840257191715884,1.8387466764893138e-12,-0.8480373508984385,7.141650993152086e-13,0.824696873350775,1.0569904889500847e-11,-0.8324770325333295,4.507885406000116e-12,0.824696873350775,1.0569904889500847e-11,0.8285869529420523,6.9395515828662505e-12,0.824696873350775,1.0569904889500847e-11,0.840257191715884,1.8387466764893138e-12,0.824696873350775,1.0569904889500847e-11,0.824696873350775,1.0569904889500847e-11,0.824696873350775,1.0569904889500847e-11,-0.8441472713071613,1.1533215359411269e-12,-0.8558175100809929,2.6277285341759013e-13,-0.8558175100809929,2.6277285341759013e-13,-0.8635976692635474,9.104890394351148e-14,-0.8324770325333295,4.507885406000116e-12,-0.8285869529420523,6.9395515828662505e-12,-0.8635976692635474,9.104890394351148e-14,-0.8674877488548247,5.22885453957965e-14,-0.8674877488548247,5.22885453957965e-14,-0.8324770325333295,4.507885406000116e-12,-0.8441472713071613,1.1533215359411269e-12,-0.8441472713071613,1.1533215359411269e-12,-0.8441472713071613,1.1533215359411269e-12,-0.8441472713071613,1.1533215359411269e-12,0.8674877488548247,5.22885453957965e-14,0.37344764076261516,0.013637640314879634,1.0,0.0
googlesamples/android-play-location,-0.4507328478077196,7.092126244376207e-05,0.8522220471963342,2.242004384161838e-21,-0.5482601366487657,6.186012812670135e-07,0.7075586063633462,3.6877126126653656e-12,0.8838528086672606,8.54545173014386e-25,0.9220536413105076,1.4344119788207497e-30,0.826139989926248,4.1562810640294324e-19,0.874887283511923,9.856884916637507e-24,-0.8589995008791568,4.889075270561926e-22,0.7901312136088677,1.5693750675180295e-16,0.7467958850648014,5.011041590396712e-14,,,0.9115921108687134,9.836482859397858e-29,0.8957315994616177,2.408368079455956e-26,-0.41406345998659827,0.0002995641990576054,-0.7093322917506674,3.083436290078275e-12,-0.6469888827361358,8.235534448642707e-10,-0.4359091897413109,0.00012951822195593558,-0.43195766339539426,0.00015137180204386348,0.8462094251843096,8.135336018138014e-21,0.7335927013604049,2.3153237749701223e-13,-0.8378726755746981,4.447794135911296e-20,-0.8185734824761165,1.6105216867711375e-18,-0.24336378367171246,0.039403239817270015,0.5087818288687761,5.0348230399656666e-06,0.7523359443677039,2.5628850812898443e-14,0.14098814536801024,0.23748431432734982,0.7828683051950746,4.517583253546692e-16,-0.49563819472564763,9.564681331274435e-06,0.1603394839049933,0.17848396566003272,0.17619678779121595,0.13873364768940571,0.7239556597431822,6.690862015791553e-13,0.1029580625916161,0.38944259468537723,0.6997617022812156,7.97451906196964e-12,0.7029838316327759,5.815565093921049e-12,0.4817466358382014,1.8322110498268737e-05,-0.9015509289529793,3.569903945286728e-27,-0.8462187998569954,8.119353509526017e-21,-0.6817480086814557,4.3265583991262064e-11,-0.4996400231777679,7.88927174340491e-06,-0.6781734356257618,5.966668911834748e-11,-0.49950582201551436,7.940697448916371e-06,-0.32277123268970065,0.005687005674612166,-0.2969905965304578,0.011296696547639722,-0.2323620085542472,0.049515765393285484,-0.44323682662906555,9.650357068984466e-05,0.8083518526502338,9.112975332665435e-18,0.17346384545045618,0.1450607476252794,0.9999999999999998,0.0
googlesamples/google-services,0.4210356490597394,0.00038828375030957435,0.4210356490597394,0.00038828375030957435,0.35137396926214837,0.0035502879971740257,-0.5664310510650737,5.846160542043319e-07,0.2175908705217219,0.0769272465505433,0.6733195913511726,4.299368876598292e-10,0.20285976421109397,0.09968188256229174,-0.006998264583357542,0.9551777649182926,-0.3275548194365614,0.006814425761808806,0.8818608705224097,6.659938376210315e-23,0.8421992392152851,4.2438962457520985e-19,,,-0.13927867299301347,0.2609791737084424,0.6541508349003555,1.938037260316035e-09,0.5049171671070652,1.3167899302869294e-05,0.17089719208480536,0.16674928800993294,0.31821308707644896,0.008683617202164344,0.1946145614921435,0.11453326893589576,0.19411376904549862,0.11548730356812491,,,0.36697096395855383,0.002253660077254059,-0.22807681603055513,0.06341012383613125,-0.45746788295251434,9.941265465617632e-05,0.2987000226354947,0.014077150395030073,0.6405201713328789,5.3054991938567816e-09,0.34742780444633936,0.003968954659361977,0.32776136908441605,0.006777437941430389,0.3019347563297025,0.013021377898277956,-0.13212763985775475,0.2864960927674851,0.3415991566506965,0.00466746427711264,0.34710996470782146,0.004004507668418731,0.40590102538429146,0.0006546795558995337,0.3657494419218649,0.0023372175601756437,0.6340881803549399,8.388439866502122e-09,0.5622785333032795,7.359997956437793e-07,0.5898709849832234,1.4990486534680293e-07,0.6027429254374478,6.774347421346448e-08,0.43233728770303154,0.0002586236721831101,0.5461448468352347,1.7491116047210962e-06,0.7931062141716436,1.243725004397747e-15,0.8971835874459022,9.33164340096351e-25,-0.14053160692186475,0.2566716315769171,0.3475258314900436,0.003958046141651235,0.3267325091196371,0.006963443025113561,0.36637684457014663,0.0022939606379935333,0.2659907984988259,0.02958424385159506,-0.430423219846701,0.00027732723798768935,0.20472808793903335,0.09653499761333145,1.0,0.0
googlesamples/easypermissions,-0.6210470430559908,1.9779905586929586e-07,-0.6210470430559908,1.9779905586929586e-07,-0.9575140819485884,6.348669615141431e-32,-0.5744030319708524,2.419900373637252e-06,-0.6748434374958561,6.280945173017148e-09,-0.24629122316856625,0.062365519084399294,-0.579210668662185,1.902969299453295e-06,-0.9609623978930995,6.212258436084416e-33,0.24298641790533188,0.06607756691343754,-0.09991420262404142,0.4555286247452702,0.7757745995411647,8.577898752738156e-13,,,0.9793601288593552,1.4097331894720493e-40,-0.9649690073999926,3.1584228536567044e-34,-0.08591382208924148,0.5213640585134451,0.8228078790928357,2.3136257926252254e-15,0.9688519160602787,1.239381309789519e-35,0.6105045710391291,3.609077504373204e-07,0.7304673274118474,7.615142951067827e-11,-0.08095505091027419,0.545772535863152,-0.35857848854109636,0.005710254965173542,-0.23825767372557494,0.0716948206361844,0.7065817282511702,5.737505809798424e-10,0.11789517610668525,0.37810302654879613,0.44283218011006903,0.0004996259460051711,0.3216864852103175,0.013801145758176387,0.6786086354355405,4.802292223106858e-09,0.14278505062009675,0.2849628796335582,-0.8514601534006863,2.4828553422483995e-17,0.4317773886111804,0.0007136724093203411,0.3192911110046233,0.01456435902207081,0.34139922714448884,0.00872276880280218,0.15491843546416204,0.2455741506694594,-0.6494113215270364,3.493011812885643e-08,-0.6494113215270364,3.493011812885643e-08,-0.6971415978832123,1.2072678155741994e-09,-0.5861923833454178,1.3331356699808084e-06,0.14060900833981133,0.2924434229485788,-0.7050863155153346,6.467577777201093e-10,0.8202416255581129,3.3365944149016054e-15,0.8379744087056731,2.340998232562165e-16,-0.8422931321945577,1.1675875745525714e-16,-0.3935362062774106,0.00224168299187063,-0.3935362062774106,0.00224168299187063,-0.4041752626425245,0.001652223658612063,0.2921739375941542,0.026047759452373483,0.9851079296422526,1.6326511804245469e-44,0.6799997717570467,4.344541193815235e-09,1.0,0.0
googlesamples/android-testing,0.6517918316627769,9.88431969754217e-10,0.8154918533787319,8.316332689543779e-18,0.6761329286930104,1.3363768300081736e-10,0.9452358610507352,8.744644242257264e-35,0.5854598090537988,1.018454598884907e-07,0.5778701881667183,1.6226634490287294e-07,0.649089608793229,1.2207047820444477e-09,-0.35647261161396854,0.002454137062645618,0.6286072304037701,5.659307422649456e-09,-0.8860304249538208,2.159914621505095e-24,0.9383947896440183,4.274595599308702e-33,,,0.9892497082026982,1.630694012029057e-58,-0.9080418653196963,2.1219064909780705e-27,-0.6834137285681335,7.076290416194558e-11,-0.668345598120422,2.5867104428457754e-10,-0.6257409863552749,6.952278364635369e-09,-0.7567685315960442,3.512181471665658e-14,-0.7534248670565158,5.258729855543662e-14,-0.09636886587025703,0.42742149575979904,-0.8345742486470376,2.8357383174405817e-19,-0.8618764284920131,9.861781986710971e-22,-0.536001467712746,1.7360130249789926e-06,-0.696973196437701,2.0598465514141478e-11,-0.6836831151826163,6.909347554870694e-11,-0.6377988388724413,2.8835526619794617e-09,-0.5718931594271117,2.3225640889501616e-07,-0.8633681951743584,6.993825002836275e-22,-0.6820147715452828,8.00708422340177e-11,-0.7154066615689662,3.4349749174172182e-12,-0.5770697716167484,1.7031949508066258e-07,-0.49129470071259845,1.570468226634524e-05,-0.4299883112860959,0.00020319684184796444,-0.03087073070766101,0.799732783924836,0.7350065046220053,4.354112731977444e-13,0.13296211359757729,0.27251411296260125,0.6001445891390323,3.99515856232669e-08,0.01899753930186576,0.8759565977851238,0.5319345610197145,2.1492474262951054e-06,0.4175632036461324,0.0003225704510240237,0.5188364166721549,4.1965524988538635e-06,-0.5398019462357662,1.4183831899415383e-06,-0.7143872372962966,3.806541447177482e-12,-0.5706070832577921,2.506548317797806e-07,-0.7544212372135539,4.665892156049844e-14,-0.7150153302482871,3.5733037181644406e-12,0.9740550832873838,1.3036584040681519e-45,0.5708853404140728,2.4656115501490345e-07,1.0,0.0
googlesamples/android-Camera2Basic,-0.22454719307170842,0.05116480774567795,,,0.5388683171901162,5.120822572606315e-07,,,0.06636930388592042,0.5689262028717312,0.1673051184101573,0.148580611423614,-0.09894483078715462,0.3951168087267096,,,0.6910122197011846,4.893064552625953e-12,0.9323398718167459,2.0083141057880097e-34,0.5675783054979965,8.965691156862145e-08,,,0.6951039278020625,3.2491714035524737e-12,0.4248190139194484,0.00013078914057169073,0.7294115373242662,7.86455876599678e-14,0.8021295169547643,3.0809112948728795e-18,0.7330693760229343,5.115075743641838e-14,0.8021295169547643,3.0809112948728795e-18,0.8021295169547643,3.0809112948728795e-18,,,0.8021295169547643,3.0809112948728795e-18,,,0.6940440558314871,3.6150354393057467e-12,0.9408591444901647,1.6114411743958122e-36,0.8024470800469533,2.9210276827945286e-18,0.9395433189186433,3.552257310207246e-36,0.9351164779510974,4.4803409453803966e-35,0.3749206035108955,0.0008471216652136297,0.8024984967534933,2.8959066421828313e-18,0.939440976929747,3.7746882254680826e-36,0.9398502522340891,2.9588386441187384e-36,0.8009047858929118,3.780464906171704e-18,0.9392216726678269,4.2978183031571105e-36,0.7604777931529436,1.6025853603381444e-15,0.7604777931529436,1.6025853603381444e-15,0.7514254385011547,5.285146444169704e-15,0.6940440558314871,3.6150354393057467e-12,,,0.7282974085637053,8.953203282561061e-14,0.8005837434680557,3.987842094196547e-18,0.7614903176181952,1.3977714793026057e-15,0.38181348140711246,0.0006657278785953696,0.8025498996572227,2.871001028636e-18,0.8025498996572227,2.871001028636e-18,0.8025498996572227,2.871001028636e-18,0.8022152949858607,3.0369101908789666e-18,,,-0.785161402839334,4.6519333853727005e-17,1.0,0.0
googlesamples/android-credentials,-0.2784163613018218,0.02472223605519013,-0.2784163613018218,0.02472223605519013,-0.2528366737413715,0.042150862950779334,,,-0.6040678656053258,9.955722365278177e-08,-0.5756733004630324,5.254408497319066e-07,-0.610905859520817,6.50744873930922e-08,-0.7196054594726026,1.4393988106245462e-11,-0.9562146255144163,2.5168237358534825e-35,0.8542885040855143,1.4592904798200415e-19,0.8733883114810574,2.3603998228416666e-21,,,0.8610634412675758,3.6258401675172474e-20,-0.2784163613018218,0.02472223605519013,-0.7866369607042084,8.07503849159683e-15,-0.9424022858574316,1.1505933589293142e-31,-0.8607242247359987,3.8943868715522727e-20,-0.9424022858574316,1.1505933589293142e-31,-0.9424022858574316,1.1505933589293142e-31,0.8542885040855143,1.4592904798200415e-19,-0.8073272051580154,4.555086682631653e-16,-0.8039584849589478,7.444372100143013e-16,-0.9559106954461841,3.1152456414479204e-35,-0.9395268165394267,5.109758410565017e-31,-0.8678819561556654,8.27440780543744e-21,-0.9404686648478091,3.1614024154087294e-31,-0.9051673536608815,4.309457799724406e-25,-0.9404686648478091,3.1614024154087294e-31,-0.6904064913174134,1.977187838563932e-10,-0.7205103143547149,1.3202120712902893e-11,-0.9404686648478091,3.1614024154087294e-31,-0.8662715399648884,1.1815590418641638e-20,-0.9395268165394267,5.109758410565017e-31,-0.8733883114810574,2.3603998228416666e-21,-0.8123240958677532,2.1589109845079373e-16,-0.8733883114810574,2.3603998228416666e-21,-0.2784163613018218,0.02472223605519013,-0.8542885040855143,1.4592904798200415e-19,-0.8542885040855143,1.4592904798200415e-19,-0.9240105638105597,5.37024153614323e-28,-0.9423693372246539,1.1709220899391808e-31,-0.6903802322988882,1.9815782565943678e-10,-0.9092597778535714,1.1439637081533585e-25,-0.9055809379234513,3.779271739799684e-25,-0.9055809379234513,3.779271739799684e-25,-0.937342773801762,1.5112107123150947e-30,0.8733883114810574,2.3603998228416666e-21,0.8542885040855143,1.4592904798200415e-19,1.0,0.0
googlesamples/android-EmojiCompat,-0.3906702080358071,0.01155658345402442,-0.3906702080358071,0.01155658345402442,-0.3906702080358071,0.01155658345402442,,,-0.568916923332656,0.00010393856125991377,-0.3906702080358071,0.01155658345402442,-0.568916923332656,0.00010393856125991377,-0.3906702080358071,0.01155658345402442,,,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,,,-0.3906702080358071,0.01155658345402442,,,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,,,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.3906702080358071,0.01155658345402442,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.568916923332656,0.00010393856125991377,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,,,-0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,,,-0.568916923332656,0.00010393856125991377,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,0.3906702080358071,0.01155658345402442,-0.3906702080358071,0.01155658345402442,,,0.9999999999999999,7.23116914908696e-307
googlesamples/android-instant-apps,-0.13486033637787456,0.39448130108362334,-0.13486033637787456,0.39448130108362334,-0.12953986840977386,0.41356715564392854,0.33126883514621897,0.03211334279601986,0.2640088612450035,0.09113118800742535,0.544422943337577,0.00019361215517640595,-0.20552544490847283,0.19163714345084049,-0.6200148731301081,1.1918808861962927e-05,0.33126883514621897,0.03211334279601986,0.6309504034767524,7.485674095204739e-06,0.6606981744369668,1.919732268171808e-06,0.33126883514621897,0.03211334279601986,-0.10335482154694242,0.5148208466350657,0.5434454589450387,0.00019986170269543744,0.33169478716750456,0.03187938473174663,0.549426129393496,0.000164302609205638,0.6301420105714646,7.752278322716067e-06,0.5487206383374428,0.00016817638089477912,0.5474674792576141,0.00017526149788521137,0.6231030527607305,1.047044248349536e-05,0.5484861380386618,0.00016948216592349257,-0.13806628106066876,0.38323271826043315,0.5634412398916071,0.00010228669934032071,0.544152098100405,0.00019532587887512872,0.5467660472216427,0.00017934399563460497,0.5445838619144278,0.00019260041577347087,0.544152098100405,0.00019532587887512872,0.5433224168338848,0.00020066114666648742,0.539847143915845,0.00022446850106985528,0.544152098100405,0.00019532587887512872,0.5467660472216427,0.00017934399563460497,0.5455339178242267,0.0001867238730301711,0.5467660472216427,0.00017934399563460497,0.550175033556613,0.00016027891889058748,0.550175033556613,0.00016027891889058748,0.5493418253995479,0.00016476122854990722,0.33126883514621897,0.03211334279601986,-0.13012521391469567,0.4114420054833504,0.5469214237877703,0.00017843232903002186,0.21832010215398057,0.16483330291277978,0.21903090912439693,0.16342829462292974,-0.6216976401826577,1.1108281114398796e-05,0.5467660472216427,0.00017934399563460497,0.5467660472216427,0.00017934399563460497,0.5506048875699524,0.00015800988146772617,0.5359695147187546,0.0002540169130249759,-0.44441060576322644,0.0031931614126119315,-0.6215055855779339,1.1198159871863552e-05,1.0,0.0
googlesamples/android-nearby,0.09135082876685256,0.4622138232738725,-0.7206046194460235,6.195315464916905e-12,0.045097074365757585,0.7170731874957987,0.7128232373098716,1.319081306253081e-11,-0.1234342524405746,0.31966275191297455,-0.9094987264716868,1.7981417116733717e-26,-0.06892810087690628,0.5794125439791455,-0.5783569590140296,2.9642731192046133e-07,-0.8375412684233273,1.0114504578964663e-18,0.44840197329430215,0.00014156832199132738,0.6868949034988018,1.381112420620213e-10,0.7786167744497268,8.775142248214944e-15,0.8770196771670212,2.2712961991919775e-22,0.7877162775051612,2.6185419425794503e-15,-0.45534188356712396,0.0001081013431287705,0.439509530225463,0.00019834979989595636,0.8164033346862531,3.790763464766348e-17,0.4103030132008148,0.0005638091125146289,0.7109619432757392,1.5746512708379217e-11,-0.5039353519783715,1.377307279481892e-05,0.8278839446373858,5.6291267786376584e-18,0.8273010338056697,6.222338925381923e-18,-0.8809404612114743,8.44385076340222e-23,0.5117112186544605,9.612037548714057e-06,0.5504823878299698,1.3921141942678877e-06,0.5117057047329093,9.614519682360936e-06,0.439509530225463,0.00019834979989595636,0.5117112186544605,9.612037548714057e-06,-0.8142709793569135,5.3237868573427796e-17,0.457029471410533,0.00010114986042715267,0.457029471410533,0.00010114986042715267,0.4570242456783612,0.0001011707350961354,0.44973089448322245,0.0001345023943663245,0.7474030621077816,3.7321831399281133e-13,0.8014182061408864,3.7750056210795355e-16,0.7577483478941417,1.1464767146118214e-13,0.8626675064760272,6.498295328909421e-21,0.7597749922588569,9.035445122979954e-14,-0.15254236734754398,0.217821170663595,0.442381381185021,0.00017806116672994778,0.457029471410533,0.00010114986042715267,-0.8741924196111798,4.541088298427485e-22,0.757376274086884,1.1974072096597638e-13,0.7740391098654085,1.5783321875633688e-14,0.757376274086884,1.1974072096597638e-13,0.42098479975360514,0.00038898191291357313,0.8834938516170254,4.34990287187015e-23,-0.2020705945809989,0.10103487733614508,1.0,0.0
