path,Java correlation,Java pvalue,Classes correlation,Classes pvalue,LOC correlation,LOC pvalue,PL correlation,PL pvalue,RFC correlation,RFC pvalue,CLOC correlation,CLOC pvalue,CBO correlation,CBO pvalue,NOC correlation,NOC pvalue,LCOM correlation,LCOM pvalue,WMC correlation,WMC pvalue,Readability correlation,Readability pvalue,DIT correlation,DIT pvalue,questions correlation,questions pvalue
spring-guides/tut-rest,0.6174547156212974,2.2153483308904364e-09,0.6186434803914388,2.022719788251752e-09,-0.1846301242381578,0.10794994126425028,-0.14284129677427201,0.2152373469908141,0.2734963645577078,0.016095310018570494,0.1887231666453782,0.10022587510944338,-0.26915356460485135,0.01793087491611348,,,-0.5635119410857717,9.51536301061507e-08,0.30579675199496464,0.006839051293359099,0.5201553830971928,1.243980096638987e-06,-0.6223370516828444,1.5209864725440102e-09,1.0,0.0
spring-guides/gs-spring-boot,0.6908196194783252,1.3164974099514682e-13,0.6908196194783252,1.3164974099514682e-13,0.8839936514940506,8.307482208806058e-30,0.8859676664289541,4.179014381927591e-30,0.5794142198510109,4.10661673518514e-09,0.6910587983993123,1.2811594694069224e-13,-0.7833663694498807,3.054733689126368e-19,,,0.8856758136672513,4.6295189650882444e-30,0.8731083395838929,2.9728373075802767e-28,-0.6960470905461954,7.21990675767643e-14,,,0.9999999999999999,0.0
spring-guides/gs-rest-service,0.8012565035606074,2.4674911307415663e-21,0.8012565035606074,2.4674911307415663e-21,0.3116152830492334,0.0027921727938546017,0.5426611198436933,3.2917397947538654e-08,0.27148237545715465,0.009644779717141084,-0.12496082164714739,0.24058830497155195,-0.8432092291817648,1.9053515578171917e-25,,,-0.7742784308421012,3.5528199310642123e-19,0.267053392292487,0.010944436750584556,0.38759567765898134,0.00016044700691216984,-0.2424663304575473,0.021303772061204814,1.0,0.0
spring-guides/gs-spring-boot-docker,0.4906346670243791,2.4978106398595653e-05,0.4906346670243791,2.4978106398595653e-05,0.4528611701315021,0.00011912161883034728,-0.10917617871661159,0.3791513954968436,0.5576014958989896,9.503853288188348e-07,0.0011627747697658172,0.9925489774695999,-0.021555013473859474,0.8625452114163605,,,,,0.3716647865700503,0.0019568898266557697,0.6331774421842946,8.942963633576506e-09,,,1.0,0.0
spring-guides/gs-scheduling-tasks,0.8502792943214684,2.9370810747153804e-26,0.8502792943214684,2.9370810747153804e-26,0.7661527210317118,1.390215282558294e-18,0.7661527210317118,1.390215282558294e-18,0.0,1.0,0.6390888675980884,1.2142048522204602e-11,-0.9054317968626047,1.671286140134096e-34,,,0.6891363167521776,5.960761667104627e-14,0.6127089821178253,1.3791978493451578e-10,-0.82428667721894,1.8605472031867203e-23,,,0.9999999999999999,0.0
spring-guides/gs-crud-with-vaadin,0.6357777533409038,2.1618035530054898e-08,0.1021671686728438,0.4255810822291771,0.06733572000831578,0.600032411480701,-0.15737816309101527,0.21801274524651995,0.6853290051079443,5.789438255893936e-10,-0.8297820362618707,4.308341053944645e-17,-0.8345427672717113,1.9525651743403142e-17,,,-0.27642832490827074,0.028302201698726485,-0.09736267165137123,0.447778804458949,0.07943576004996317,0.5360117810777507,-0.2615376612388859,0.0384045949517135,1.0,0.0
spring-guides/gs-uploading-files,0.8330865522358171,2.3732390251495453e-24,0.8330865522358171,2.3732390251495453e-24,0.8728444051219161,3.688653693006663e-29,0.8721502418566854,4.6148196036341505e-29,0.6604361797415809,1.4220649324762566e-12,0.8330865522358171,2.3732390251495453e-24,0.7179726337671837,1.6651801056991327e-15,0.7461327425304277,3.206119778839025e-17,0.727382132321229,4.698798438843893e-16,0.7827662703677121,8.03131626032116e-20,0.42357600373691073,3.184921440092726e-05,0.7415745749899225,6.289942841476461e-17,1.0,0.0
spring-guides/gs-serving-web-content,0.8999518107093187,2.167815592495858e-32,0.8844966792543097,6.98147767624114e-30,0.8357682183227337,7.60200104867503e-24,0.8286549172497962,3.939805481375267e-23,0.8286549172497962,3.939805481375267e-23,0.8355708693430975,7.965425920444884e-24,-0.8844966792543097,6.98147767624114e-30,,,,,0.8355708693430975,7.965425920444884e-24,-0.8201241465269299,2.5722662760885656e-22,,,1.0,0.0
spring-guides/gs-service-registration-and-discovery,0.6556018498335292,2.346248090654718e-12,0.6845730595889292,1.011189165185422e-13,-0.3263355807141027,0.0016951141099905529,-0.3254694764430852,0.0017468276552282222,-0.2840827743368195,0.006657239056515115,0.45908434024447514,5.336875502841512e-06,-0.3207705981279174,0.0020530578198376167,,,0.26836802705128393,0.010543578489569588,-0.3352026958607145,0.0012399245491226103,-0.39446054057554825,0.00011952752637720941,,,1.0,0.0
spring-guides/gs-securing-web,0.8461497664367639,1.6709036332826696e-25,0.7857907043804675,7.563939340389921e-20,0.8563574053175707,1.0595484362037344e-26,0.8576066345699136,7.4507323847137e-27,0.817735095884268,1.3999018712623674e-22,-0.25923600130089275,0.014161209765659849,-0.9118060937733247,2.1848975447026815e-35,,,-0.12743153618650585,0.2340264656355859,0.7818883236439976,1.5155546681829677e-19,0.1840120447141389,0.08431163848831927,-0.8824831971149584,3.047911198717692e-30,1.0,0.0
spring-guides/gs-rest-service-cors,-0.447256140881578,2.244958255234737e-05,-0.5412554223798637,1.2695838629685703e-07,-0.5127461152824829,7.201898076055901e-07,-0.5713328902330647,1.6942832245957838e-08,-0.5230722029967451,3.9116554261918437e-07,0.9524783043953071,1.4119957612123122e-43,0.5941174454082584,3.203684972529363e-09,,,-0.8803245154056684,5.832393975803344e-28,-0.5231581572124553,3.891500256952313e-07,-0.6919201169960775,4.375472863723545e-13,-0.8810697040510208,4.598283214910482e-28,1.0,0.0
spring-guides/gs-producing-web-service,0.6660005508940071,4.744882264457705e-12,0.6660005508940071,4.744882264457705e-12,-0.3070900574401882,0.004492245747118434,-0.3070900574401882,0.004492245747118434,0.1089076752237178,0.324066293252371,0.3881195397560518,0.000264313889788463,-0.1450059002909881,0.18815549434164888,,,0.5269515864152576,2.6142306184427343e-07,-0.3071724979513834,0.004480961560860327,0.3742088106280019,0.0004538572311641169,-0.07059270269505577,0.5234117475090759,0.9999999999999998,0.0
spring-guides/gs-multi-module,0.7319250547113998,1.1119551787785494e-08,0.7210008001634686,2.322663385940183e-08,-0.7178098095077965,2.8616741993961646e-08,-0.6974453358625693,1.0171588718913787e-07,-0.7133349849981976,3.816548835464993e-08,-0.7210008001634686,2.322663385940183e-08,-0.7133349849981976,3.816548835464993e-08,,,-0.7363977941869888,8.13992504760837e-09,-0.7210008001634686,2.322663385940183e-08,0.7491443237373646,3.2301676225261335e-09,,,1.0,0.0
