,framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
134,azure,Azure-Samples/event-grid-java-publish-consume-events,b37fc15a0867e4c3d4a22b05c95920823a8bfe90,2019-09-24 11:33:22-07:00,5,67.6,3.0,0.0003388982964679599
135,azure,Azure-Samples/event-hubs-java-storm-sender-jms-receiver,1bfb538661cccdc6b56aad174a6a077199a9e17a,2017-02-16 09:37:30+08:00,5,36.0,1.3076923076923077,0.36719630416482685
138,azure,Azure-Samples/eventhub-java-manage-event-hub,8450669411bd3da5bc3997f0254b4118c7eab706,2020-01-14 16:18:57+08:00,2,1275.5,3.8666666666666667,0.0
136,azure,Azure-Samples/eventhub-java-manage-event-hub-events,f7706702c4a4e549bd9b06086387d3a0d1319447,2020-01-14 16:21:59+08:00,2,1262.5,3.8444444444444446,0.0
137,azure,Azure-Samples/eventhub-java-manage-event-hub-geo-disaster-recovery,838cf3e2619fc2a6c3abc2c595665daf5fcd128f,2020-01-14 16:19:02+08:00,2,1275.5,3.888888888888889,0.0
139,azure,Azure-Samples/functions-docs-java,e7c315826e2b88803dac499d86fbd6a1e3fa004a,2020-02-11 09:41:29-05:00,7,20.428571428571427,1.1428571428571428,0.03751777405185359
140,azure,Azure-Samples/functions-java-push-static-contents-to-cdn,a23a73f4c6a87df5dfa9e40b4368d10aeba7078b,2019-10-16 15:15:56-07:00,4,70.75,1.894736842105263,0.0
141,azure,Azure-Samples/functions-quickstarts-java,8cb74ae951fee7951101f5a896bd58aaf0fbebeb,2020-03-18 13:58:21-07:00,3,40.666666666666664,1.0769230769230769,8.94533780713876e-05
142,azure,Azure-Samples/hbase-phoenix-connection-pool,4419cec25b25e0bad45c8e4d499305e4a9e55274,2017-06-23 11:36:14-07:00,5,59.6,3.0,0.0
143,azure,Azure-Samples/hdinsight-java-deploy-storm-topology,22db4695d5a0464c85e206ecf10d4e7a3199c2a8,2018-10-30 23:48:11-07:00,1,57.0,6.0,0.0
144,azure,Azure-Samples/hdinsight-java-hive-jdbc,a4f7e48ea3e97d36a7627e972b584d1d1164a049,2018-04-05 13:08:14-04:00,1,74.0,10.0,0.0
145,azure,Azure-Samples/hdinsight-java-hive-udf,c4a2779414d4240a6f4f05025d3e8c5040e60f61,2019-07-17 14:30:52-07:00,2,143.0,4.8,0.0
146,azure,Azure-Samples/hdinsight-java-sdk-samples,ef157f55904261e37d12de5892c56009fd852830,2019-07-28 18:31:58-07:00,4,84.75,1.0,0.0
147,azure,Azure-Samples/hdinsight-java-storm-eventhub,a02ccf0c72be789748e71591b5b91970d8affa48,2018-01-05 09:38:20-05:00,3,55.333333333333336,1.3846153846153846,0.0
148,azure,Azure-Samples/hdinsight-java-storm-wordcount,f2a1581d88bd073d60ae9eb6b17546bfc68af636,2018-01-03 14:31:01-05:00,7,37.57142857142857,1.44,0.0
149,azure,Azure-Samples/hdinsight-kafka-java-get-started,64df822b77e5bd3f6afbd293271b823ea8d8d13d,2020-05-12 10:57:52-05:00,9,45.44444444444444,2.411764705882353,0.00012349585692087808
150,azure,Azure-Samples/hdinsight-storm-azure-data-lake-store,e700263ba6fb0b7c5eff8ebff602b02bebfff52f,2018-10-30 23:49:48-07:00,1,30.0,1.0,0.0062903184443712234
151,azure,Azure-Samples/hdinsight-storm-java-kafka,165a590b14d8a12f4e09d49628527cb0ac4f1f74,2018-10-30 23:45:27-07:00,2,33.0,1.0,0.004920706618577242
152,azure,Azure-Samples/hello-spring-function-azure,85f6ca8965ff44666451321f578b111a8c5f8772,2020-05-11 13:41:18+02:00,6,26.5,1.5333333333333334,0.16657051005555937
155,azure,Azure-Samples/hybrid-compute-java-manage-vm,07c59f36fb2ada0ffb404410d6efcfeaa137cdc3,2020-03-18 16:20:35-07:00,2,1238.0,3.393258426966292,0.0
