,min,max,avg,med,std
AvgCyclomatic,1.0,217.0,22.845049504950495,6.0,41.49973282231076
AvgCyclomaticModified,1.0,199.0,21.332673267326733,6.0,37.75410719465709
AvgCyclomaticStrict,1.0,232.0,24.25181518151815,6.0,44.321338088886534
AvgEssential,1.0,141.0,15.640016501650164,5.0,26.072259569051592
AvgLine,3.0,1400.0,168.75214521452145,39.0,280.8756461409836
AvgLineBlank,0.0,253.0,7.202722772277228,3.0,13.535609199735461
AvgLineCode,3.0,1240.0,136.03547854785478,32.0,241.14723716969067
AvgLineComment,0.0,198.0,20.149009900990098,3.0,29.777396877647707
CountClassBase,1.0,338.0,20.00907590759076,5.0,34.300813944442574
CountClassCoupled,1.0,1422.0,88.2174092409241,18.0,177.22219459435652
CountClassCoupledModified,0.0,757.0,28.011633663366336,3.0,64.90959352260154
CountClassDerived,0.0,8.0,0.16897689768976898,0.0,0.7642226442482665
CountDeclClass,,,,,
CountDeclClassMethod,0.0,186.0,13.060808580858085,2.0,25.575643802458124
CountDeclClassVariable,0.0,508.0,38.460478547854784,1.0,91.78726389207004
CountDeclExecutableUnit,,,,,
CountDeclFile,,,,,
CountDeclFunction,,,,,
CountDeclInstanceMethod,0.0,977.0,83.38490099009901,11.0,178.0947566368016
CountDeclInstanceVariable,0.0,456.0,36.791171617161716,5.0,78.96755732434636
CountDeclMethod,1.0,1100.0,96.44570957095709,14.0,199.08895939591923
CountDeclMethodAll,13.0,4471.0,298.32846534653464,71.0,549.4216538842074
CountDeclMethodDefault,0.0,204.0,1.3085808580858085,0.0,6.1519789031950864
CountDeclMethodPrivate,0.0,424.0,28.42780528052805,0.0,73.76299561574164
CountDeclMethodProtected,0.0,93.0,8.60486798679868,0.0,19.332048240712304
CountDeclMethodPublic,0.0,630.0,58.10445544554455,12.0,109.78046180668386
CountInput,,,,,
CountLine,8.0,240577.0,1900.5248349834983,186.5,5318.402642422779
CountLineBlank,0.0,3052.0,206.9627887788779,34.0,381.335097160283
CountLineCode,7.0,178316.0,1402.4717821782178,124.0,4039.6758764280953
CountLineCodeDecl,3.0,172563.0,480.64125412541256,47.0,2882.4671783774174
CountLineCodeExe,1.0,171034.0,928.1986798679868,61.0,3315.898301013872
CountLineComment,0.0,61590.0,297.3223597359736,19.0,1164.7715903231026
CountOutput,,,,,
CountPath,,,,,
CountPathLog,,,,,
CountSemicolon,1.0,169619.0,663.8740099009901,48.0,2992.2534369811774
CountStmt,4.0,172943.0,902.7604785478547,74.0,3280.2198618004995
CountStmtDecl,2.0,171193.0,396.0714521452145,37.0,2802.2775101999214
CountStmtExe,1.0,5837.0,506.68902640264025,38.0,1094.9352446353741
Cyclomatic,,,,,
CyclomaticModified,,,,,
CyclomaticStrict,,,,,
Essential,,,,,
Knots,,,,,
MaxCyclomatic,1.0,684.0,58.693894389438945,7.0,127.86846541109705
MaxCyclomaticModified,1.0,488.0,46.81196369636964,7.0,93.0353857802669
MaxCyclomaticStrict,1.0,729.0,63.33077557755776,8.0,138.05966430097942
MaxEssential,1.0,402.0,29.056765676567657,5.0,68.47973395084696
MaxEssentialKnots,,,,,
MaxInheritanceTree,1.0,384.0,26.188861386138615,6.0,48.422176856371046
MaxNesting,0.0,191.0,18.25808580858086,3.0,38.39877522018334
MinEssentialKnots,,,,,
PercentLackOfCohesion,0.0,4832.0,485.34727722772277,100.0,899.9520904500343
PercentLackOfCohesionModified,0.0,3865.0,406.68737623762377,97.0,733.6319741263982
RatioCommentToCode,0.0,45.16999999999998,4.3010668316830625,0.55,6.640584053590671
SumCyclomatic,1.0,2561.0,204.70420792079207,18.0,464.7455962448047
SumCyclomaticModified,1.0,2222.0,184.7279702970297,18.0,405.0238370961358
SumCyclomaticStrict,1.0,2730.0,218.1825907590759,18.0,497.41967735269947
SumEssential,1.0,1523.0,117.06278877887789,15.0,262.06964151952155
numberJavaFiles,1,343,16.91138613861386,5.0,27.813915544296965
commitSha,000174e5c9e05d119930b2a13db5aefb837209ea,fffc58dc637c031b38ea441e4df33156fc6afb97,,,
commitDate,2013-04-15 08:50:04,2020-09-30 10:59:04,,,
readability,0.0,0.8671303987503052,0.16878828487830305,0.08028107193513279,0.1909943585966768
