framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
android,googlesamples/android-ActivityInstrumentation,8,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,40,8
android,googlesamples/chromeos-android-draganddrop-demo,3,3,1,2,0,0,9,1,2,0,1,1,0,0,0,0,0,0,2,43,19
android,googlesamples/android-BasicRenderScript,2,2,1,2,0,0,13,1,3,0,1,2,0,0,0,0,0,0,0,39,13
android,googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,7,2,1,2,0,0,10,1,2,0,1,0,0,0,0,0,0,0,0,77,52
android,googlesamples/android-CustomChoiceList,9,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,46,12
android,googlesamples/android-WatchViewStub,1,1,1,2,0,0,8,1,3,0,1,1,0,0,0,0,0,0,0,28,10
android,googlesamples/android-Timer,6,1,1,2,0,0,7,1,3,0,1,1,0,0,0,0,0,0,0,34,12
android,googlesamples/android-TextSwitcher,7,1,1,2,0,0,16,1,3,0,1,2,0,0,0,0,0,0,0,43,10
android,googlesamples/android-TextLinkify,8,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,43,10
android,googlesamples/android-SynchronizedNotifications,13,1,1,4,0,0,20,1,3,0,1,1,0,0,0,0,0,0,0,60,16
android,googlesamples/android-SwipeRefreshMultipleViews,14,1,1,2,0,0,18,1,3,0,1,2,0,0,0,0,0,0,0,50,8
android,googlesamples/android-SwipeRefreshListFragment,14,1,2,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,52,10
android,googlesamples/android-SwipeRefreshLayoutBasic,13,1,1,2,0,0,18,1,3,0,1,2,0,0,0,0,0,0,0,49,8
android,googlesamples/android-StorageProvider,10,1,1,2,0,0,17,1,3,0,1,2,2,0,0,0,0,0,0,56,17
android,googlesamples/android-StorageClient,10,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,45,10
android,googlesamples/android-SlidingTabsColors,13,1,1,2,0,0,17,1,3,0,1,2,0,0,0,0,0,0,0,51,11
android,googlesamples/android-SlidingTabsBasic,12,1,1,2,0,0,16,1,3,0,1,2,0,0,0,0,0,0,0,46,8
android,googlesamples/android-SkeletonWearableApp,2,1,1,2,0,0,5,1,3,0,1,1,0,0,0,0,0,0,0,28,12
android,googlesamples/android-ShareActionProvider,4,1,1,2,0,0,15,1,3,0,1,2,0,0,0,0,0,0,0,43,14
android,googlesamples/android-ScreenCapture,10,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,43,10
android,googlesamples/android-ScopedDirectoryAccess,4,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,50,23
android,googlesamples/android-RuntimePermissions,6,3,2,3,0,0,19,2,3,0,2,2,0,0,0,0,0,8,0,69,21
android,googlesamples/android-RevealEffectBasic,10,1,1,2,0,0,17,1,3,0,1,1,0,0,0,0,0,0,0,46,10
android,googlesamples/android-RepeatingAlarm,9,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,41,8
android,googlesamples/android-RenderScriptIntrinsic,3,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,39,12
android,googlesamples/android-RecyclerView,10,3,2,4,0,0,34,2,4,0,2,2,0,0,0,0,0,10,0,91,20
android,googlesamples/android-RecipeAssistant,14,1,1,2,0,0,16,1,3,0,1,1,0,0,0,0,0,0,4,73,30
android,googlesamples/android-Quiz,8,1,1,3,0,0,20,1,3,0,1,1,0,0,0,0,0,0,1,85,46
android,googlesamples/android-PermissionRequest,13,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,50,14
android,googlesamples/android-PdfRendererBasic,3,2,2,4,0,0,24,2,5,0,2,2,0,0,0,0,0,3,0,71,24
