Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,33c57c4817512c682dee494116b2e0ae3df75f13,2015-09-30 14:04:17-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,e88f827e900e669eeeef9334afded3f29a8c6053,2015-09-30 14:04:19-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,253094287be9e200428b95d176903f750648d11c,2015-10-02 12:07:46-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,c325b7a862c422f36db2779306490247c7a481d0,2015-12-28 10:52:23-08:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,e65e5ad8991d9f429742885feee1a8ba0a38b7a9,2015-12-28 10:52:57-08:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,9f4648073394837ea44f3034985c685fadc90d76,2016-01-21 06:27:25-08:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,7d67656b8ba8afc523731e6a3b59854bd53132bf,2016-01-21 06:27:25-08:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,b6e116271338bdc33fb24770384dce01ef18b7ee,2016-04-27 11:16:02-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,8a5b7671a076c5afbb977208620d1a83e9226257,2016-04-29 10:42:08-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,540d15297cfb98f7aa9009047c0bdc251a4692b5,2016-04-29 10:56:07-07:00,0.0
,,4.0,4.0,4.0,2.0,41.0,4.0,23.0,13.0,2.0,21.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,2.0,13.0,37.0,0.0,5.0,0.0,8.0,0.0,322.0,44.0,178.0,41.0,123.0,100.0,0.0,0.0,0.0,97.0,128.0,42.0,86.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,2.0,0.0,3.0,2.0,0.0,151.0,151.0,1.01,28.0,28.0,28.0,13.0,2,a133db518932d93b2f5793ce76fd656104031620,2016-05-10 10:59:09-07:00,0.0
,,4.0,4.0,5.0,2.0,46.0,5.0,27.0,14.0,2.0,22.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,8.0,3.0,15.0,39.0,0.0,5.0,0.0,10.0,0.0,370.0,52.0,210.0,44.0,148.0,108.0,0.0,0.0,0.0,122.0,161.0,47.0,114.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,2.0,0.0,3.0,2.0,0.0,160.0,160.0,0.8600000000000001,35.0,35.0,37.0,15.0,2,6d12e15a031ea14b59286eb854fb486826f053c1,2016-05-16 13:46:45-07:00,0.0
,,4.0,4.0,5.0,2.0,46.0,5.0,27.0,14.0,2.0,22.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,8.0,3.0,15.0,39.0,0.0,5.0,0.0,10.0,0.0,370.0,52.0,210.0,44.0,148.0,108.0,0.0,0.0,0.0,122.0,161.0,47.0,114.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,2.0,0.0,3.0,2.0,0.0,160.0,160.0,0.8600000000000001,35.0,35.0,37.0,15.0,2,27565ff200488b188f959f3c71de04db0342b9c5,2016-05-23 11:10:56-07:00,0.0
,,5.0,5.0,6.0,3.0,62.0,6.0,34.0,21.0,3.0,22.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,3.0,14.0,50.0,0.0,4.0,0.0,10.0,0.0,316.0,48.0,172.0,40.0,120.0,96.0,0.0,0.0,0.0,102.0,136.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,3.0,0.0,4.0,2.0,0.0,155.0,155.0,1.77,28.0,28.0,30.0,14.0,6,5a6922515b303d3fc44d5b1a4e08a1c713fb0be7,2016-08-25 16:01:57-03:00,3.414078916345412e-05
,,5.0,5.0,6.0,3.0,62.0,6.0,34.0,21.0,3.0,22.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,3.0,14.0,50.0,0.0,4.0,0.0,10.0,0.0,316.0,48.0,172.0,40.0,120.0,96.0,0.0,0.0,0.0,102.0,136.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,3.0,0.0,4.0,2.0,0.0,155.0,155.0,1.77,28.0,28.0,30.0,14.0,6,eb442c58d0fe7fbd657b53830fbfba4df1c59ff7,2016-09-14 14:52:11-03:00,3.414078916345412e-05
,,5.0,5.0,6.0,3.0,62.0,6.0,34.0,21.0,3.0,22.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,3.0,14.0,50.0,0.0,4.0,0.0,10.0,0.0,316.0,48.0,172.0,40.0,120.0,96.0,0.0,0.0,0.0,102.0,136.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,3.0,0.0,4.0,2.0,0.0,155.0,155.0,1.77,28.0,28.0,30.0,14.0,6,2da6e9124f82f4cf87ad860521f67eb9621fab29,2017-11-13 18:41:17+00:00,3.414078916345412e-05
,,5.0,5.0,6.0,3.0,62.0,6.0,34.0,21.0,3.0,22.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,3.0,14.0,50.0,0.0,4.0,0.0,10.0,0.0,316.0,48.0,172.0,40.0,120.0,96.0,0.0,0.0,0.0,102.0,136.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,3.0,0.0,4.0,2.0,0.0,155.0,155.0,1.77,28.0,28.0,30.0,14.0,6,b7f32116637d2eec49c6e4fc6f7ee20f3256e633,2017-11-15 07:36:07+00:00,0.019181666677468456
,,5.0,5.0,6.0,3.0,62.0,6.0,34.0,21.0,3.0,22.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,3.0,14.0,50.0,0.0,4.0,0.0,10.0,0.0,316.0,48.0,172.0,40.0,120.0,96.0,0.0,0.0,0.0,102.0,136.0,43.0,93.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,3.0,0.0,4.0,2.0,0.0,155.0,155.0,1.77,28.0,28.0,30.0,14.0,6,85fbaaa289d42e5283b6163fc833c70733ee6bcd,2017-11-15 09:18:00-08:00,0.019181666677468456
