,,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,readability,questions
2013,6,2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,2.0,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,2.0,0.0,0.0
2013,7,2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,2.0,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,2.0,0.0,0.0
2015,4,1.6666666666666665,1.6666666666666665,1.6666666666666665,1.0,13.722222222222221,1.0,9.055555555555557,3.4444444444444446,1.2222222222222223,6.166666666666666,1.7222222222222223,0.0,11.0,1.1111111111111112,1.5555555555555556,,,,2.6666666666666665,1.5555555555555556,3.7777777777777777,15.777777777777779,0.0,1.2222222222222223,0.0,2.555555555555556,,63.5,9.722222222222221,39.83333333333333,13.388888888888886,24.111111111111114,14.5,,,,20.111111111111107,27.944444444444443,12.166666666666668,15.777777777777777,,,,,,2.5555555555555554,2.5555555555555554,2.7222222222222223,1.0,,1.0,0.9444444444444444,,20.27777777777778,17.111111111111114,0.44388888888888883,6.611111111111111,6.611111111111111,6.777777777777779,3.7777777777777777,9.0,0.00034199109888339245,0.0
2015,5,2.5,2.5,2.5,1.0,17.5,3.5,11.0,2.5,1.5,11.0,0.5,0.0,2.0,4.0,2.5,,,,2.0,0.5,6.0,18.0,0.0,3.5,0.0,2.5,,143.0,34.0,77.5,27.0,54.5,31.5,,,,40.5,55.5,23.5,32.0,,,,,,6.0,6.0,6.0,2.5,,1.5,3.0,,37.5,37.5,0.365,14.5,14.5,14.5,7.5,2.0,0.0,0.0
2015,7,1.9148936170212767,1.893617021276596,1.9787234042553192,1.0212765957446808,27.78723404255319,5.319148936170213,20.680851063829788,1.5531914893617018,1.0425531914893618,8.851063829787234,0.3404255319148936,0.0,62.0,3.9361702127659575,1.9787234042553192,,,,0.2127659574468085,0.14893617021276595,4.148936170212766,16.148936170212767,0.2127659574468085,2.127659574468085,0.0,1.8085106382978724,,133.0212765957447,28.63829787234043,97.06382978723404,31.76595744680851,75.65957446808511,8.0,,,,48.319148936170215,61.85106382978724,26.617021276595747,35.23404255319149,,,,,,3.6808510638297873,3.638297872340425,3.765957446808511,1.425531914893617,,1.0212765957446808,1.6382978723404256,,35.23404255319149,23.957446808510642,0.08553191489361701,9.148936170212766,9.106382978723405,9.23404255319149,4.8085106382978715,47.0,0.0001566862277198402,0.0
2016,5,1.9148936170212767,1.893617021276596,1.9787234042553192,1.0212765957446808,27.78723404255319,5.319148936170213,20.680851063829788,1.5531914893617018,1.0425531914893618,8.851063829787234,0.3404255319148936,0.0,62.0,3.9361702127659575,1.9787234042553192,,,,0.2127659574468085,0.14893617021276595,4.148936170212766,16.148936170212767,0.2127659574468085,2.127659574468085,0.0,1.8085106382978724,,133.0212765957447,28.63829787234043,97.06382978723404,31.76595744680851,75.65957446808511,8.0,,,,48.319148936170215,61.85106382978724,26.617021276595747,35.23404255319149,,,,,,3.6808510638297873,3.638297872340425,3.765957446808511,1.425531914893617,,1.0212765957446808,1.6382978723404256,,35.23404255319149,23.957446808510642,0.08553191489361701,9.148936170212766,9.106382978723405,9.23404255319149,4.8085106382978715,47.0,0.0001566862277198402,0.0
2017,2,1.9079626047711151,1.8868471953578336,1.9713088330109605,1.0211154094132817,27.821727917472604,5.301579626047712,20.65296582849774,1.6349129593810445,1.0422308188265634,8.81431334622824,0.3378465506125081,0.0,62.36363636363637,3.9139264990328826,1.9637330754352034,,,,0.21872985170857512,0.14780786589297223,4.132656350741455,16.132656350741453,0.21115409413281758,2.1191166989039334,0.0,1.8023855577047065,,132.60025789813028,28.495325596389435,96.62975499677628,31.63894261766603,75.31947130883303,8.150870406189556,,,,48.10638297872342,61.56608639587364,26.513862024500316,35.052224371373306,,,,,,3.660541586073501,3.6183107672469372,3.7450032237266284,1.4223081882656348,,1.0211154094132817,1.6334622823984526,,34.967117988394584,23.77595099935525,0.09107672469374598,9.094777562862669,9.052546744036105,9.179239200515793,4.787234042553191,47.36363636363637,0.0001557818339090475,0.0
2017,6,0.8999999999999992,0.8999999999999992,0.9500000000000002,0.8000000000000002,3.849999999999997,0.05000000000000001,3.3499999999999974,0.4000000000000001,1.2000000000000008,3.5,1.0499999999999994,0.4000000000000001,24.0,0.05000000000000001,0.1500000000000001,,,,2.849999999999998,1.2000000000000008,2.900000000000002,16.95000000000001,0.0,0.05000000000000001,0.20000000000000004,2.650000000000002,,31.599999999999987,5.25,17.79999999999999,8.199999999999994,5.75,8.550000000000006,,,,5.650000000000004,10.300000000000008,5.849999999999996,4.4499999999999975,,,,,,1.350000000000001,1.350000000000001,1.450000000000001,1.0499999999999994,,1.6499999999999997,0.4499999999999996,,27.5,22.25,0.8079999999999999,3.650000000000003,3.650000000000003,3.75,3.25,25.0,0.05717767860429982,0.0
2017,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.0,14.277777777777779,1.1111111111111112,9.5,3.4444444444444446,1.2222222222222223,6.333333333333332,1.7777777777777777,0.0,11.0,1.1111111111111112,1.5555555555555556,,,,2.6666666666666665,1.6666666666666667,3.7777777777777777,15.777777777777779,0.0,1.2222222222222223,0.0,2.555555555555556,,66.05555555555554,10.111111111111109,41.94444444444444,13.555555555555555,25.833333333333336,14.555555555555555,,,,21.5,29.611111111111114,12.444444444444445,17.166666666666664,,,,,,2.6666666666666665,2.6666666666666665,2.888888888888889,1.0,,1.0,1.0,,20.0,17.555555555555557,0.4294444444444444,6.888888888888888,6.888888888888888,7.111111111111112,3.7777777777777777,9.0,0.00029225328762549907,0.0
2017,10,1.1293636857728164,1.1293636857728164,1.137265353902755,0.94566732165503,22.555830790027457,1.8379670276070623,16.519935337319005,4.002525885976281,1.0790166812993853,5.846203157880068,1.151584514402776,0.3476733977172959,43.294117647058826,0.8843492620928968,1.022537870869741,,,,2.9203666541243374,1.703227559680589,3.8047159162172335,17.630001254233033,0.681139122315593,0.590534721351227,0.18964003511852504,2.343402037431887,,88.87488677062868,11.639446325793998,58.314087824184405,20.790957676602975,40.30900469640592,19.03503142550553,,,,34.21182602394191,42.88933483841297,18.672282843485654,24.217051994927324,,,,,,1.7880764245996903,1.7042762378583274,1.8433881015092604,1.1678930278579092,,1.6263082347366806,0.8333751411012167,,30.272130245132885,25.177651657678,0.5725517371127554,6.560502808088408,6.476702621347046,6.615814484997977,4.856703875580082,42.88235294117647,0.09941703736972121,0.0
