,min,max,avg,med,std
AvgCyclomatic,0.9444444444444444,8.0,2.2593724524064416,1.75,1.3834203493505286
AvgCyclomaticModified,0.9444444444444444,8.0,2.2279160515368486,1.7142857142857142,1.3923426423423424
AvgCyclomaticStrict,0.9444444444444444,8.0,2.3861933527986445,1.9166666666666667,1.4087552669547432
AvgEssential,0.8333333333333334,6.0,1.0764290531327316,1.0,0.42905913859833017
AvgLine,3.0,146.0,30.06212822161304,20.3,24.177139585996713
AvgLineBlank,0.0,20.5,3.9866277105075922,2.0,4.444615117444313
AvgLineCode,3.0,103.0,20.409751836608,14.333333333333336,15.810873881154711
AvgLineComment,0.0,22.5,5.231474045015828,4.5625,4.6942160577990775
CountClassBase,1.0,1.5,1.081299771871224,1.0,0.12153268754989166
CountClassCoupled,0.3333333333333333,30.0,10.688372643867767,10.5,5.024626142571151
CountClassCoupledModified,0.0,6.089108910891089,0.9614572013969098,0.6,1.2249818003250372
CountClassDerived,0.0,0.16666666666666666,0.005332117706615569,0.0,0.02789576309933283
CountDeclClass,1.0,500.0,26.690246516613076,7.0,55.73336162390152
CountDeclClassMethod,0.0,45.0,8.849161294739071,1.7317073170731707,14.296338183428668
CountDeclClassVariable,0.0,8.5,1.728097462129237,1.0,1.8749385693905178
CountDeclExecutableUnit,,,,,
CountDeclFile,,,,,
CountDeclFunction,,,,,
CountDeclInstanceMethod,0.0,10.75,3.0612039792260384,2.25,2.736405054112276
CountDeclInstanceVariable,0.0,5.0,1.377184299144388,1.2,1.4486669508172325
CountDeclMethod,1.0,45.5,11.910365273965137,6.7142857142857135,13.507021864455282
CountDeclMethodAll,13.0,131.66666666666666,24.432200892013554,18.714285714285715,13.946021277721597
CountDeclMethodDefault,0.0,3.1485148514851486,0.2590951492925071,0.0,0.6603027356073763
CountDeclMethodPrivate,0.0,9.0,1.6398331067180174,1.4545454545454546,1.3010702040612652
CountDeclMethodProtected,0.0,1.25,0.09633295120608788,0.0,0.21829644707482024
CountDeclMethodPublic,0.6666666666666666,43.5,9.915104066748578,4.0,13.553168517184677
CountInput,,,,,
CountLine,7.0,1622.5,378.78576257043807,161.0,492.150124934094
CountLineBlank,0.6666666666666666,153.0,40.50708413287557,22.0,43.70016953851572
CountLineCode,6.0,1207.0,268.035996953405,91.2,368.30374254894343
CountLineCodeDecl,3.0,178.0,50.87569967331359,26.0,52.766948435401034
CountLineCodeExe,1.5,992.5,210.6065077864236,61.5,305.9615633410332
CountLineComment,0.0,268.5,70.82157367844393,43.15909090909091,82.09696438649516
CountOutput,,,,,
CountPath,,,,,
CountPathLog,,,,,
CountSemicolon,1.5,395.5,98.56496361864905,46.85714285714285,116.45977396158644
CountStmt,3.5,629.5,148.21092325249538,63.80487804878049,187.3583682444422
CountStmtDecl,2.333333333333333,212.0,54.97354807071857,26.42857142857143,63.6544539834355
CountStmtExe,1.0,420.5,93.23737518177661,34.63809523809524,124.55960234257353
Cyclomatic,,,,,
CyclomaticModified,,,,,
CyclomaticStrict,,,,,
Essential,,,,,
Knots,,,,,
MaxCyclomatic,1.0,17.666666666666668,6.137044018769141,3.5,4.933389336534442
MaxCyclomaticModified,1.0,17.666666666666668,5.938671074084213,3.5,4.886414856271835
MaxCyclomaticStrict,1.0,20.5,6.567376890351871,3.636363636363636,5.371240150074874
MaxEssential,0.8333333333333334,6.0,1.5599230901847967,1.2857142857142858,0.7688981544927479
MaxEssentialKnots,,,,,
MaxInheritanceTree,1.0,1.75,1.123759826772956,1.0,0.20078173567101648
MaxNesting,0.0,5.5,1.911843095840604,1.52,1.1714627178940444
MinEssentialKnots,,,,,
PercentLackOfCohesion,0.0,80.0,32.69946486257081,30.66666666666667,20.977833392462397
PercentLackOfCohesionModified,0.0,80.0,29.887249781351713,30.66666666666667,19.478945996750756
RatioCommentToCode,0.0,1.16,0.3639836505700664,0.325,0.22479305071244338
SumCyclomatic,1.0,177.5,37.182203701920905,11.295238095238096,53.62628671178078
SumCyclomaticModified,1.0,177.5,36.965691255819074,11.228571428571426,53.69924432980351
SumCyclomaticStrict,1.0,190.0,38.8407211216753,11.82857142857143,56.44483028726897
SumEssential,1.0,48.0,12.57239205278203,7.2857142857142865,13.80562481349678
type,average,average,,,
numberJavaFiles,1.0,232.0,14.122186495176848,4.0,25.98377817526394
commitSha,003cab8b5e3b6ece8b3bce6bc1a99c72cd33a1c9,ffdea8a2279e9751751fa99577cbc67ba2dbf10d,,,
commitDate,2015-09-15 15:21:50,2020-09-30 10:59:04,,,
readability,0.0,0.5359762577960888,0.043691986599488954,0.0007068783670547418,0.07776024595582126
