,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
spring-guides\\tut-rest,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=11.811672563227228, Tau=0.7833663366336634, s=3956.0, var_s=112116.66666666667, slope=0.423629112662014, intercept=12.818544366899303)","Mann_Kendall_Test(trend='decreasing', h=True, p=4.484363991252849e-10, z=-6.236162123311593, Tau=-0.419009900990099, s=-2116.0, var_s=115023.33333333333, slope=-0.8017269736842103, intercept=65.48108552631578)","Mann_Kendall_Test(trend='increasing', h=True, p=0.005889128158382384, z=2.753891536095404, Tau=0.18455445544554455, s=932.0, var_s=114289.33333333333, slope=0.0008764571772701877, intercept=1.3175216789516164)","Mann_Kendall_Test(trend='increasing', h=True, p=5.664801960847399e-12, z=6.887832083425101, Tau=0.4621782178217822, s=2334.0, var_s=114726.66666666667, slope=0.003044900316049646, intercept=0.15516522057816887)"
spring-guides\\gs-vault-config,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.116061211353289, Tau=0.4862068965517241, s=3243.0, var_s=126477.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.828894813371562e-10, z=6.375061469192851, Tau=0.3851574212893553, s=2569.0, var_s=162263.66666666666, slope=0.07547169811320754, intercept=6.660377358490567)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.00475876928377339, z=-2.8229250650306317, Tau=-0.1715142428785607, s=-1144.0, var_s=163943.33333333334, slope=0.0, intercept=0.2389574646949768)"
spring-guides\\gs-spring-boot,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=12.232597690696995, Tau=0.5065374557760345, s=9879.0, var_s=652079.6666666666, slope=0.011049723756906077, intercept=2.9116022099447516)","Mann_Kendall_Test(trend='increasing', h=True, p=7.943596869175451e-07, z=4.9367480909256765, Tau=0.22960570168691996, s=4478.0, var_s=822417.3333333334, slope=0.0014492753623188508, intercept=18.35724637681159)","Mann_Kendall_Test(trend='decreasing', h=True, p=6.335029723025798e-08, z=-5.409077262662559, Tau=-0.2490898836076501, s=-4858.0, var_s=806287.3333333334, slope=0.0, intercept=1.4)","Mann_Kendall_Test(trend='no trend', h=False, p=0.1465601368905558, z=1.4517895268303571, Tau=0.06804081423370764, s=1327.0, var_s=834218.3333333334, slope=0.0, intercept=0.31599165064593154)"
spring-guides\\gs-rest-service,"Mann_Kendall_Test(trend='increasing', h=True, p=7.179466972484505e-06, z=4.48829736160978, Tau=0.1343915343915344, s=8255.0, var_s=3381938.3333333335, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0021935573547082754, z=3.062691959143747, Tau=0.10292226292226292, s=6322.0, var_s=4259562.0, slope=0.0, intercept=14.333333333333336)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006121139714918566, z=3.4261891425578432, Tau=0.03353683353683354, s=2060.0, var_s=361152.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=16.72308760112306, Tau=0.5860154660154661, s=35996.0, var_s=4632884.0, slope=0.0001041010062655677, intercept=0.3161851342200585)"
spring-guides\\gs-spring-boot-docker,"Mann_Kendall_Test(trend='no trend', h=False, p=0.0872880361052657, z=1.709880159019439, Tau=0.01282051282051282, s=155.0, var_s=8111.666666666667, slope=0.0, intercept=3.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-13.792987226550459, Tau=-0.7156327543424318, s=-8652.0, var_s=393383.3333333333, slope=-0.020833333333333332, intercept=20.28125)","Mann_Kendall_Test(trend='decreasing', h=True, p=3.774758283725532e-15, z=-7.858795916877397, Tau=-0.28941273779983456, s=-3499.0, var_s=198119.66666666666, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.499921090574519, Tau=0.4481389578163772, s=5418.0, var_s=406151.3333333333, slope=0.0007461782104225571, intercept=-0.0069253419836362365)"
spring-guides\\gs-scheduling-tasks,"Mann_Kendall_Test(trend='increasing', h=True, p=0.00039673199893974775, z=3.542248193671742, Tau=0.13366760425583954, s=3279.0, var_s=856367.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.821354168913231, Tau=0.4030410500998736, s=9887.0, var_s=1013207.6666666666, slope=0.00641025641025641, intercept=9.291666666666666)","Mann_Kendall_Test(trend='no trend', h=False, p=0.4397668724381729, z=-0.7725869461405775, Tau=-0.02380661204190616, s=-584.0, var_s=569432.6666666666, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=4.4263618814710526e-07, z=-5.049643129091101, Tau=-0.22057804410745588, s=-5411.0, var_s=1147818.3333333333, slope=-0.0001676916786767906, intercept=0.5754686904763713)"
spring-guides\\gs-maven,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.516601652277734, Tau=0.4290853031860226, s=4175.0, var_s=192371.66666666666, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.516601652277734, Tau=0.4290853031860226, s=4175.0, var_s=192371.66666666666, slope=0.0, intercept=7.25)","Mann_Kendall_Test(trend='no trend', h=False, p=0.08775687295619816, z=1.7073507800260062, Tau=0.014285714285714285, s=139.0, var_s=6533.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-11.656908774221701, Tau=-0.6289825282631039, s=-6120.0, var_s=275546.0, slope=-7.632581087259231e-05, intercept=0.8310853037696619)"
spring-guides\\gs-crud-with-vaadin,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=10.245921897700434, Tau=0.5431129476584022, s=3943.0, var_s=148023.66666666666, slope=0.015384615384615385, intercept=10.076923076923077)","Mann_Kendall_Test(trend='increasing', h=True, p=3.222906765909528e-06, z=4.6560774875006254, Tau=0.2798898071625344, s=2032.0, var_s=190274.0, slope=0.002424673477305125, intercept=40.58179231863442)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.03505612799274882, z=-2.107709466159515, Tau=-0.12672176308539945, s=-920.0, var_s=190112.0, slope=0.0, intercept=1.319148936170213)","Mann_Kendall_Test(trend='decreasing', h=True, p=3.864686841659193e-07, z=-5.075504758487719, Tau=-0.30578512396694213, s=-2220.0, var_s=191142.0, slope=-0.0001567186840233505, intercept=0.17248496897697738)"
spring-guides\\gs-uploading-files,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0009648457170785552, z=3.3005818318448674, Tau=0.14129061187884717, s=3466.0, var_s=1102111.3333333333, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.572786860044909, Tau=0.38302555949614775, s=9396.0, var_s=1201018.0, slope=0.03672316384180787, intercept=19.19209039548023)","Mann_Kendall_Test(trend='decreasing', h=True, p=1.5332774883081157e-06, z=-4.806848947203911, Tau=-0.2102237984590926, s=-5157.0, var_s=1150548.3333333333, slope=-0.00027642636001769033, intercept=1.5305451127819547)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=9.379786097979116, Tau=0.42097753862459747, s=10327.0, var_s=1211932.3333333333, slope=0.0020139974096979895, intercept=-0.20596987590692342)"
spring-guides\\gs-testing-web,"Mann_Kendall_Test(trend='increasing', h=True, p=1.4521717162097048e-13, z=7.391562272596811, Tau=0.5296037296037296, s=1136.0, var_s=23578.666666666668, slope=0.02127659574468085, intercept=8.308510638297872)","Mann_Kendall_Test(trend='decreasing', h=True, p=1.0547118733938987e-13, z=-7.433839316055648, Tau=-0.5328671328671328, s=-1143.0, var_s=23599.666666666668, slope=-0.001811594202898525, intercept=17.72554347826087)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.9363043260848385, z=0.079915670941184, Tau=0.006993006993006993, s=15.0, var_s=30689.666666666668, slope=0.0, intercept=0.2314483307604355)"
spring-guides\\gs-serving-web-content,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=10.656816665764829, Tau=0.4143646408839779, s=6825.0, var_s=410037.0, slope=0.0, intercept=4.0)","Mann_Kendall_Test(trend='increasing', h=True, p=2.966393117587174e-05, z=4.17603107668982, Tau=0.1916094954768988, s=3156.0, var_s=570783.3333333334, slope=0.0, intercept=6.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0030613776609997867, z=2.961506767019924, Tau=0.032602756359662435, s=537.0, var_s=32757.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.008448597584097994, z=-2.633595889081268, Tau=-0.12397547204177038, s=-2042.0, var_s=600603.3333333334, slope=0.0, intercept=0.5832565352320671)"
spring-guides\\gs-service-registration-and-discovery,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=12.647342513288875, Tau=0.4796783307976527, s=11035.0, var_s=761145.0, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-10.512964155343123, Tau=-0.4481634427298413, s=-10310.0, var_s=961574.0, slope=-0.0017985611510791368, intercept=29.192446043165468)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-9.919167230097859, Tau=-0.4029993479678331, s=-9271.0, var_s=873391.6666666666, slope=0.0, intercept=1.5)","Mann_Kendall_Test(trend='decreasing', h=True, p=2.2242865327370964e-09, z=-5.980518363243715, Tau=-0.24146924581612692, s=-5555.0, var_s=862450.3333333334, slope=0.0, intercept=0.05497519299387932)"
spring-guides\\gs-securing-web,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=8.993744206231137, Tau=0.29425947594227564, s=8299.0, var_s=851267.0, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='increasing', h=True, p=4.349205662279587e-09, z=5.870333045408136, Tau=0.25270361309080597, s=7127.0, var_s=1473554.3333333333, slope=0.005633802816901438, intercept=16.13239436619718)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0016061253783006268, z=-3.1547920515118713, Tau=-0.047725419281636705, s=-1346.0, var_s=181762.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=12.087146218656851, Tau=0.5241640960181541, s=14783.0, var_s=1495611.6666666667, slope=0.00014664366375654936, intercept=0.012611241041449832)"
spring-guides\\gs-rest-service-cors,"Mann_Kendall_Test(trend='decreasing', h=True, p=1.131392757258709e-10, z=-6.4482630891637704, Tau=-0.34261025698574793, s=-3053.0, var_s=224018.33333333334, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-9.466830458216789, Tau=-0.5333857030636292, s=-4753.0, var_s=251967.0, slope=-0.024285714285714292, intercept=29.815)","Mann_Kendall_Test(trend='no trend', h=False, p=0.08796213568202971, z=1.7062468155248587, Tau=0.014925373134328358, s=133.0, var_s=5985.0, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.050558032763809324, z=-1.9552121696552922, Tau=-0.110313096173269, s=-983.0, var_s=252252.33333333334, slope=0.0, intercept=0.20147977210581305)"
