,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
aws-samples\\aws-sqlagentjob-to-stepfunctions,"Mann_Kendall_Test(trend='increasing', h=True, p=0.008113117265565739, z=2.647325694608303, Tau=0.5454545454545454, s=30.0, var_s=120.0, slope=0.1111111111111111, intercept=-0.5555555555555556)","Mann_Kendall_Test(trend='increasing', h=True, p=0.008113117265565739, z=2.647325694608303, Tau=0.5454545454545454, s=30.0, var_s=120.0, slope=9.222222222222221, intercept=-46.11111111111111)","Mann_Kendall_Test(trend='increasing', h=True, p=0.008113117265565739, z=2.647325694608303, Tau=0.5454545454545454, s=30.0, var_s=120.0, slope=1.4444444444444444, intercept=-7.222222222222222)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
aws-samples\\aws-codeguru-profiler-demo-application,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=67.4)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=2.0769230769230766)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.002343034371733665)"
aws-samples\\aws-trusted-advisor-co-aggregator,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=2.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019363849765463348, z=2.3384512888618714, Tau=0.8666666666666667, s=13.0, var_s=26.333333333333332, slope=2.1666666666666665, intercept=48.583333333333336)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6967274236606604, z=-0.3897418814769785, Tau=-0.2, s=-3.0, var_s=26.333333333333332, slope=-0.020833333333333332, intercept=1.2708333333333333)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
aws-samples\\amazon-cloudwatch-monitor-for-sap-netweaver,"Mann_Kendall_Test(trend='no trend', h=False, p=0.10356187117653404, z=1.6278255976825613, Tau=0.06060606060606061, s=32.0, var_s=362.6666666666667, slope=0.0, intercept=8.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.041169948015519875, z=-2.041814372701707, Tau=-0.1875, s=-99.0, var_s=2303.6666666666665, slope=0.0, intercept=94.25)","Mann_Kendall_Test(trend='increasing', h=True, p=1.0008662024496573e-05, z=4.416986194007774, Tau=0.4034090909090909, s=213.0, var_s=2303.6666666666665, slope=0.0, intercept=3.851851851851852)","Mann_Kendall_Test(trend='increasing', h=True, p=7.592415065538205e-07, z=4.9455628964097285, Tau=0.5151515151515151, s=272.0, var_s=3002.6666666666665, slope=6.597635469266343e-05, intercept=0.003996964993088374)"
aws-samples\\amazon-automated-forecast,"Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=40.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.03982435536481077, z=2.055566129482595, Tau=0.7333333333333333, s=11.0, var_s=23.666666666666668, slope=0.0625, intercept=74.64375)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=1.574468085106383)","Mann_Kendall_Test(trend='no trend', h=False, p=0.2415665869689727, z=1.1710800875382399, Tau=0.3333333333333333, s=5.0, var_s=11.666666666666666, slope=0.0, intercept=0.059020314472581964)"
aws-samples\\aws-rapid-prototyping-with-java,"Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=10.0, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=50.9, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=1.6071428571428572, intercept=0.0)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0.0, Tau=1.0, s=1.0, var_s=1.0, slope=0.09328032894991338, intercept=0.0)"
aws-samples\\iot-reference-architectures,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=12.628650104086333, Tau=0.39042220228063645, s=35676.0, var_s=7980206.0, slope=0.04878048780487805, intercept=15.585365853658537)","Mann_Kendall_Test(trend='decreasing', h=True, p=5.6534791172957455e-06, z=-4.538950922077346, Tau=-0.14500207927509903, s=-13250.0, var_s=8520306.666666666, slope=-0.0026455026455027017, intercept=56.91096866096868)","Mann_Kendall_Test(trend='increasing', h=True, p=3.86690679476942e-12, z=6.941963489253868, Tau=0.22126770119722472, s=20219.0, var_s=8482263.0, slope=0.00017274737423991188, intercept=1.2773367460979188)","Mann_Kendall_Test(trend='increasing', h=True, p=3.627900967195785e-06, z=4.631634556984825, Tau=0.14681870909847008, s=13416.0, var_s=8389050.0, slope=0.0, intercept=0.011539433032989368)"
aws-samples\\amazon-msk-client-authentication,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0008357847864477463, z=3.3406634161263606, Tau=0.4311594202898551, s=119.0, var_s=1247.6666666666667, slope=0.0, intercept=1.0)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0002215674518541988, z=-3.6930648956793903, Tau=-0.5217391304347826, s=-144.0, var_s=1499.3333333333333, slope=-10.431929824561404, intercept=261.56719298245616)","Mann_Kendall_Test(trend='increasing', h=True, p=0.006067095739263673, z=2.7441329683584024, Tau=0.3695652173913043, s=102.0, var_s=1354.6666666666667, slope=0.004546957671957688, intercept=2.3227099867724865)","Mann_Kendall_Test(trend='increasing', h=True, p=0.0006278710693017331, z=3.419279890001768, Tau=0.4384057971014493, s=121.0, var_s=1231.6666666666667, slope=0.0, intercept=0.0)"
aws-samples\\aws-service-catalog-terraform-reference-architecture,"Mann_Kendall_Test(trend='increasing', h=True, p=1.7184421177818265e-05, z=4.298646611689568, Tau=0.1874451273046532, s=427.0, var_s=9821.0, slope=0.0, intercept=19.0)","Mann_Kendall_Test(trend='increasing', h=True, p=1.7184421177818265e-05, z=4.298646611689568, Tau=0.1874451273046532, s=427.0, var_s=9821.0, slope=0.0, intercept=48.05263157894736)","Mann_Kendall_Test(trend='increasing', h=True, p=1.7184421177818265e-05, z=4.298646611689568, Tau=0.1874451273046532, s=427.0, var_s=9821.0, slope=0.0, intercept=1.8387096774193548)","Mann_Kendall_Test(trend='increasing', h=True, p=1.7184421177818265e-05, z=4.298646611689568, Tau=0.1874451273046532, s=427.0, var_s=9821.0, slope=0.0, intercept=0.0056770468363538384)"
aws-samples\\diy-code-signing-kms-private-ca,"Mann_Kendall_Test(trend='no trend', h=False, p=0.14750139990263267, z=1.4484136487558028, Tau=0.16666666666666666, s=11.0, var_s=47.666666666666664, slope=0.0, intercept=5.0)","Mann_Kendall_Test(trend='increasing', h=True, p=0.002635812251771119, z=3.007298012521691, Tau=0.5909090909090909, s=39.0, var_s=159.66666666666666, slope=0.3749999999999977, intercept=145.1375)","Mann_Kendall_Test(trend='no trend', h=False, p=0.14750139990263267, z=1.4484136487558028, Tau=0.16666666666666666, s=11.0, var_s=47.666666666666664, slope=0.0, intercept=1.4029850746268655)","Mann_Kendall_Test(trend='no trend', h=False, p=1.0, z=0, Tau=0.0, s=0.0, var_s=0.0, slope=0.0, intercept=0.0)"
aws-samples\\aws-codeguru-profiler-sample-application,"Mann_Kendall_Test(trend='increasing', h=True, p=0.013708394561390724, z=2.464815167011795, Tau=0.5111111111111111, s=23.0, var_s=79.66666666666667, slope=0.5, intercept=5.75)","Mann_Kendall_Test(trend='no trend', h=False, p=0.7383634642235701, z=-0.3340213285613424, Tau=-0.08888888888888889, s=-4.0, var_s=80.66666666666667, slope=0.0, intercept=29.5)","Mann_Kendall_Test(trend='no trend', h=False, p=0.6540462351699821, z=-0.44814821218396267, Tau=-0.1111111111111111, s=-5.0, var_s=79.66666666666667, slope=0.0, intercept=1.6206896551724137)","Mann_Kendall_Test(trend='increasing', h=True, p=0.019379504523524105, z=2.338149299929397, Tau=0.4888888888888889, s=22.0, var_s=80.66666666666667, slope=0.0004148547777731438, intercept=0.00399157566971553)"
aws-samples\\eb-java-scorekeep,"Mann_Kendall_Test(trend='increasing', h=True, p=0.0, z=12.30465360449671, Tau=0.7406559877955758, s=4855.0, var_s=155618.33333333334, slope=0.04225352112676056, intercept=31.591549295774648)","Mann_Kendall_Test(trend='decreasing', h=True, p=0.0, z=-9.477783002755784, Tau=-0.5966437833714722, s=-3911.0, var_s=170192.33333333334, slope=-0.023880308880308832, intercept=41.64689189189189)","Mann_Kendall_Test(trend='increasing', h=True, p=4.7300258043669885e-07, z=5.036952304841159, Tau=0.3153318077803204, s=2067.0, var_s=168238.33333333334, slope=0.00023767082590612042, intercept=1.2068828704502326)","Mann_Kendall_Test(trend='increasing', h=True, p=1.545803529623413e-08, z=5.656400691488512, Tau=0.35560640732265447, s=2331.0, var_s=169680.33333333334, slope=0.00016287764799669376, intercept=0.0527133808596142)"
