framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
AWS,aws-samples/amazon-kinesis-analytics-taxi-consumer,0.03693074213706974,24,24,24,19,149,21,116,11,0,0,0,0,21,8,23,45,0,46,28,22,36,0,0,0,0,36,0,919,170,545,320,223,204,0,0,0,329,400,297,103,0,0,0,0,0,35,34,36,19,0,0,9,0,0,0,2,547,63,62,64,45,19
AWS,aws-samples/amazon-kinesis-data-analytics-flinktableapi,0.2488363716751337,2,2,2,2,27,3,20,3,0,0,0,0,8,1,0,8,0,8,5,11,6,0,0,0,0,6,0,179,30,132,74,76,17,0,0,0,79,91,69,22,0,0,0,0,0,3,3,3,2,0,0,1,0,0,0,0,18,9,9,9,8,5
AWS,aws-samples/amazon-kinesis-data-analytics-java-examples,3.7493826918459185e-05,12,12,12,12,105,9,85,8,0,0,0,0,18,35,33,57,0,57,12,9,47,0,0,23,0,24,0,946,153,654,386,328,158,0,0,0,412,490,360,130,0,0,0,0,0,23,23,24,12,0,0,9,0,0,0,0,267,68,68,69,57,12
AWS,aws-samples/amazon-kinesis-learning,1.8247120481516633e-05,9,9,9,7,70,4,50,14,0,0,0,0,9,8,12,36,0,34,28,17,36,0,1,11,0,24,0,695,113,376,173,187,211,0,0,0,217,278,160,118,0,0,0,0,0,18,18,19,7,0,0,7,0,0,0,3,347,55,55,56,36,7
AWS,aws-samples/amazon-kinesis-replay,0.0002299578174845212,14,14,14,10,108,15,85,4,0,0,0,0,11,1,13,53,0,53,43,38,44,0,1,5,0,38,0,985,192,613,239,333,184,0,0,0,315,414,225,189,0,0,0,0,0,38,38,40,16,0,0,19,0,0,0,0,383,99,99,103,60,9
AWS,aws-samples/amazon-kinesis-socket-server-sample,0.022510308597702533,10,10,11,6,76,5,57,12,0,0,0,0,6,3,7,15,0,16,13,9,16,0,0,3,0,13,0,471,71,257,97,142,146,0,0,0,145,187,97,90,0,0,0,0,0,17,17,17,12,0,0,6,0,0,0,6,192,38,38,39,25,6
AWS,aws-samples/amazon-mq-migration-from-ibm-mq,0.17837338471144903,26,26,26,17,281,50,209,16,0,0,0,0,20,10,12,34,0,34,24,19,34,0,0,1,0,33,0,1015,237,710,377,367,68,0,0,0,426,516,344,172,0,0,0,0,0,35,35,35,17,0,0,8,0,0,0,0,142,66,66,66,34,17
AWS,aws-samples/amazon-mq-workshop,0.0,7,7,10,4,64,4,60,0,0,0,0,0,16,28,4,38,0,38,10,12,38,0,0,20,0,18,0,710,93,616,249,393,8,0,0,0,392,487,259,228,0,0,0,0,0,26,26,34,4,0,0,12,0,0,0,0,5,89,89,107,38,4
AWS,aws-samples/amazon-msk-client-authentication,0.0001350669306702912,14,14,14,5,124,17,105,2,0,0,0,0,5,3,4,16,0,16,13,16,16,0,15,0,0,1,0,434,86,340,160,195,10,0,0,0,209,252,143,109,0,0,0,0,0,19,19,19,5,0,0,7,0,0,0,0,16,39,39,39,16,5
AWS,aws-samples/amazon-polly-mp3-for-microsoft-word,0.09791857594245812,17,16,17,16,81,5,75,0,0,0,0,0,20,1,4,81,0,88,87,28,88,0,14,7,0,67,0,840,159,633,333,250,49,0,0,0,347,462,302,160,0,0,0,0,0,26,24,27,16,0,0,8,0,0,0,2,2,99,97,101,81,20
AWS,aws-samples/amazon-qldb-dmv-sample-java,0.001579305768730895,74,73,78,60,574,14,404,123,0,0,0,0,67,151,124,415,0,415,211,84,362,0,2,60,0,300,0,7568,833,4289,1961,2226,2448,0,0,0,2264,2932,1692,1240,0,0,0,0,0,189,189,206,131,0,0,73,0,0,0,24,3009,680,675,705,497,60
