framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Azure,Azure-Samples/aad-java-manage-passwords,0.0,6,6,7,2,97,13,68,14,0,0,0,0,2,89,1,91,0,91,2,0,91,0,0,4,0,87,0,3367,293,2561,552,1918,514,0,0,0,975,1436,618,818,0,0,0,0,0,30,30,36,4,0,0,7,0,0,0,0,49,348,348,373,93,2
Azure,Azure-Samples/aad-java-manage-resources-from-vm-with-msi,0.0,5,5,6,2,71,5,52,12,0,0,0,0,2,89,1,91,0,91,2,0,91,0,0,4,0,87,0,3310,273,2529,550,1889,509,0,0,0,951,1411,619,792,0,0,0,0,0,26,26,32,4,0,0,6,0,0,0,0,55,346,346,371,93,2
Azure,Azure-Samples/aad-java-manage-service-principal-credentials,0.0,6,6,7,2,97,13,68,14,0,0,0,0,2,89,1,91,0,91,2,0,91,0,0,4,0,87,0,3386,295,2576,552,1931,516,0,0,0,980,1445,620,825,0,0,0,0,0,30,30,36,4,0,0,7,0,0,0,0,48,350,350,375,93,2
Azure,Azure-Samples/aad-java-manage-service-principals,0.0,4,4,5,2,45,2,35,7,0,0,0,0,3,96,2,101,0,101,5,2,101,0,0,11,0,90,0,3393,285,2592,577,1917,518,0,0,0,967,1441,641,800,0,0,0,0,0,25,25,31,4,0,0,6,0,0,0,0,47,357,357,382,103,2
Azure,Azure-Samples/aad-java-manage-users-groups-and-roles,0.0,5,5,6,2,81,8,58,14,0,0,0,0,2,89,1,91,0,91,2,0,91,0,0,4,0,87,0,3341,279,2546,560,1906,517,0,0,0,969,1429,624,805,0,0,0,0,0,25,25,31,4,0,0,6,0,0,0,0,57,345,345,370,93,2
Azure,Azure-Samples/aci-java-create-container-groups,0.0,6,6,7,2,85,8,59,17,0,0,0,0,2,89,1,90,0,90,1,0,90,0,0,3,0,87,0,3291,272,2510,537,1877,511,0,0,0,941,1400,607,793,0,0,0,0,0,26,26,32,4,0,0,6,0,0,0,0,66,345,345,370,92,2
Azure,Azure-Samples/aci-java-manage-container-instances-1,0.0,6,6,7,2,90,10,60,19,0,0,0,0,2,89,1,90,0,90,1,0,90,0,0,3,0,87,0,3302,276,2515,546,1878,513,0,0,0,948,1409,616,793,0,0,0,0,0,27,27,33,4,0,0,7,0,0,0,0,66,346,346,371,92,2
Azure,Azure-Samples/aci-java-manage-container-instances-2,0.0,6,6,7,2,97,12,65,20,0,0,0,0,2,89,1,90,0,90,1,0,90,0,0,3,0,87,0,3319,280,2525,549,1887,516,0,0,0,951,1412,618,794,0,0,0,0,0,27,27,33,4,0,0,7,0,0,0,0,64,346,346,371,92,2
Azure,Azure-Samples/aci-java-scale-up-containers-using-acs,0.0,19,19,26,4,320,51,210,61,0,0,0,0,7,97,8,114,0,114,17,8,114,0,0,6,0,108,0,4572,429,3342,795,2498,821,0,0,0,1356,1905,847,1058,0,0,0,0,0,74,74,91,13,0,0,15,0,0,0,0,139,434,434,473,123,4
Azure,Azure-Samples/acr-java-manage-azure-container-registry,0.0,14,14,15,4,178,17,123,36,0,0,0,0,7,97,8,114,0,114,17,8,114,0,0,6,0,108,0,4254,361,3145,734,2335,760,0,0,0,1250,1788,792,996,0,0,0,0,0,64,64,70,13,0,0,13,0,0,0,0,141,424,424,452,123,4
