path,AvgCyclomatic has a trend?,AvgCyclomatic trend is ,AvgCyclomatic trend pvalue ,AvgCyclomaticModified has a trend?,AvgCyclomaticModified trend is ,AvgCyclomaticModified trend pvalue ,AvgCyclomaticStrict has a trend?,AvgCyclomaticStrict trend is ,AvgCyclomaticStrict trend pvalue ,AvgLine has a trend?,AvgLine trend is ,AvgLine trend pvalue ,AvgLineBlank has a trend?,AvgLineBlank trend is ,AvgLineBlank trend pvalue ,AvgLineCode has a trend?,AvgLineCode trend is ,AvgLineCode trend pvalue ,AvgLineComment has a trend?,AvgLineComment trend is ,AvgLineComment trend pvalue ,CountClassBase has a trend?,CountClassBase trend is ,CountClassBase trend pvalue ,CountClassCoupled has a trend?,CountClassCoupled trend is ,CountClassCoupled trend pvalue ,CountClassCoupledModified has a trend?,CountClassCoupledModified trend is ,CountClassCoupledModified trend pvalue ,CountDeclClass has a trend?,CountDeclClass trend is ,CountDeclClass trend pvalue ,CountDeclClassMethod has a trend?,CountDeclClassMethod trend is ,CountDeclClassMethod trend pvalue ,CountDeclClassVariable has a trend?,CountDeclClassVariable trend is ,CountDeclClassVariable trend pvalue ,CountDeclInstanceMethod has a trend?,CountDeclInstanceMethod trend is ,CountDeclInstanceMethod trend pvalue ,CountDeclInstanceVariable has a trend?,CountDeclInstanceVariable trend is ,CountDeclInstanceVariable trend pvalue ,CountDeclMethod has a trend?,CountDeclMethod trend is ,CountDeclMethod trend pvalue ,CountDeclMethodAll has a trend?,CountDeclMethodAll trend is ,CountDeclMethodAll trend pvalue ,CountDeclMethodPrivate has a trend?,CountDeclMethodPrivate trend is ,CountDeclMethodPrivate trend pvalue ,CountDeclMethodPublic has a trend?,CountDeclMethodPublic trend is ,CountDeclMethodPublic trend pvalue ,CountLine has a trend?,CountLine trend is ,CountLine trend pvalue ,CountLineBlank has a trend?,CountLineBlank trend is ,CountLineBlank trend pvalue ,CountLineCode has a trend?,CountLineCode trend is ,CountLineCode trend pvalue ,CountLineCodeDecl has a trend?,CountLineCodeDecl trend is ,CountLineCodeDecl trend pvalue ,CountLineCodeExe has a trend?,CountLineCodeExe trend is ,CountLineCodeExe trend pvalue ,CountLineComment has a trend?,CountLineComment trend is ,CountLineComment trend pvalue ,CountSemicolon has a trend?,CountSemicolon trend is ,CountSemicolon trend pvalue ,CountStmt has a trend?,CountStmt trend is ,CountStmt trend pvalue ,CountStmtDecl has a trend?,CountStmtDecl trend is ,CountStmtDecl trend pvalue ,CountStmtExe has a trend?,CountStmtExe trend is ,CountStmtExe trend pvalue ,MaxCyclomatic has a trend?,MaxCyclomatic trend is ,MaxCyclomatic trend pvalue ,MaxCyclomaticModified has a trend?,MaxCyclomaticModified trend is ,MaxCyclomaticModified trend pvalue ,MaxCyclomaticStrict has a trend?,MaxCyclomaticStrict trend is ,MaxCyclomaticStrict trend pvalue ,MaxNesting has a trend?,MaxNesting trend is ,MaxNesting trend pvalue ,PercentLackOfCohesion has a trend?,PercentLackOfCohesion trend is ,PercentLackOfCohesion trend pvalue ,PercentLackOfCohesionModified has a trend?,PercentLackOfCohesionModified trend is ,PercentLackOfCohesionModified trend pvalue ,RatioCommentToCode has a trend?,RatioCommentToCode trend is ,RatioCommentToCode trend pvalue ,SumCyclomatic has a trend?,SumCyclomatic trend is ,SumCyclomatic trend pvalue ,SumCyclomaticModified has a trend?,SumCyclomaticModified trend is ,SumCyclomaticModified trend pvalue ,SumCyclomaticStrict has a trend?,SumCyclomaticStrict trend is ,SumCyclomaticStrict trend pvalue ,SumEssential has a trend?,SumEssential trend is ,SumEssential trend pvalue ,numberJavaFiles has a trend?,numberJavaFiles trend is ,numberJavaFiles trend pvalue ,readability has a trend?,readability trend is ,readability trend pvalue ,questions has a trend?,questions trend is ,questions trend pvalue ,AvgEssential has a trend?,AvgEssential trend is ,AvgEssential trend pvalue ,CountDeclMethodDefault has a trend?,CountDeclMethodDefault trend is ,CountDeclMethodDefault trend pvalue ,MaxEssential has a trend?,MaxEssential trend is ,MaxEssential trend pvalue ,MaxInheritanceTree has a trend?,MaxInheritanceTree trend is ,MaxInheritanceTree trend pvalue ,CountClassDerived has a trend?,CountClassDerived trend is ,CountClassDerived trend pvalue ,CountDeclMethodProtected has a trend?,CountDeclMethodProtected trend is ,CountDeclMethodProtected trend pvalue 
aws-samples/amazon-kinesis-learning,True,increasing,0.006538176885591218123749968072,True,increasing,0.006538176885591218123749968072,True,increasing,0.006538176885591218123749968072,True,increasing,0.000119663009970460976205686165,True,increasing,0.006538176885591218123749968072,True,increasing,0.000119663009970460976205686165,True,decreasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000000000000002220446049250313,True,increasing,0.000153558801966768854185829696,False,no trend,0.466856945050125426988074650581,True,increasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000000000000002220446049250313,True,increasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000010471919482668567979999352,True,increasing,0.000000000000000000000000000000,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000000000000000000000000000,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000000000000000000000000000,True,increasing,0.000000008537458295876376723754,True,increasing,0.000000000000000000000000000000,True,increasing,0.000000000000000000000000000000,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000000000006439293542825908,True,increasing,0.000000192705793988778850689414,True,increasing,0.000000192705793988778850689414,True,increasing,0.000153558801966768854185829696,True,increasing,0.000000000000054845017416482733,True,decreasing,0.006538176885591218123749968072,True,increasing,0.000000000000002220446049250313,True,decreasing,0.000000000000000000000000000000,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000000000002220446049250313,True,increasing,0.000010471919482668567979999352,False,no trend,0.466856945050125426988074650581,False,no trend,0.348929786595035373863993299892,True,increasing,0.003807586448697497516491239367,,,,,,,,,,,,,,,,,,
aws-samples/alexa-web-information-service-api-samples,True,decreasing,0.000452525133476822105649262085,True,decreasing,0.000452525133476822105649262085,True,decreasing,0.000964505827875772325796788209,True,decreasing,0.002682832878589280767300806474,True,increasing,0.000452525133476822105649262085,True,decreasing,0.000452525133476822105649262085,True,decreasing,0.000452525133476822105649262085,,,,False,no trend,0.181552605539818667779172756127,True,decreasing,0.003491491797328327706395612040,True,increasing,0.000137151897832588076653337339,True,increasing,0.000137151897832588076653337339,True,increasing,0.003491491797328327706395612040,True,decreasing,0.000452525133476822105649262085,True,increasing,0.018629863825851966652180635720,True,increasing,0.000137151897832588076653337339,True,increasing,0.000137151897832588076653337339,True,decreasing,0.003491491797328327706395612040,True,increasing,0.000452525133476822105649262085,True,decreasing,0.003491491797328327706395612040,True,increasing,0.000964505827875772325796788209,True,decreasing,0.003491491797328327706395612040,True,increasing,0.000137151897832588076653337339,True,decreasing,0.003491491797328327706395612040,True,decreasing,0.000452525133476822105649262085,True,decreasing,0.007540523006053456711583748984,True,decreasing,0.007540523006053456711583748984,True,increasing,0.000964505827875772325796788209,True,decreasing,0.001272577952622810926186502911,True,decreasing,0.000964505827875772325796788209,True,decreasing,0.000964505827875772325796788209,True,decreasing,0.000137151897832588076653337339,True,decreasing,0.000452525133476822105649262085,True,increasing,0.000043782186230023611983597220,True,increasing,0.000137151897832588076653337339,True,increasing,0.018629863825851966652180635720,True,decreasing,0.003491491797328327706395612040,True,decreasing,0.003491491797328327706395612040,True,decreasing,0.003491491797328327706395612040,True,decreasing,0.003491491797328327706395612040,True,increasing,0.000452525133476822105649262085,True,decreasing,0.000137151897832588076653337339,True,increasing,0.008604521679227206121254312166,True,decreasing,0.002682832878589280767300806474,True,decreasing,0.000189878107464513945501494163,True,decreasing,0.000452525133476822105649262085,,,,,,,,,
aws-samples/aws-cognito-java-desktop-app,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.000385359929629736086553748464,True,increasing,0.000385359929629736086553748464,True,increasing,0.018941079510980340927517318050,True,increasing,0.000385359929629736086553748464,True,decreasing,0.018941079510980340927517318050,,,,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,False,no trend,0.422000000186755208630984270712,True,decreasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,True,increasing,0.038379172551782136935116795939,True,increasing,0.018941079510980340927517318050,True,increasing,0.038379172551782136935116795939,True,increasing,0.038379172551782136935116795939,True,increasing,0.038379172551782136935116795939,True,decreasing,0.000385359929629736086553748464,False,no trend,0.422000000186755208630984270712,False,no trend,0.422000000186755208630984270712,False,no trend,0.422000000186755208630984270712,False,no trend,0.422000000186755208630984270712,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,False,no trend,0.526137693167109787850677093957,False,no trend,0.526137693167109787850677093957,True,decreasing,0.018941079510980340927517318050,True,increasing,0.000385359929629736086553748464,True,increasing,0.000385359929629736086553748464,True,increasing,0.000385359929629736086553748464,True,decreasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.000061783644364377110491659550,True,increasing,0.000000000120601528763586429704,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,increasing,0.018941079510980340927517318050,True,decreasing,0.018941079510980340927517318050,,,,,,
aws-samples/aws-cloudhsm-jce-examples,True,decreasing,0.005393168586935948027871745580,True,decreasing,0.000301831834215615657512898906,True,decreasing,0.004755277312323169525143384817,True,increasing,0.000000269218048964958711621875,True,increasing,0.001121163239341083084354977473,True,increasing,0.000002023346844959306167766044,False,no trend,0.216676657614945700203179512755,,,,True,increasing,0.000006124183321132292689981114,False,no trend,0.503408174610094238943247546558,True,increasing,0.000000003817050675536393100629,False,no trend,0.536231373829240576256438544078,True,increasing,0.000332250415438606339080251928,True,decreasing,0.009751722076895674717889050953,,,,False,no trend,0.756118402434413194868056962150,False,no trend,0.756118402434413194868056962150,False,no trend,0.111063198464444123914063311531,True,decreasing,0.000422683210766106043365653022,True,increasing,0.006890660319186947546654664620,True,increasing,0.000000004464274949711466433655,False,no trend,0.074330244816840806976188105182,True,increasing,0.000000000463091343050336945453,True,increasing,0.007882853882516860366536093352,True,increasing,0.040267967976789664774628363375,True,increasing,0.001603890543377284316761688387,False,no trend,0.131820812949758225940399825049,True,increasing,0.000000003592617758840788155794,False,no trend,0.410519910199807158690532560286,True,decreasing,0.000398744954700491760490876914,True,decreasing,0.000020565075051104386716360750,True,decreasing,0.000231345315276909602175692271,True,decreasing,0.001835710518769184673715244571,True,decreasing,0.000422683210766106043365653022,True,decreasing,0.042370705824626320179504546104,True,decreasing,0.001953255741634185582711324969,True,decreasing,0.000492420581936103829434614454,True,decreasing,0.000056366739048741010265075602,True,decreasing,0.001156555140496173805786384037,False,no trend,0.104708228399739367020515601325,True,increasing,0.000000003817050675536393100629,True,increasing,0.020903555904284498723200158565,True,increasing,0.000000797458918011528794522746,False,no trend,0.050827347098327591012889570266,,,,True,decreasing,0.012028214275518589460034490912,,,,,,,,,
aws-samples/amazon-ecs-java-microservices,True,decreasing,0.027475583051725038785662036389,True,decreasing,0.027475583051725038785662036389,True,decreasing,0.000279426722772813107553702139,True,decreasing,0.000279426722772813107553702139,True,decreasing,0.001266480307702710916828436893,True,decreasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,decreasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,decreasing,0.000279426722772813107553702139,True,increasing,0.001266480307702710916828436893,True,decreasing,0.000279426722772813107553702139,True,decreasing,0.000279426722772813107553702139,True,increasing,0.001266480307702710916828436893,True,increasing,0.027475583051725038785662036389,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,decreasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.027475583051725038785662036389,True,increasing,0.027475583051725038785662036389,True,increasing,0.027475583051725038785662036389,True,increasing,0.001266480307702710916828436893,True,increasing,0.000279426722772813107553702139,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.000279426722772813107553702139,True,increasing,0.027475583051725038785662036389,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.000279426722772813107553702139,True,decreasing,0.027475583051725038785662036389,True,increasing,0.000279426722772813107553702139,True,increasing,0.000279426722772813107553702139,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.000000434026589113400973474199,True,decreasing,0.001266480307702710916828436893,,,,True,increasing,0.000279426722772813107553702139,True,increasing,0.001266480307702710916828436893,True,increasing,0.001266480307702710916828436893,True,increasing,0.027475583051725038785662036389
aws-samples/aws-dynamodb-examples,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,increasing,0.000000000000493161067538494535,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,increasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,False,no trend,0.325953779597741188922555011231,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,False,no trend,0.325953779597741188922555011231,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,True,increasing,0.000000000000000000000000000000,False,no trend,0.325953779597741188922555011231,True,increasing,0.000048217804751171655652797199,False,no trend,0.325953779597741188922555011231,False,no trend,0.325953779597741188922555011231,True,decreasing,0.000000000000000000000000000000,True,decreasing,0.000000000000000000000000000000,,,,,,
aws-samples/aws-transcribe-streaming-example-java,False,no trend,0.112039339074939903184713330120,False,no trend,0.112039339074939903184713330120,False,no trend,0.112039339074939903184713330120,True,decreasing,0.021750434322510336926370655419,True,decreasing,0.021750434322510336926370655419,True,decreasing,0.021750434322510336926370655419,True,decreasing,0.021750434322510336926370655419,False,no trend,0.112039339074939903184713330120,False,no trend,1.000000000000000000000000000000,True,increasing,0.021750434322510336926370655419,False,no trend,0.112039339074939903184713330120,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,True,increasing,0.021750434322510336926370655419,True,decreasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,True,increasing,0.028495703891850299172006089066,True,increasing,0.021750434322510336926370655419,False,no trend,1.000000000000000000000000000000,True,decreasing,0.021750434322510336926370655419,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,True,increasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,False,no trend,1.000000000000000000000000000000,True,increasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,True,increasing,0.021750434322510336926370655419,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,False,no trend,0.112039339074939903184713330120,True,decreasing,0.021750434322510336926370655419,True,increasing,0.000419568122611124749710143078,,,,,,,,,,False,no trend,1.000000000000000000000000000000,,,,,,
aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,increasing,0.000716672442224730588122838526,,,,,,,,,,,,,,,,,,
