path,AvgCyclomatic has a trend?,AvgCyclomatic trend is ,AvgCyclomatic trend pvalue ,AvgCyclomaticModified has a trend?,AvgCyclomaticModified trend is ,AvgCyclomaticModified trend pvalue ,AvgCyclomaticStrict has a trend?,AvgCyclomaticStrict trend is ,AvgCyclomaticStrict trend pvalue ,AvgEssential has a trend?,AvgEssential trend is ,AvgEssential trend pvalue ,AvgLine has a trend?,AvgLine trend is ,AvgLine trend pvalue ,AvgLineBlank has a trend?,AvgLineBlank trend is ,AvgLineBlank trend pvalue ,AvgLineCode has a trend?,AvgLineCode trend is ,AvgLineCode trend pvalue ,AvgLineComment has a trend?,AvgLineComment trend is ,AvgLineComment trend pvalue ,CountClassBase has a trend?,CountClassBase trend is ,CountClassBase trend pvalue ,CountClassCoupled has a trend?,CountClassCoupled trend is ,CountClassCoupled trend pvalue ,CountClassCoupledModified has a trend?,CountClassCoupledModified trend is ,CountClassCoupledModified trend pvalue ,CountDeclClass has a trend?,CountDeclClass trend is ,CountDeclClass trend pvalue ,CountDeclClassMethod has a trend?,CountDeclClassMethod trend is ,CountDeclClassMethod trend pvalue ,CountDeclClassVariable has a trend?,CountDeclClassVariable trend is ,CountDeclClassVariable trend pvalue ,CountDeclInstanceMethod has a trend?,CountDeclInstanceMethod trend is ,CountDeclInstanceMethod trend pvalue ,CountDeclInstanceVariable has a trend?,CountDeclInstanceVariable trend is ,CountDeclInstanceVariable trend pvalue ,CountDeclMethod has a trend?,CountDeclMethod trend is ,CountDeclMethod trend pvalue ,CountDeclMethodAll has a trend?,CountDeclMethodAll trend is ,CountDeclMethodAll trend pvalue ,CountDeclMethodDefault has a trend?,CountDeclMethodDefault trend is ,CountDeclMethodDefault trend pvalue ,CountDeclMethodPrivate has a trend?,CountDeclMethodPrivate trend is ,CountDeclMethodPrivate trend pvalue ,CountDeclMethodPublic has a trend?,CountDeclMethodPublic trend is ,CountDeclMethodPublic trend pvalue ,CountLine has a trend?,CountLine trend is ,CountLine trend pvalue ,CountLineBlank has a trend?,CountLineBlank trend is ,CountLineBlank trend pvalue ,CountLineCode has a trend?,CountLineCode trend is ,CountLineCode trend pvalue ,CountLineCodeDecl has a trend?,CountLineCodeDecl trend is ,CountLineCodeDecl trend pvalue ,CountLineCodeExe has a trend?,CountLineCodeExe trend is ,CountLineCodeExe trend pvalue ,CountLineComment has a trend?,CountLineComment trend is ,CountLineComment trend pvalue ,CountSemicolon has a trend?,CountSemicolon trend is ,CountSemicolon trend pvalue ,CountStmt has a trend?,CountStmt trend is ,CountStmt trend pvalue ,CountStmtDecl has a trend?,CountStmtDecl trend is ,CountStmtDecl trend pvalue ,CountStmtExe has a trend?,CountStmtExe trend is ,CountStmtExe trend pvalue ,MaxCyclomatic has a trend?,MaxCyclomatic trend is ,MaxCyclomatic trend pvalue ,MaxCyclomaticModified has a trend?,MaxCyclomaticModified trend is ,MaxCyclomaticModified trend pvalue ,MaxCyclomaticStrict has a trend?,MaxCyclomaticStrict trend is ,MaxCyclomaticStrict trend pvalue ,MaxEssential has a trend?,MaxEssential trend is ,MaxEssential trend pvalue ,MaxNesting has a trend?,MaxNesting trend is ,MaxNesting trend pvalue ,PercentLackOfCohesion has a trend?,PercentLackOfCohesion trend is ,PercentLackOfCohesion trend pvalue ,PercentLackOfCohesionModified has a trend?,PercentLackOfCohesionModified trend is ,PercentLackOfCohesionModified trend pvalue ,RatioCommentToCode has a trend?,RatioCommentToCode trend is ,RatioCommentToCode trend pvalue ,SumCyclomatic has a trend?,SumCyclomatic trend is ,SumCyclomatic trend pvalue ,SumCyclomaticModified has a trend?,SumCyclomaticModified trend is ,SumCyclomaticModified trend pvalue ,SumCyclomaticStrict has a trend?,SumCyclomaticStrict trend is ,SumCyclomaticStrict trend pvalue ,SumEssential has a trend?,SumEssential trend is ,SumEssential trend pvalue ,numberJavaFiles has a trend?,numberJavaFiles trend is ,numberJavaFiles trend pvalue ,readability has a trend?,readability trend is ,readability trend pvalue ,questions has a trend?,questions trend is ,questions trend pvalue ,CountDeclMethodProtected has a trend?,CountDeclMethodProtected trend is ,CountDeclMethodProtected trend pvalue ,MaxInheritanceTree has a trend?,MaxInheritanceTree trend is ,MaxInheritanceTree trend pvalue ,CountClassDerived has a trend?,CountClassDerived trend is ,CountClassDerived trend pvalue 
Azure-Samples/Azure-Spring-Cloud-Samples,True,increasing,0.008448821909033732424632034963,True,increasing,0.008448821909033732424632034963,True,increasing,0.008448821909033732424632034963,True,increasing,0.023790883199288570537532905291,True,increasing,0.010897198447615386029951878299,False,no trend,0.054228366286187545952657274029,True,increasing,0.000997813226672361608393657662,False,no trend,0.243634461041906114076027733972,False,no trend,0.120560386269961350436119573715,True,increasing,0.007581233562729661201728958986,True,decreasing,0.040442367668922285517396630894,True,increasing,0.000400839132618457938406208996,False,no trend,0.120560386269961350436119573715,False,no trend,0.351618019382771151981614821125,False,no trend,0.069723806209081029550134189776,False,no trend,0.291128372620748088195341551909,True,increasing,0.007581233562729661201728958986,True,increasing,0.007581233562729661201728958986,False,no trend,0.615923876307127970974875097454,True,increasing,0.000157999265649300113523167965,False,no trend,0.419515903720542482346900214907,True,increasing,0.000091492123421854643083861447,True,increasing,0.007581233562729661201728958986,True,increasing,0.000091492123421854643083861447,True,increasing,0.000018298999397758919371881348,True,increasing,0.000400839132618457938406208996,False,no trend,0.153225182291227612907391630870,True,increasing,0.000018298999397758919371881348,True,increasing,0.000091492123421854643083861447,True,increasing,0.000018298999397758919371881348,True,increasing,0.000151914460663427064446295844,True,increasing,0.002344235203442401882512058364,True,increasing,0.002344235203442401882512058364,True,increasing,0.002344235203442401882512058364,True,increasing,0.023790883199288570537532905291,True,increasing,0.000018298999397758919371881348,False,no trend,0.576248213273171883130885362334,False,no trend,0.576248213273171883130885362334,True,decreasing,0.040442367668922285517396630894,True,increasing,0.000091492123421854643083861447,True,increasing,0.000091492123421854643083861447,True,increasing,0.000091492123421854643083861447,True,increasing,0.007581233562729661201728958986,True,increasing,0.000400839132618457938406208996,True,decreasing,0.015444520426105334820476855384,True,increasing,0.014248079672347202517812547740,,,,,,,,,
Azure-Samples/ms-identity-java-webapp,True,decreasing,0.000010740883787940802562843601,True,decreasing,0.000010740883787940802562843601,True,decreasing,0.000020473251541641701578555512,False,no trend,0.409191259878479707268184029090,True,decreasing,0.000045727568705133947446483944,False,no trend,0.421873879114425864855775216711,True,decreasing,0.000826962388262186820497845474,False,no trend,0.520929187900558865464972768677,False,no trend,0.376373232855769401794532313943,True,decreasing,0.000297849303214192673294746783,True,decreasing,0.034932053063056356378979216970,True,increasing,0.000003555171442792826042023080,False,no trend,0.089456357557291754645234505006,True,decreasing,0.000045727568705133947446483944,False,no trend,0.089456357557291754645234505006,True,decreasing,0.039290758099462808061730356712,False,no trend,0.119012147511778909603208376211,False,no trend,0.108169822675516780208226919058,True,increasing,0.017113922411812865220781532116,True,decreasing,0.000054628719095228817081988382,True,increasing,0.031339552161914863148695076234,True,decreasing,0.003613210157011659262593639141,False,no trend,0.074048821615521731587250542361,True,decreasing,0.000112933979184992594468894822,True,decreasing,0.001145947525902135666342473996,True,decreasing,0.000092129017179143346538694459,True,decreasing,0.001329342588584081497060651600,True,decreasing,0.000163161451275595226206860389,True,decreasing,0.000390123966237831965031546133,True,decreasing,0.001988302608792791303926605906,True,decreasing,0.000080406767060781092482102395,True,decreasing,0.000098912899271219600905169500,True,decreasing,0.000098912899271219600905169500,True,decreasing,0.007828996806314325596076741931,False,no trend,0.073442509481949080907270399621,True,decreasing,0.000080406767060781092482102395,True,decreasing,0.000015945057779687132892831869,True,decreasing,0.000019182534523709549034720112,True,decreasing,0.000296400179510492023382539628,True,decreasing,0.009473268473225049390862295695,True,decreasing,0.009473268473225049390862295695,False,no trend,0.285634112305982679202998042456,False,no trend,0.089456357557291754645234505006,True,increasing,0.000003555171442792826042023080,True,increasing,0.024810520860329754455619877263,True,increasing,0.000088073187437531785803912499,True,increasing,0.000642925612662548218168012681,True,increasing,0.000033298926703784204050862172,,,
Azure-Samples/azure-cosmos-db-cassandra-java-getting-started,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,decreasing,0.000001145321850470892854900740,True,decreasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,,,,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,True,increasing,0.000001145321850470892854900740,,,,True,decreasing,0.000001145321850470892854900740,True,increasing,0.000000525757684055605523099075,,,,,,,,,
Azure-Samples/cognitive-services-android-customvision-sample,True,decreasing,0.001362879776416470178901363397,True,decreasing,0.001362879776416470178901363397,True,decreasing,0.001362879776416470178901363397,,,,True,decreasing,0.000400895070568063616178733355,True,decreasing,0.000002879134255229232053352462,True,decreasing,0.001362879776416470178901363397,True,decreasing,0.000000089154251980971821467392,True,increasing,0.000012309529341836267235521518,True,decreasing,0.000000002515498032096274982905,True,increasing,0.000012309529341836267235521518,True,increasing,0.000012309529341836267235521518,True,decreasing,0.000647032874570241389733382675,True,decreasing,0.000000000040023540037736893282,True,increasing,0.000000001889093104168182435387,False,no trend,0.723861275564145145722250163089,False,no trend,0.710688156182458730114603895345,False,no trend,0.641824836174054613735506791272,,,,True,increasing,0.000012309529341836267235521518,False,no trend,0.641824836174054613735506791272,True,decreasing,0.003426953713146607682915600890,True,decreasing,0.003426953713146607682915600890,False,no trend,0.656788078554625620597562374314,True,decreasing,0.003426953713146607682915600890,False,no trend,0.890317586139674821410494587326,True,decreasing,0.003426953713146607682915600890,True,decreasing,0.000000089154251980971821467392,True,decreasing,0.016478805144156449813408471528,True,decreasing,0.003426953713146607682915600890,False,no trend,0.963450346744003871535255711933,True,decreasing,0.000000002515498032096274982905,True,decreasing,0.000000002515498032096274982905,True,decreasing,0.000000002515498032096274982905,True,decreasing,0.030736281279648780540014740836,True,increasing,0.000000000049118487055466175661,True,decreasing,0.000647032874570241389733382675,True,decreasing,0.003426953713146607682915600890,True,decreasing,0.000000002515498032096274982905,False,no trend,0.129285381695050771710953085858,False,no trend,0.129285381695050771710953085858,False,no trend,0.129285381695050771710953085858,False,no trend,0.129285381695050771710953085858,True,increasing,0.000012309529341836267235521518,True,increasing,0.000012309529341836267235521518,True,increasing,0.000000041786335724935952384840,True,increasing,0.000012309529341836267235521518,True,increasing,0.000012309529341836267235521518,,,
Azure-Samples/ms-identity-java-desktop,False,no trend,0.063431425288611231749769103772,False,no trend,0.063431425288611231749769103772,False,no trend,0.063431425288611231749769103772,,,,False,no trend,0.143851869654853636859570542583,True,decreasing,0.005766120914237227168541721767,False,no trend,0.143851869654853636859570542583,True,increasing,0.005766120914237227168541721767,False,no trend,1.000000000000000000000000000000,True,decreasing,0.044313712790826187415405001957,False,no trend,1.000000000000000000000000000000,False,no trend,0.298092822004707436178705393104,False,no trend,0.211299547333710702190501251607,True,increasing,0.034755584359616120693203811243,False,no trend,1.000000000000000000000000000000,False,no trend,1.000000000000000000000000000000,True,increasing,0.010733416102997273000596578640,True,increasing,0.010733416102997273000596578640,,,,False,no trend,0.211299547333710702190501251607,False,no trend,1.000000000000000000000000000000,False,no trend,0.104376686599756185458431900770,False,no trend,0.416792811847626953891676748754,False,no trend,0.104376686599756185458431900770,False,no trend,0.416792811847626953891676748754,False,no trend,0.104376686599756185458431900770,True,increasing,0.005766120914237227168541721767,False,no trend,0.104376686599756185458431900770,False,no trend,0.104376686599756185458431900770,False,no trend,0.298092822004707436178705393104,False,no trend,0.104376686599756185458431900770,True,increasing,0.010733416102997273000596578640,True,increasing,0.010733416102997273000596578640,True,increasing,0.010733416102997273000596578640,True,increasing,0.001154050084781532703459561162,False,no trend,1.000000000000000000000000000000,True,increasing,0.001154050084781532703459561162,True,increasing,0.001154050084781532703459561162,True,increasing,0.005766120914237227168541721767,False,no trend,0.104376686599756185458431900770,False,no trend,0.104376686599756185458431900770,False,no trend,0.104376686599756185458431900770,True,increasing,0.001154050084781532703459561162,False,no trend,0.298092822004707436178705393104,,,,True,increasing,0.000353196717188808406717726029,,,,,,,,,
Azure-Samples/Hybrid-resources-java-manage-resource-group,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,,,,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,,,,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,decreasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,increasing,0.000178867003401972368692440796,True,increasing,0.000361550896811113631201806129,,,,,,,,,
Azure-Samples/ms-identity-android-java,True,increasing,0.039818900144036328825336568116,False,no trend,0.247563474703480501659669243963,False,no trend,0.607317943478813404567517864052,,,,True,increasing,0.009139903299104412681685971620,False,no trend,0.083814504206016104959076074010,True,increasing,0.000834448771709572767463214404,True,increasing,0.001614747275071826138059805089,True,decreasing,0.008004200287162088756076627760,False,no trend,0.511942441508493661928014262230,False,no trend,0.083814504206016104959076074010,True,increasing,0.008004200287162088756076627760,True,increasing,0.008004200287162088756076627760,False,no trend,0.622047703662474749108923788299,False,no trend,0.351467786443219409875382552855,True,increasing,0.000333022640004898562438029330,False,no trend,0.351467786443219409875382552855,False,no trend,0.952458569749605077348064696707,,,,False,no trend,0.351467786443219409875382552855,False,no trend,0.247563474703480501659669243963,True,increasing,0.000502489486008173003028787207,True,increasing,0.000502489486008173003028787207,True,increasing,0.002719601644141311780344949511,True,increasing,0.000333022640004898562438029330,True,increasing,0.000502489486008173003028787207,True,increasing,0.000333022640004898562438029330,True,increasing,0.000208747113245477677878625400,True,increasing,0.000502489486008173003028787207,True,increasing,0.000502489486008173003028787207,True,increasing,0.000502489486008173003028787207,False,no trend,0.446582770762205205627992654627,False,no trend,0.446582770762205205627992654627,False,no trend,0.353902046642047274360720621189,True,increasing,0.008004200287162088756076627760,True,increasing,0.039818900144036328825336568116,False,no trend,0.309981894900199339559776490205,False,no trend,0.062788435161474032142336909601,True,increasing,0.000333022640004898562438029330,True,increasing,0.000157278919018066787316456612,True,increasing,0.000333022640004898562438029330,True,increasing,0.000231042657544255902735130803,True,increasing,0.008004200287162088756076627760,True,increasing,0.008004200287162088756076627760,True,decreasing,0.008004200287162088756076627760,True,increasing,0.002694262019296012056202016538,False,no trend,0.210565273549584652812427520985,False,no trend,0.607317943478813404567517864052,,,
Azure-Samples/active-directory-android,True,increasing,0.001470674336587984853963462228,True,increasing,0.001470674336587984853963462228,True,increasing,0.001470674336587984853963462228,True,increasing,0.001470674336587984853963462228,True,increasing,0.000330831220314742324717371957,True,increasing,0.029033257755445074366207336425,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.001470674336587984853963462228,True,increasing,0.000330831220314742324717371957,,,,True,increasing,0.000330831220314742324717371957,,,,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,,,,True,increasing,0.000330831220314742324717371957,True,increasing,0.001470674336587984853963462228,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.029033257755445074366207336425,True,increasing,0.000330831220314742324717371957,True,increasing,0.029033257755445074366207336425,True,increasing,0.029033257755445074366207336425,True,increasing,0.029033257755445074366207336425,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.000330831220314742324717371957,True,increasing,0.029033257755445074366207336425,True,increasing,0.001470674336587984853963462228,True,increasing,0.029033257755445074366207336425,True,increasing,0.000000015905141870220518285350,True,increasing,0.001470674336587984853963462228,True,increasing,0.001470674336587984853963462228,,,
Azure-Samples/azure-iot-samples-java,False,no trend,0.464836518528779496506331270211,False,no trend,0.464836518528779496506331270211,False,no trend,0.734655248019196793762830566266,True,increasing,0.000033764185112250544307244127,False,no trend,0.062348318083870868377971419250,True,decreasing,0.000000000412436085284184628108,False,no trend,0.073338253044236800803901132895,True,decreasing,0.000000193286384453372761527135,False,no trend,0.195816204293141726822113923845,True,decreasing,0.000000000257635690559254726395,False,no trend,0.103908342602056391612563857052,True,increasing,0.000000668971969819409650881425,False,no trend,0.360909926771800115830046706833,False,no trend,0.767480827734005277562800984015,True,increasing,0.000000972758100070691966720915,False,no trend,0.911713980003676649488397742971,True,increasing,0.000000000412436085284184628108,True,increasing,0.000000000412436085284184628108,,,,True,increasing,0.000000000060860205763901831233,True,increasing,0.000144281123576783798512224166,True,increasing,0.000000018233554222035763814347,True,decreasing,0.000006954627127297996480592701,True,increasing,0.000000018233554222035763814347,True,increasing,0.000773330597468424585372304136,True,increasing,0.000000077799144904133754607756,True,decreasing,0.000591988616441607717888473417,True,increasing,0.000000256505304552234747461625,True,increasing,0.000002025237294089876627367630,True,increasing,0.017527814888565806938913738122,True,increasing,0.000000116394567761801681626821,True,increasing,0.009466894114863233511414364330,True,increasing,0.009466894114863233511414364330,True,increasing,0.004312520388604301757595749223,True,increasing,0.000003156388415082034271108569,True,decreasing,0.000163769192752738490526098758,False,no trend,0.883778332816352873990695115936,False,no trend,0.883778332816352873990695115936,True,decreasing,0.000001407214172299831034251838,True,increasing,0.000000000257635690559254726395,True,increasing,0.000000000257635690559254726395,True,increasing,0.000000000060860205763901831233,True,increasing,0.000000000060860205763901831233,True,increasing,0.000000000161707092161123000551,True,increasing,0.000000000042297942925983988971,True,increasing,0.000209644265859454392852967430,True,increasing,0.000000001350513922915297371219,True,increasing,0.000000001350513922915297371219,,,
Azure-Samples/active-directory-java-webapp-openidconnect,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000043082057699095344105444,True,decreasing,0.000000107744568378365102034877,False,no trend,0.966840785766314603222326695686,True,increasing,0.000001871800544561708079527307,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000000000002220446049250313,True,increasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,False,no trend,0.966840785766314603222326695686,True,increasing,0.000000000000002220446049250313,False,no trend,0.966840785766314603222326695686,True,increasing,0.000000000000002220446049250313,True,decreasing,0.000000107744568378365102034877,False,no trend,0.760959555022050482264717174985,False,no trend,0.966840785766314603222326695686,True,increasing,0.000000000000000888178419700125,True,increasing,0.000000000000002220446049250313,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000323050430406368604963063,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,increasing,0.000005864231551244714069071051,True,increasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,True,decreasing,0.000000107744568378365102034877,True,increasing,0.000000107744568378365102034877,,,,False,no trend,0.807029432898176413146984486957,True,increasing,0.000000000000000000000000000000,,,,True,decreasing,0.000000107744568378365102034877,,,
