full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
googlearchive/bigquery-samples-java,2012-11-30 22:33:41,A sample Java application that accesses the BigQuery API using the Google Java API Client Libraries. Used in the Google BigQuery Java Codelab,37,Java,1,23,48,69,2021-04-24 01:03:34,48
googlearchive/appengine-angular-guestbook-java,2013-04-03 20:21:58,Yet another guestbook sample with angularjs and App Engine Java,29,Java,1,542,48,71,2021-04-24 01:10:50,48
googlearchive/gplus-verifytoken-java,2013-05-05 11:18:46,,12,Java,0,9045,21,11,2019-05-13 17:19:49,21
googlearchive/solutions-mobile-shopping-assistant-backend-java,2013-05-14 16:36:43,,146,Java,2,245,102,33,2021-04-26 22:29:24,102
googlearchive/solutions-mobile-shopping-assistant-android-client,2013-05-14 17:13:18,,25,Java,1,1587,27,18,2021-04-26 22:29:18,27
googlearchive/drive-crossclientoauth2-android,2013-07-20 18:37:25,Cross-client authorization sample for Android,19,Java,0,1451,38,8,2021-06-28 23:47:53,38
googlearchive/compute-getting-started-android,2013-08-02 22:04:32,Sample Android Application created using AndroidStudio that displays Google Compute Engine Instances and Disks using the Compute Engine API.,5,Java,0,903,8,64,2021-04-26 22:09:31,8
googlearchive/appengine-endpoints-helloendpoints-android,2013-08-08 20:25:42,This repository is a HelloWorld Android sample application that connects to a HelloWorld Google Cloud Endpoints backend sample.,24,Java,1,621,48,89,2021-04-24 01:06:33,48
googlearchive/instantbuy-quickstart-java,2013-08-27 18:17:35,Java quick start sample for the Instant Buy API.,4,Java,0,35,4,16,2019-08-13 15:25:57,4
googlearchive/instantbuy-sample-xyz-java,2013-09-27 22:19:45,Mobile Web Sample using Instant Buy API,4,Java,0,4413,0,14,2019-04-23 04:35:55,0
googlearchive/gplus-haiku-client-android,2013-10-10 18:06:59,Haiku+ is full featured sample application for the Google+ Platform.,15,Java,0,778,11,11,2020-03-18 04:05:42,11
googlearchive/chromium-webview-samples,2013-10-17 19:40:05,Useful examples for Developing apps with the Chromium based WebView,383,Java,12,6457,1144,82,2021-08-05 06:48:20,1144
googlearchive/compute-getting-started-java,2013-11-22 22:42:03,This sample java command line application demonstrates how to access the Compute Engine API using the Google Java API Client Library.,11,Java,0,29,9,67,2021-04-24 01:07:52,9
googlearchive/cloud-pubsub-samples-java,2014-06-24 23:14:25,Cloud Pub/Sub sample applications with Java,58,Java,8,250,51,89,2021-06-26 19:43:57,51
googlearchive/android-BasicManagedProfile,2014-06-26 15:51:34,Migrated:,71,Java,0,556,115,43,2021-04-25 08:08:22,115
googlearchive/android-Camera2Basic,2014-06-26 15:53:00,Migrated:,1524,Java,0,1453,2754,162,2021-08-17 12:30:36,2754
googlearchive/android-Camera2Video,2014-06-26 15:53:58,Migrated:,580,Java,0,6930,1179,86,2021-08-09 10:46:36,1179
googlearchive/android-ElevationBasic,2014-06-26 15:55:57,Migrated:,26,Java,0,298,60,22,2021-06-27 07:48:13,60
