full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
Azure-Samples/active-directory-android,2014-03-13 17:12:36,An android app that uses Azure AD and the ADAL library for authenticating the user and calling a web API using OAuth 2.0 access tokens.,28,Java,0,199,32,62,2021-02-10 20:36:48,32
Azure-Samples/storage-blob-java-getting-started,2015-09-10 22:25:08,"The getting started sample demonstrates how to perform common tasks using the Azure Blob Service in Java including uploading a blob, CRUD operations, listing, as well as blob snapshot creation.",37,Java,5,72,19,26,2021-05-01 09:50:28,19
Azure-Samples/storage-table-java-getting-started,2015-09-17 18:14:27,"The getting started sample demonstrates how to perform common tasks using the Azure Table Service in Java including creating a table, CRUD operations, batch operations and different querying techniques.",12,Java,1,40,6,22,2021-06-08 22:42:34,6
Azure-Samples/storage-queue-java-getting-started,2015-09-18 19:45:49,"The getting started sample demonstrates how to perform common tasks using the Azure Queue Service in Java including inserting, peeking, getting and deleting queue messages, as well as creating and deleting queues.",4,Java,0,24,2,23,2019-10-03 07:54:29,2
Azure-Samples/documentdb-java-todo-app,2015-09-21 18:42:15,This sample shows you how to use the Microsoft Azure DocumentDB service to store and access data from a Java application hosted on Azure Websites.,26,Java,3,192,10,37,2021-02-11 23:22:42,10
Azure-Samples/storage-file-java-getting-started,2015-09-21 18:43:05,"The getting started sample demonstrates how to perform common tasks using the Azure File Service in Java including creating a directory, uploading files to a directory, downloading files, as well as listing all the files in a directory.",17,Java,0,29,6,23,2021-04-29 19:50:13,6
Azure-Samples/search-java-getting-started,2015-09-22 20:01:17,Getting Started with Azure Search using JAVA,15,Java,0,56,3,26,2019-07-18 18:44:53,3
Azure-Samples/active-directory-java-webapp-openidconnect,2015-10-21 18:30:05,A server app that uses Azure AD and the ADAL4J library for authenticating the user and calling a web API using OAuth 2.0 access tokens.,73,Java,0,144,62,59,2021-05-25 09:08:25,62
Azure-Samples/app-service-api-apps-quickstart-java,2015-11-20 06:35:15,,4,Java,0,19223,0,19,2016-01-21 14:27:28,0
Azure-Samples/hdinsight-storm-azure-data-lake-store,2015-12-11 03:36:49,Learn how to write data to Azure Data Lake Store from a Java-based Apache Storm topology using HDInsight.,4,Java,0,95,0,23,2021-01-22 16:53:23,0
Azure-Samples/hdinsight-java-storm-wordcount,2016-01-27 20:14:13,"A basic example of a Java-based Apache Storm Topology, and how to deploy and run it with HDInsight.",10,Java,1,39,9,20,2019-11-03 23:22:09,9
Azure-Samples/hdinsight-java-hive-jdbc,2016-01-27 20:19:59,An example of how to use the JDBC to issue Hive queries from a Java client application.,3,Java,0,9,11,27,2020-08-14 07:43:19,11
Azure-Samples/hdinsight-java-storm-eventhub,2016-02-22 04:27:06,A basic example of how to read and write data to Azure Event Hubs from an Apache Storm topology running on HDInsight.,8,Java,0,15535,7,20,2018-06-22 00:12:50,7
Azure-Samples/active-directory-android-native-oidcandroidlib-v2,2016-03-17 16:42:00,Demonstrates how you can use a third party library like oidcandroidlib to build an Android application that authenticates Microsoft identity users to our new v2 (converged) identity service and calls a web API using OAuth 2.0 access tokens.,3,Java,0,298,1,43,2018-04-13 17:08:21,1
Azure-Samples/compute-java-manage-vm,2016-05-02 19:05:31,Getting Started with Compute - Manage Virtual Machines using Java,13,Java,7,138,3,23,2021-01-15 10:59:49,3
Azure-Samples/storage-java-manage-storage-accounts,2016-05-17 22:06:32,Getting started on managing storage accounts using Java,9,Java,0,133,3,23,2021-01-25 16:23:50,3
Azure-Samples/network-java-manage-network-security-group,2016-06-14 19:49:43,"Manage network security group (NSG) using Java - create an NSG for the front end subnet, create another for the backend subnet, and CRUD on NSG",3,Java,0,123,1,23,2021-01-15 11:00:30,1
Azure-Samples/compute-java-list-vm-images,2016-06-14 19:50:12,"Browse and get versions and names - virtual machine images, publishers, offers and SKUs using Java",3,Java,0,110,0,24,2021-01-15 10:59:25,0
Azure-Samples/resources-java-manage-resource-group,2016-06-14 19:50:44,Getting started on managing resource groups using Java,7,Java,1,115,1,25,2021-01-15 10:45:17,1
Azure-Samples/resources-java-deploy-using-arm-template-with-progress,2016-06-14 19:51:23,Getting started on deploying using an ARM template and show progress using Java,3,Java,0,109,1,24,2021-03-19 05:43:16,1
Azure-Samples/compute-java-manage-availability-sets,2016-06-14 19:51:42,Getting started on managing availability sets using Java,2,Java,0,113,0,24,2021-01-15 10:59:31,0
Azure-Samples/network-java-manage-virtual-network,2016-06-14 19:51:43,"Manage virtual networks using Java - create a virtual network, create a virtual network with subnets, update a virtual network, list virtual networks, delete a virtual network",2,Java,0,115,0,24,2021-01-15 11:00:32,0
Azure-Samples/network-java-manage-ip-address,2016-06-14 19:52:18,"Manage IP addresses using Java - assign a Public IP Address for a Virtual Machine during create and through an update. Get the associated Public IP Name for a virtual machine, get the assigned Public IP Address for a virtual machine. Remove Public IP Address from a Virtual machine",3,Java,0,114,2,23,2021-01-15 11:00:15,2
Azure-Samples/resources-java-manage-resource,2016-06-14 19:52:20,Getting started on managing resources using Java,3,Java,2,142,1,24,2021-01-15 10:44:42,1
Azure-Samples/network-java-manage-network-interface,2016-06-14 19:52:20,"Manage multiples network interfaces for VMs using Java - create a VM with multiple network interfaces, configure multiple network interfaces, list network interfaces, delete a network interface",3,Java,0,114,1,24,2021-01-15 11:00:21,1
