full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
googlesamples/io2014-codelabs,2014-06-14 01:43:21,Google I/O 2014 Codelabs,65,Java,6,3870,176,30,2021-08-09 09:31:31,176
googlesamples/android-play-publisher-api,2014-07-03 01:26:35,,277,Java,47,29,438,55,2021-08-16 16:01:25,438
googlesamples/identity-toolkit-java,2014-07-18 18:19:18,,23,Java,2,6543,23,23,2020-09-19 08:50:34,23
googlesamples/androidtv-sample-inputs,2014-11-20 22:18:21,Sample Channel App (TV Input Service) on Android TV using TIF,213,Java,37,24208,427,69,2021-08-16 22:51:46,427
googlesamples/android-AppUsageStatistics,2014-12-15 19:49:51,,116,Java,14,808,331,47,2021-08-07 12:22:52,331
googlesamples/android-PermissionRequest,2014-12-15 19:50:35,,48,Java,3,838,93,27,2021-07-06 16:22:09,93
googlesamples/android-testing-templates,2015-02-24 01:57:36,,306,Java,8,167,1934,134,2021-08-12 12:15:03,1934
googlesamples/android-play-games-in-motion,2015-04-16 23:42:47,,49,Java,1,2223,153,27,2021-06-24 12:32:52,153
googlesamples/io2015-codelabs,2015-05-20 02:41:51,codelabs for Google I/O 2015,179,Java,115,182515,522,52,2021-07-20 06:59:27,522
googlesamples/google-services,2015-05-20 22:45:11,A collection of quickstart samples demonstrating the Google APIs for Android and iOS,2539,Java,110,9006,2720,273,2021-08-17 11:44:16,2720
googlesamples/android-testdpc,2015-05-22 02:46:28,"Test DPC is a sample device policy controller for use with Android Enterprise. It gives developers the ability to see how their app will behave in a managed context such as device owner or within a managed profile. Users can set up a work profile, enable work apps, set applications restrictions, manage security polices, and much more. The app also serves as a implementation reference for other DPCs",235,Java,54,8069,448,81,2021-08-02 07:27:52,448
googlesamples/android-vision,2015-07-01 21:40:31,Deprecated: The Mobile Vision API is now a part of ML Kit: Check out this repo:,1802,Java,324,735,2886,242,2021-08-12 09:16:39,2886
googlesamples/easypermissions,2015-12-22 18:05:53,Simplify Android M system permissions,1400,Java,12,635,9196,274,2021-08-16 19:33:41,9196
googlesamples/android-play-safetynet,2016-10-28 02:01:41,Samples for the Google SafetyNet Attestation API,116,Java,22,407,220,25,2021-08-16 09:07:36,220
googlesamples/testloopmanager,2017-05-11 11:18:43,,15,Java,1,177,8,15,2021-05-04 07:35:59,8
googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,2018-02-21 16:36:37,,9,Java,0,4115,15,11,2021-08-10 05:10:34,15
googlesamples/sceneform-samples,2018-08-08 00:18:33,Sceneform samples for 3D rendering for ARCore in Java.,21,Java,4,19502,81,15,2021-07-28 01:47:30,81
googlesamples/sceneform-poly-browser,2018-12-19 21:45:19,,5,Java,0,130,6,6,2020-10-01 06:03:25,6
googlesamples/identity-appflip-tester-android,2019-10-08 18:39:13,Lightweight Android app that simulates the Google app role during App Flip,9,Java,1,186,8,19,2020-09-19 08:40:15,8
googlesamples/identity-appflip-android,2019-10-08 18:43:05,Lightweight Android app that simulates your native app role during App Flip,7,Java,2,211,16,23,2021-08-09 07:19:08,16
googlesamples/glass-enterprise-samples,2020-01-15 05:41:57,Glass Enterprise Edition 2 Samples,53,Java,2,730,89,25,2021-07-15 18:52:21,89
googlesamples/mlkit,2020-05-28 21:40:38,A collection of sample apps to demonstrate how to use Google's ML Kit APIs on Android and iOS,1227,Java,42,47002,1360,83,2021-08-17 14:05:25,1360
googlesamples/gboard-dev-samples,2021-02-03 22:29:17,,0,Java,0,1165,2,6,2021-05-22 16:05:01,2
googlesamples/arcore-ml-sample,2021-05-18 13:56:59,,4,Java,1,774,21,7,2021-08-08 14:08:18,21
