full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
spring-guides/gs-rest-service,2013-04-12 14:54:36,Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.,1913,Java,8,1543,1058,108,2021-08-17 08:18:40,1058
spring-guides/gs-scheduling-tasks,2013-04-17 16:58:47,Scheduling Tasks :: Learn how to schedule tasks with Spring.,125,Java,1,994,84,27,2021-08-16 01:09:20,84
spring-guides/gs-consuming-rest,2013-04-18 00:18:20,Consuming a RESTful Web Service :: Learn how to retrieve web page data with Spring's RestTemplate.,221,Java,2,1098,125,28,2021-08-13 21:28:05,125
spring-guides/gs-gradle,2013-04-19 13:35:45,Building Java Projects with Gradle :: Learn how to build a Java project with Gradle.,600,Java,3,406,110,36,2021-08-16 02:07:05,110
spring-guides/gs-maven,2013-04-19 13:36:09,Building Java Projects with Maven :: Learn how to build a Java project with Maven.,461,Java,1,165,117,39,2021-08-15 01:29:54,117
spring-guides/gs-relational-data-access,2013-04-19 16:30:04,Accessing Relational Data using JDBC with Spring :: Learn how to access relational data with Spring.,119,Java,5,1132,51,25,2021-08-02 14:38:49,51
spring-guides/gs-uploading-files,2013-04-23 21:11:14,Uploading Files :: Learn how to build a Spring application that accepts multi-part file uploads.,402,Java,18,985,357,35,2021-08-13 08:30:30,357
spring-guides/gs-authenticating-ldap,2013-04-24 15:42:14,Authenticating a User with LDAP :: Learn how to secure an application with LDAP.,124,Java,5,1124,60,28,2021-07-07 20:30:49,60
spring-guides/gs-messaging-redis,2013-05-01 15:24:22,Messaging with Redis :: Learn how to use Redis as a message broker.,76,Java,4,1108,66,25,2021-07-14 15:04:48,66
spring-guides/gs-messaging-rabbitmq,2013-05-01 20:36:40,Messaging with RabbitMQ :: Learn how to create a simple publish-and-subscribe application with Spring and RabbitMQ.,178,Java,5,878,128,32,2021-08-05 12:29:10,128
spring-guides/gs-accessing-data-neo4j,2013-05-02 17:00:12,Accessing Data with Neo4j :: Learn how to persist objects and relationships in Neo4j's NoSQL data store.,38,Java,3,1073,29,26,2021-07-06 19:16:38,29
spring-guides/gs-validating-form-input,2013-05-03 19:43:54,Validating Form Input :: Learn how to perform form validation with Spring.,100,Java,0,1845,96,29,2021-08-15 10:37:29,96
