full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count
aws-samples/java-meme-generator-sample,2012-12-08 01:08:19,"Sample code for a java application that uses Elastic Beanstalk, S3, DynamoDB, and SQS to create a meme generation website and processing pipeline.  For a demonstration of the application in action, see this talk from AWS re:Invent 2012: http://www.youtube.com/watch?v=YeRNErD81VA",34,Java,1,66,48,35,2021-07-02 07:18:59,48
aws-samples/aws-dynamodb-examples,2013-06-26 17:23:19,DynamoDB Examples,151,Java,1,319,269,37,2021-08-16 17:58:12,269
aws-samples/aws-mobile-sample-wif,2013-07-08 16:38:41,,6,Java,0,21,2,43,2017-12-18 23:38:37,2
aws-samples/aws-java-sample,2013-09-10 23:05:07,Sample project to demonstrate usage of the AWS SDK for Java,288,Java,14,75,213,44,2021-08-10 08:28:32,213
aws-samples/reinvent2013-mobile-photo-share,2013-11-08 17:26:36,,12,Java,0,17642,21,46,2019-12-06 06:12:49,21
aws-samples/aws-mobile-self-paced-labs-samples,2014-10-15 16:02:45,,15,Java,0,8736,13,33,2020-04-07 02:58:04,13
aws-samples/amazon-cognito-developer-authentication-sample,2015-01-07 21:52:10,,45,Java,8,209,92,40,2021-01-26 16:44:32,92
aws-samples/amazon-kinesis-learning,2015-03-30 04:28:21,Learning Amazon Kinesis Development,118,Java,7,47,89,24,2021-08-10 03:18:14,89
aws-samples/aws-device-farm-sample-app-for-android,2015-08-07 23:17:36,AWS Device Farm sample Android app,176,Java,12,41227,150,51,2021-08-12 06:07:20,150
aws-samples/aws-device-farm-appium-tests-for-sample-app,2015-08-07 23:19:53,AWS Device Farm Appium tests,73,Java,9,220,79,55,2021-08-09 17:34:33,79
aws-samples/aws-codedeploy-sample-tomcat,2015-12-15 18:26:23,A sample Tomcat application integrated with CodeDeploy. ,855,Java,8,1388,84,31,2021-08-14 20:29:16,84
aws-samples/aws-device-farm-sample-web-app-using-appium,2016-01-08 19:09:31,How to test a web application using AWS Device Farm and Appium,11,Java,1,10,12,22,2020-08-16 08:10:23,12
aws-samples/eb-tomcat-snakes,2016-01-22 23:05:23,Tomcat application that shows the use of Amazon RDS in a Java EE web application in AWS Elastic Beanstalk.,162,Java,1,7207,72,16,2021-07-24 20:57:22,72
aws-samples/aws-iotbot,2016-07-26 23:47:00,"IoTbot: Controlling and Integrating the GoPiGo Raspberry Pi robot with AWS IoT using Node.js, Android and Amazon Echo",14,Java,1,287,39,15,2021-06-22 07:36:03,39
aws-samples/aws-s3-artifact-manager-sample,2016-07-29 16:13:09,,9,Java,0,16,6,18,2021-02-23 07:38:25,6
aws-samples/lambda-java8-dynamodb,2016-09-16 18:36:49,,76,Java,0,35,116,59,2021-06-05 06:24:16,116
aws-samples/eb-java-scorekeep,2016-10-31 18:08:30,RESTful web API in Java with Spring that provides an HTTP interface for creating and managing game sessions and users.,171,Java,3,1065,201,31,2021-07-29 10:53:50,201
aws-samples/mturk-code-samples,2017-01-30 21:31:58,Code samples to help you get started with the Amazon Mechanical Turk Requester API,51,Java,2,33,135,14,2021-08-01 18:03:45,135
aws-samples/aws-photosharing-example,2017-03-23 17:43:10,"This is a classic three-tier application written in Java 8 to easily upload and share photos, the application is just for demo purposes to show how scalable Java web applications can be build using Amazon Elastic Beanstalk.",17,Java,1,187,21,5,2021-06-29 03:44:14,21
aws-samples/flink-stream-processing-refarch,2017-03-31 17:30:51,"Reference architecture for real-time stream processing with Apache Flink on Amazon EMR, Amazon Kinesis, and Amazon Elasticsearch Service.",33,Java,0,105,63,10,2021-08-02 18:13:28,63
aws-samples/amazon-ecs-java-microservices,2017-06-08 20:08:29,This is a reference architecture for java microservice on Amazon ECS,277,Java,11,31918,305,87,2021-08-06 03:51:55,305
aws-samples/serverless-codecommit-examples,2017-07-27 06:24:06,Examples of serverless automation to process CodeCommit repository changes using CloudWatch Events. ,13,Java,1,70,8,37,2020-01-19 04:17:26,8
aws-samples/aws-cognito-java-desktop-app,2017-09-20 17:45:43,Sample Java Desktop App with Cognito User Pools,71,Java,2,186,84,26,2021-08-10 07:49:07,84
aws-samples/blog-multi-region-serverless-service,2017-11-03 19:47:23,Blog code for deploying a Serverless API into multiple regions,22,Java,0,11,31,34,2021-05-17 00:16:10,31
aws-samples/ecs-opentracing,2017-11-08 21:22:54,"This github repo demonstrates tracing of two sample applications, one written in Java and another in Python deployed on Amazon Elastic Container Service (Amazon ECS), using an OpenTracing tracer, CNCF Jaeger - https://www.jaegertracing.io/. Both the Applications and the Opentracing tracers will run as containers in a Task on an Amazon ECS cluster.",7,Java,0,7959,5,35,2021-07-11 03:26:22,5
aws-samples/reactive-refarch-cloudformation,2017-11-09 21:03:54,"Reactive Microservices Architectures with Amazon ECS, AWS Lambda, Amazon Kinesis Streams, Amazon ElastiCache, and Amazon DynamoDB",50,Java,0,1438,117,15,2021-07-12 01:05:24,117
aws-samples/amazon-cloud-directory-sample,2017-11-13 18:39:24,"Sample code enables customer to create a schema, create a directory using the schema, populate the directory with objects and then query the directory for objects. Finally we clean all the objects, the schema and the directory.",7,Java,1,182,3,2,2020-06-22 03:18:00,3
aws-samples/emr-presto-query-event-listener,2017-12-05 18:21:06,Implementation of the query event listener plugin in Java to log Presto statistics on Amazon EMR for auditing and performance insights,18,Java,1,23,12,9,2020-10-13 02:50:44,12
aws-samples/amazon-sumerian-arcore-starter-app,2018-02-06 00:06:40,A sample Android project that demonstrates how to create a simple augmented reality experience using Google's ARCore with the Amazon Sumerian service.,34,Java,2,963,46,10,2021-06-23 02:03:14,46
aws-samples/amazon-workmail-demo-ews-push-notifications,2018-02-06 19:13:06,A sample application demonstrating the use of EWS Push Notifications. It creates a push responder using AWS Lambda and API Gateway to respond to changes in your mailbox.,2,Java,0,18,8,1,2021-07-13 14:30:16,8
aws-samples/aws-amazonmq-apachecamel-sample,2018-04-17 17:23:18,Sample code showing how to use camel to connect to Amazon MQ and other AWS services,3,Java,0,9,4,2,2018-12-19 15:55:05,4
aws-samples/amazon-kinesis-socket-server-sample,2018-04-24 18:15:09,Sample Java application that uses the Amazon Kinesis Client Library to read a Kinesis Data Stream and output data records to connected clients over a TCP socket.,3,Java,0,15,4,2,2020-04-01 13:45:04,4
aws-samples/emr-tls-security,2018-05-07 19:50:03,An example of a EMR TLS Custom Certificate Provider,7,Java,1,27970,8,8,2021-05-28 02:35:28,8
aws-samples/kubernetes-for-java-developers,2018-05-21 23:37:03,"A Day in Java Developer’s Life, with a taste of Kubernetes",243,Java,10,60937,526,55,2021-08-13 17:02:42,526
aws-samples/amazon-mq-workshop,2018-06-19 17:10:16,"This is self-paced workshop designed to allow solutions architects, developers and system administrators to get hands on with Amazon MQ.",41,Java,2,107328,43,5,2021-05-21 02:27:50,43
aws-samples/aws-xray-apache-kafka-sample,2018-06-26 20:06:24,Trace end-to-end performance of messaging applications built on Apache Kafka using AWS X-Ray,4,Java,0,42,4,7,2021-07-23 05:18:38,4
aws-samples/aws-dms-cdc-sample,2018-06-28 20:04:27,AWS Lambda and CloudFormation code for loading CDC data from Relational databases to Amazon Kinesis using Database Migration Service.,9,Java,0,8521,11,4,2020-11-26 03:59:20,11
aws-samples/aws-sqlagentjob-to-stepfunctions,2018-07-19 19:04:24,Replace SQL Server Agent Job with Step Functions,3,Java,0,13,0,4,2020-05-11 19:54:00,0
aws-samples/aws-device-farm-appium-cucumber-tests-for-sample-app,2018-08-16 21:18:33,Sample Appium Cucumber tests for Android sample app that can be used on AWS Device Farm.,19,Java,0,168,16,12,2021-05-05 23:40:34,16
aws-samples/aws-sam-java-rest,2018-08-17 19:39:39,A sample REST application built on SAM and DynamoDB that demonstrates testing with DynamoDB Local.,125,Java,16,51,314,21,2021-08-17 18:22:56,314
aws-samples/aws-cloudhsm-jce-examples,2018-08-23 22:03:27,Sample applications demonstrating how to use the CloudHSM JCE,40,Java,8,104,25,17,2021-04-29 16:39:13,25
aws-samples/realtime-bushfire-alert-with-apache-flink-cep,2018-08-29 16:54:40,Code and documentation for the demonstration example of the real-time bushfire alerting with the Complex Event Processing (CEP) in Apache Flink on Amazon EMR and a simulated IoT sensor network as described on the AWS Big Data Blog: Real-time bushfire alerting with Complex Event Processing in Apache Flink on Amazon EMR and IoT sensor network.,7,Java,0,20159,19,7,2021-06-29 10:49:05,19
aws-samples/aws-lambda-sap-oauth,2018-09-05 21:02:17,Generate OAuth tokens from a backend SAP ABAP system using OpenSAML2 library and AWS Lambda,5,Java,0,46,8,5,2021-04-29 17:57:31,8
aws-samples/cloudwatch-agent-demo-custom-metrics,2018-09-11 23:30:21,A demo to use custom metrics support on CloudWatch Agent,8,Java,0,49132,6,8,2020-10-13 22:39:14,6
aws-samples/iot-reference-architectures,2018-09-17 21:10:43,The repo is a place to store sequence diagrams and reference architectures that we refer to in IoT presentations. It also contains code that generates some of the sequence and architecture diagrams programmatically so they can be kept up to date.,43,Java,18,2266,82,16,2021-08-17 14:30:29,82
aws-samples/aws-blog-athena-custom-jdbc-credentials,2018-09-21 19:46:16,The repository demonstrates use cases for running queries using Athena utilizing a custom JDBC credentials provider,9,Java,3,8,4,1,2021-06-02 21:47:56,4
aws-samples/aws-transcribe-streaming-example-java,2018-10-18 22:28:10,Example Java Application using AWS SDK creating streaming transcriptions via AWS Transcribe,42,Java,6,44,56,10,2021-05-22 17:03:48,56
aws-samples/reinvent-2018-social-news-app,2018-10-31 19:25:32,Build a social news app.,8,Java,0,16549,8,12,2019-12-29 19:08:04,8
