framework,path,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,spring-guides/gs-multi-module,968,363,263,2543,158,675,1170,0,16,69,12,67,0,10,3491,2287,2418,0,0,0
spring,spring-guides/gs-messaging-stomp-websocket,1029,390,279,2706,168,689,1252,0,16,78,12,71,0,10,3802,2455,2573,0,0,0
spring,spring-guides/gs-messaging-rabbitmq,1079,419,300,2875,179,755,1340,0,16,81,13,75,0,10,4035,2621,2742,0,0,0
spring,spring-guides/gs-messaging-jms,1109,446,321,3102,190,823,1424,0,16,84,13,79,0,10,4303,2796,2913,0,0,0
spring,spring-guides/gs-gradle,1121,457,330,3102,196,860,1487,0,16,88,13,79,0,10,4379,2819,2913,0,0,0
spring,spring-guides/gs-consuming-web-service,1150,472,342,3243,202,862,1570,0,16,92,15,83,0,11,4556,2971,3054,0,0,0
spring,spring-guides/gs-consuming-rest,1188,495,360,3425,212,928,1664,0,16,95,15,87,0,11,4816,3145,3236,0,0,0
spring,spring-guides/gs-client-side-load-balancing,1209,529,390,3637,230,932,1740,0,16,98,17,97,0,11,5090,3370,3448,0,0,0
spring,spring-guides/gs-centralized-configuration,1258,599,437,3890,263,1010,1809,0,16,102,17,101,0,11,5445,3620,3701,0,0,0
spring,spring-guides/gs-authenticating-ldap,1352,636,458,4083,276,1079,1843,0,16,106,17,105,0,11,5709,3799,3886,0,0,0
spring,spring-guides/gs-accessing-mongodb-data-rest,20,15,12,139,8,0,88,0,0,1,0,4,0,0,173,140,139,0,0,0
spring,spring-guides/gs-accessing-data-rest,47,30,24,278,16,0,180,0,0,2,2,8,0,0,342,278,278,0,0,0
spring,spring-guides/gs-accessing-data-mysql,75,49,36,429,24,4,274,0,0,5,5,12,0,0,536,432,429,0,0,0
spring,spring-guides/gs-accessing-data-jpa,115,70,52,608,32,67,317,0,0,9,5,16,0,0,800,599,608,0,0,0
spring,spring-guides/getting-started-guides,138,98,74,765,40,71,395,0,0,12,5,20,0,0,990,758,765,0,0,0
spring,spring-guides/gs-accessing-data-gemfire,172,120,90,916,46,128,420,0,0,28,5,24,0,0,1238,924,916,0,0,0
spring,spring-guides/gs-validating-form-input,224,153,111,1101,61,192,449,0,0,31,5,28,0,0,1528,1095,1099,0,0,0
spring,spring-guides/gs-testing-restdocs,241,164,119,1137,67,192,463,0,0,32,5,34,0,0,1582,1123,1135,0,0,0
spring,spring-guides/gs-spring-boot-for-azure,248,178,131,1278,73,196,535,0,0,35,5,38,0,0,1755,1266,1276,0,0,0
spring,spring-guides/gs-rest-hateoas,294,199,149,1459,81,263,620,0,0,42,5,42,0,2,1997,1443,1457,0,0,0
spring,spring-guides/gs-reactive-rest-service,321,215,163,1610,85,267,701,0,0,45,7,46,0,2,2171,1588,1608,0,0,0
spring,spring-guides/gs-messaging-redis,358,245,184,1796,98,335,780,0,0,48,7,50,0,2,2417,1758,1792,0,0,0
spring,spring-guides/gs-messaging-gcp-pubsub,376,265,196,1957,102,339,859,0,0,51,7,56,0,2,2603,1917,1953,0,0,0
spring,spring-guides/gs-managing-transactions,398,284,212,2120,108,394,936,0,0,54,7,60,0,2,2813,2077,2116,0,0,0
spring,spring-guides/gs-integration,413,305,228,2308,114,456,996,0,0,57,7,64,0,2,3042,2245,2289,0,0,0
spring,spring-guides/gs-handling-form-submission,443,326,244,2470,122,499,1066,0,0,60,9,68,0,2,3268,2408,2451,0,0,0
spring,spring-guides/gs-gateway,457,340,256,2623,128,503,1138,0,0,63,10,72,0,2,3451,2561,2604,0,0,0
spring,spring-guides/gs-contract-rest,525,379,288,2832,145,507,1216,0,0,68,10,81,0,2,3729,2779,2813,0,0,0
spring,spring-guides/gs-circuit-breaker,570,415,316,3046,161,511,1280,0,0,71,10,85,0,2,3989,2996,3027,0,0,0
spring,spring-guides/gs-caching-gemfire,602,433,332,3211,167,563,1349,0,0,75,10,89,0,2,4206,3168,3192,0,0,0
spring,spring-guides/gs-caching,662,449,344,3357,175,567,1433,0,0,78,10,93,0,2,4392,3320,3338,0,0,0
spring,spring-guides/gs-batch-processing,724,480,362,3532,185,637,1524,0,0,84,10,97,0,2,4640,3484,3513,0,0,0
spring,spring-guides/gs-async-method,769,501,378,3697,193,691,1612,0,0,88,10,101,0,2,4862,3650,3678,0,0,0
spring,spring-guides/gs-actuator-service,811,527,396,3870,201,761,1649,0,0,92,12,105,0,2,5114,3827,3851,0,0,0
spring,spring-guides/gs-accessing-vault,821,542,408,4019,207,765,1723,0,0,96,12,109,0,2,5295,3980,4000,0,0,0
spring,spring-guides/gs-accessing-neo4j-data-rest,848,558,420,4165,215,765,1809,0,0,97,12,113,0,2,5493,4130,4146,0,0,0
spring,spring-guides/gs-accessing-gemfire-data-rest,865,570,432,4315,221,765,1873,0,0,98,12,117,0,2,5662,4278,4296,0,0,0
spring,spring-guides/gs-accessing-data-neo4j,917,602,453,4503,234,830,1911,0,0,102,12,121,0,2,5974,4478,4484,0,0,0
spring,spring-guides/gs-accessing-data-mongodb,949,625,471,4684,242,894,1953,0,0,108,12,125,0,2,6250,4654,4665,0,0,0
spring,spring-guides/tut-spring-boot-oauth2,1086,626,472,4809,242,894,2084,0,0,108,66,128,0,2,6313,4654,4790,0,0,0
spring,spring-guides/quoters,1105,630,475,4813,244,894,2087,0,0,108,68,130,0,2,6327,4656,4794,0,0,0
