framework,path,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
android,samizerouta/android-AutofillFramework,127,3,0,4,0,0,0,0,0,0,0,0,0,157,14,0,0,0,1,0
android,packmad/android-AutofillFramework,253,7,0,185,0,0,0,0,2,0,0,0,0,431,51,2,0,0,1,0
android,polluxx/android-AutofillFramework,253,7,0,189,0,0,0,0,2,0,0,0,0,431,51,2,0,0,1,0
android,UVCC/android-AutofillFramework,253,7,0,189,0,3,0,0,2,0,0,0,0,431,51,2,0,0,1,0
android,wmh-demos/android-AutofillFramework,273,10,0,189,0,3,0,0,2,0,0,0,0,431,56,6,0,0,1,0
android,bourica2017/android-AutofillFramework,273,10,0,189,0,3,0,0,2,0,1,0,0,431,56,6,0,0,1,0
android,gaoliyao/android-AutofillFramework,273,10,0,189,0,5,0,0,2,0,1,0,0,431,56,6,0,0,1,0
android,dlarsonks/android-AutofillFramework,311,13,0,235,0,7,0,0,2,0,1,0,20,431,66,14,0,0,4,0
android,ccstaylightc/android-AutofillFramework,313,13,0,235,0,7,0,0,2,0,1,0,20,431,67,14,0,0,4,0
android,sandeepgoyalsoftmine/location-samples,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
android,Robert77a691/location-samples,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
android,mpa19/location-samples,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
android,dejandobnikar/location-samples,5,1,0,3,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0
android,kielack/location-samples,5,1,0,3,0,1,0,0,0,0,3,0,1,0,2,2,0,0,1,0
android,SardarKhan299/location-samples,8,1,0,5,0,1,0,0,0,0,3,0,1,0,2,2,0,0,2,0
android,MeghanaBasutkar2/location-samples,17,3,1,15,1,1,0,0,0,0,3,0,1,0,19,4,0,0,4,0
