framework,path,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
android,googlesamples/android-AutofillFramework,617,22,5,579,2,23,0,2,4,0,2,0,77,394,587,38,0,0,31,0
android,googlesamples/android-play-location,783,116,32,907,43,92,0,24,4,0,2,0,171,394,1174,297,0,0,82,0
android,googlesamples/google-services,1076,276,118,1284,93,231,0,35,6,14,5,0,171,486,4446,955,0,0,139,0
android,googlesamples/easypermissions,1423,309,136,1341,98,294,0,35,6,14,5,0,171,486,4640,1071,0,0,155,0
android,googlesamples/android-testing,1778,514,171,1899,130,465,0,39,8,23,17,0,201,486,6659,2380,0,0,360,0
android,googlesamples/android-Camera2Basic,1798,528,173,1958,132,491,0,45,10,23,17,0,210,486,6733,2410,0,0,368,0
android,googlesamples/android-credentials,1843,539,178,2012,137,503,0,45,10,25,17,0,210,486,6809,2430,0,0,373,0
android,googlesamples/android-EmojiCompat,1850,547,180,2027,139,511,0,47,10,25,17,0,217,486,6848,2445,0,0,376,0
android,googlesamples/android-instant-apps,1964,645,203,2459,161,574,0,63,10,33,17,0,257,500,7712,2894,0,0,492,0
android,googlesamples/android-nearby,2051,671,214,2599,171,599,0,63,10,33,17,0,257,500,7941,2943,0,0,504,0
android,googlesamples/android-AppUsageStatistics,2062,680,215,2628,172,614,0,66,10,33,17,0,257,500,7981,2960,0,0,505,0
android,googlesamples/android-custom-lint-rules,2097,701,227,2632,179,632,0,66,10,33,17,0,263,500,8049,2995,0,0,509,0
android,googlesamples/android-play-billing,2287,754,240,2892,192,683,0,73,10,33,17,0,470,574,8736,3140,0,0,558,0
android,googlesamples/android-vision,2489,813,260,3028,212,689,0,74,10,33,17,0,470,574,8956,3239,0,0,585,0
android,googlesamples/android-ads,2723,932,282,3386,238,755,0,112,10,33,17,0,470,591,9702,3529,0,0,671,0
android,googlesamples/android-SpeedTracker,2792,948,286,3487,242,783,0,117,10,33,17,0,470,591,9904,3616,0,0,691,0
android,googlesamples/android-BluetoothLeGatt,2800,958,287,3529,243,805,0,121,10,33,17,0,470,591,9949,3636,0,0,693,0
android,googlesamples/android-Camera2Raw,2809,967,288,3553,244,820,0,123,10,33,17,0,470,591,9982,3652,0,0,695,0
android,googlesamples/android-WifiRttScan,2813,969,289,3577,245,823,0,124,10,33,17,0,470,591,10006,3654,0,0,696,0
android,googlesamples/android-ActionBarCompat-ShareActionProvider,2823,976,290,3619,246,840,0,128,10,33,17,0,470,591,10051,3669,0,0,700,0
android,googlesamples/android-testdpc,5625,990,297,4956,253,866,0,128,17,34,17,0,470,591,10522,3935,0,0,808,0
android,googlesamples/android-PictureInPicture,5637,999,299,5010,255,878,0,134,17,34,17,0,482,591,10574,3953,0,0,812,0
android,googlesamples/android-ActivitySceneTransitionBasic,5677,1011,304,5080,258,902,0,142,17,34,17,0,482,591,10645,3977,0,0,818,0
