framework,path,java,properties,jar,xml,bat,md,adoc,yaml,txt,sh,yml,cmd,kt,json,others,build.gradle,pom.xml,travis.yml,AndroidManifest.xml,readme.md
spring,UgmaDevelopment/tut-rest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,ShayRomayo/tut-rest,13,1,1,9,0,0,4,0,0,0,0,0,0,0,1,0,9,0,0,0
spring,jayy-lmao/tut-rest,14,1,1,9,0,0,5,0,0,0,0,0,0,0,1,0,9,0,0,0
spring,imshabbirali/tut-rest,14,1,1,9,0,0,5,0,0,0,0,0,0,0,4,0,9,0,0,0
spring,artisancreek/tut-rest,14,1,1,10,0,0,7,0,0,0,0,0,0,0,4,0,10,0,0,0
spring,mlvandijk/tut-rest,14,1,1,10,0,0,8,0,0,0,0,0,0,0,4,0,10,0,0,0
spring,lsegala/bankslips,107,4,1,25,0,4,10,0,2,0,0,0,0,0,6,0,25,0,0,0
spring,EvgeniiaVak/tut-bookmarks,107,4,1,25,0,4,13,0,2,0,0,0,0,0,6,0,25,0,0,0
spring,RavisankarCts/tut-bookmarks,107,4,1,27,0,4,13,0,2,0,0,0,0,0,6,0,27,0,0,0
spring,yefengchun/tut-bookmarks,107,4,1,27,0,4,13,0,2,0,0,0,0,0,7,0,27,0,0,0
spring,narraboss/tut-bookmarks,114,4,1,28,0,4,13,0,2,0,0,0,0,0,7,0,28,0,0,0
spring,xiangdewei/tut-bookmarks,114,4,1,28,0,4,13,0,3,0,0,0,0,0,7,0,28,0,0,0
spring,Srini4u/tut-bookmarks,114,4,1,28,0,4,14,0,3,0,0,0,0,0,8,0,28,0,0,0
spring,davidmeredith/tut-bookmarks,116,4,1,30,0,6,15,0,3,0,1,0,0,0,8,0,30,0,0,0
spring,tuhinkanti/tut-bookmarks,116,5,1,31,0,6,15,0,3,0,1,0,0,0,11,0,31,0,0,0
spring,piotrlochowski/academy-rest-maturity,195,6,1,40,0,13,16,0,5,0,1,0,0,0,13,0,40,0,0,0
spring,making/tut-bookmarks,202,7,1,48,0,13,16,0,5,0,1,0,0,0,14,0,48,0,0,0
spring,acemoo/gs-vault-config,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,chandransr/gs-spring-boot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,rajk1000/gs-spring-boot,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
spring,PitPietro/gs-spring-boot,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
spring,ashoklighthouse/gs-spring-boot,4,1,0,0,0,0,0,0,1,1,3,0,0,2,2,0,0,0,0,0
spring,diegit/gs-spring-boot,6,2,1,0,1,0,0,0,1,1,3,0,0,2,3,0,0,0,0,0
spring,vjytraining/gs-spring-boot,6,2,1,2,1,0,0,0,1,1,3,0,0,2,13,0,2,0,0,0
spring,tommycwu/okta-authn-java,7,2,1,2,1,0,0,0,1,1,3,0,0,2,13,0,2,0,0,0
spring,pinaki1234/gs-spring-boot,7,2,1,2,1,0,0,0,1,1,20,0,0,2,13,0,2,0,0,0
spring,srivatsansk/gs-spring-boot,7,2,1,4,1,0,0,0,1,1,20,0,0,2,13,0,4,0,0,0
spring,hoang0310/gs-spring-boot,7,2,1,4,1,0,3,0,1,1,20,0,0,2,13,0,4,0,0,0
spring,fake-deli-ca/gs-spring-boot,11,6,5,6,3,0,3,0,1,1,28,2,0,2,26,7,6,0,0,0
spring,vishalsinghdev/gs-spring-boot,12,6,5,6,3,0,3,0,1,1,30,2,0,2,36,7,6,0,0,0
