,,Java,Classes,Packages,LOC,PL,RFC,CLOC,CBO,NOC,LCOM,WMC,DIT,Class Variables,Class Methods,NIM,NIV,Local Methods,Methods,Default Methods,Private Methods,Protected Methods,Public Methods,BLOC,Declarative Line of Code,Executable Line of Code,Statements,Declarative Statements,Executable Statements,Comment to Code Ratio,questions
2013,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,5,0.37333333333333335,0.37333333333333335,0.0,0.9876543209876543,0.9932631578947368,1.0,0.8749999999999998,0.8791666666666667,0.0,0.0,1.0,0.0,0.9333333333333333,0.22222222222222224,1.0,0.3888888888888889,1.0,1.0,0.0,0.0,0.0,1.0,0.9467948717948718,0.9276729559748429,0.9368421052631579,0.9575757575757575,0.9375,0.9370370370370371,0.7916666666666663,0.0
2014,6,0.4,0.4,0.0,0.9814814814814815,1.0,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,1.0,0.8962264150943396,0.9736842105263158,0.9772727272727273,0.9375,0.9722222222222222,0.9659090909090907,0.0
2014,7,0.4,0.4,0.0,0.9907407407407407,0.9947368421052631,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.9423076923076923,0.8962264150943396,0.9868421052631579,0.9886363636363636,0.9375,0.9861111111111112,0.9375,0.0
2014,8,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2014,9,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2014,10,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2014,11,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2014,12,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2015,1,0.4,0.4,0.0,1.0,0.9873684210526316,0.8571428571428575,0.9374999999999998,0.875,0.0,0.0,0.9183673469387755,1.0,1.0,0.16666666666666669,0.8928571428571429,0.4166666666666667,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.875,0.8962264150943396,1.0,1.0,0.9375,1.0,0.9090909090909091,0.0
2015,2,0.6,0.6,0.0,0.9703703703703704,0.9726315789473684,0.8571428571428575,0.9999999999999999,1.0,0.0,1.0,0.8571428571428571,0.7999999999999998,0.8,9.25185853854297e-17,0.9285714285714287,1.0,0.8571428571428572,0.8571428571428575,0.0,0.0,0.0,0.8571428571428572,0.9153846153846155,0.9622641509433962,0.9473684210526315,0.9272727272727272,0.95,0.911111111111111,0.9999999999999999,0.0
