,,Buse Readability,Scalabrino Readability,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,Executable Line of Code,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2013,10,0.00015166927880834783,0.5225805071615512,0.4792993510832041,0.6257464259304661,0.5494043970979509,0.5498485099343872,0.5764172043032898,0.7079744478724868,1.0,0.5630738454416284,0.24902373805183745,0.0,0.0,0.0,0.10261963696369635,0.059662184803552114,0.0,0.4201425400163568,0.0,0.3377544272172827,0.5978697749196142,0.28971840209561234,0.0,0.0,0.36871458288501513,0.0,0.0,0.07355381697486936,0.0,0.0,0.0715406290457696,0.4738562091503265,0.0,0.0,0.0
2013,11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2834255480609242,1.0,1.0,0.7463992833023224,0.1745748678428123,0.29411764705882365,0.0,0.95418805873694,1.0,0.0,0.39212007504690366,0.0,1.0,1.0,0.39212007504690366,0.48740681039693873,0.0,0.43714060209719263,1.0,0.43426132899817044,0.0,1.0,1.0,0.4248366013071906,0.39212007504690366,1.0,0.0
2013,12,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2834255480609242,1.0,1.0,0.7463992833023224,0.1745748678428123,0.29411764705882365,0.0,0.95418805873694,1.0,0.0,0.39212007504690366,0.0,1.0,1.0,0.39212007504690366,0.48740681039693873,0.0,0.43714060209719263,1.0,0.43426132899817044,0.0,1.0,1.0,0.4248366013071906,0.39212007504690366,1.0,0.0
2014,1,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,2,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,3,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,4,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,5,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,6,0.0,0.33249132947859583,0.4455823722531722,0.5259423535455249,0.6072075711425984,0.6075947124253518,0.6182344579086378,0.5128376672440456,0.7881589729249256,0.7072827404380508,0.5596650229343318,1.0,1.0,1.0,1.0,1.0,0.6581196581196581,0.3252716438836313,0.9324577861163258,0.3750459254904843,0.9378349410503749,0.6353634577603144,0.9324577861163222,1.0,0.9984936518183771,1.0,0.6369871402327004,1.0,0.0,0.22580645161290105,0.37454877770162215,1.0,0.9324577861163258,0.05185185185185171,0.0
2014,7,0.1308243447526696,0.72245620984407,0.06915072388384041,0.08285115844583606,0.08996187703637913,0.09085882234488088,0.09410792230324831,0.10595461521015374,0.0814416181430281,0.09128686763581763,0.05097050495331227,0.2948797463992831,0.46653079421692856,0.2689075630252103,0.3811881188118814,0.28366782752306763,0.14529914529914525,0.5692253767963547,1.0,0.9546623557939604,0.2695605573419078,0.13398821218074655,1.0,0.32782591174692827,0.748870238863782,0.1042958619912058,0.05462339252908752,0.19264377159113982,0.0,0.12903225806451424,0.2168608636052092,0.0,1.0,0.08148148148148125,0.0
