AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,level,numberJavaFiles,packages,commitSha,commitDate,buse_readability,scalabrino_readability
2.2,1.9,2.2,1.0,13.2,0.4,11.7,0.7,1.6,9.6,7.2,0.1,,0.1,1.1,,,,3.4,2.1,3.5,17.3,0.0,1.0,0.5,2.0,,78.6,9.0,60.6,14.8,43.4,9.0,,,,27.0,35.9,11.8,27.3,,,,,,3.3,2.9,3.3,1.2,,2.1,1.1,,20.3,18.3,0.199,8.1,7.2,8.3,3.8,class,,,3b8b0594bc247c4ceb41f606dd82e9363de95c3f,2015-03-05 11:30:15+00:00,9.666835831012577e-05,0.5962862521276366
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,7.0,7.0,3b8b0594bc247c4ceb41f606dd82e9363de95c3f,2015-03-05 11:30:15+00:00,9.666835831012577e-05,0.5962862521276366
,,,,,,,,,,,,,,,,,,,,,,,,,,6.54054054054054,14.81081081081081,0.5675675675675675,13.108108108108109,2.108108108108108,10.135135135135135,1.135135135135135,5.513513513513513,3.918918918918919,0.2702702702702703,6.594594594594595,8.81081081081081,2.108108108108108,7.486486486486487,2.27027027027027,2.027027027027027,2.324324324324324,1.0810810810810811,1.135135135135135,,,,,0.10810810810810811,,0.5405405405405406,0.10810810810810811,,,0.13621621621621624,2.27027027027027,2.027027027027027,2.324324324324324,1.0810810810810811,method,,,8a2f3929323dcf6adc74c86e9444a1f77e6b9e8d,2015-03-05 11:52:47+00:00,9.666835831012577e-05,0.598810431489752
2.2,1.9,2.2,1.0,13.4,0.4,11.8,0.8,1.6,9.6,7.2,0.1,,0.1,1.2,,,,3.4,2.2,3.5,17.3,0.0,1.0,0.5,2.0,,80.1,9.2,61.6,15.0,44.3,9.3,,,,27.8,36.8,12.0,28.0,,,,,,3.4,3.0,3.4,1.2,,2.1,1.1,,20.4,18.5,0.20000000000000004,8.2,7.3,8.4,3.8,class,,,8a2f3929323dcf6adc74c86e9444a1f77e6b9e8d,2015-03-05 11:52:47+00:00,9.666835831012577e-05,0.598810431489752
,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,7.0,7.0,8a2f3929323dcf6adc74c86e9444a1f77e6b9e8d,2015-03-05 11:52:47+00:00,9.666835831012577e-05,0.598810431489752
,,,,,,,,,,,,,,,,,,,,,,,,,,6.681818181818182,15.659090909090908,0.5,13.818181818181818,2.4318181818181817,10.772727272727273,1.3636363636363635,6.136363636363637,3.7045454545454546,0.25,6.818181818181818,9.136363636363637,2.3863636363636362,7.795454545454546,2.2954545454545454,2.090909090909091,2.409090909090909,1.1363636363636365,1.1818181818181819,,,,,0.20454545454545456,,0.5227272727272727,0.20454545454545456,,,0.13113636363636363,2.2954545454545454,2.090909090909091,2.409090909090909,1.1363636363636365,method,,,baa0795018a9f84ffe3956844ad87155af259abc,2015-03-06 10:17:34+00:00,8.458481352136005e-05,0.5663659364489024
2.0,1.7692307692307692,2.0,1.0,12.692307692307692,0.23076923076923078,11.307692307692308,0.6923076923076923,1.4615384615384615,9.692307692307692,7.0,0.07692307692307693,,0.07692307692307693,1.0769230769230769,,,,3.230769230769231,1.9230769230769231,3.3076923076923075,16.923076923076923,0.0,1.0,0.38461538461538464,1.9230769230769231,,75.3076923076923,8.0,58.23076923076923,14.538461538461538,42.30769230769231,9.153846153846153,,,,26.23076923076923,34.84615384615385,11.846153846153847,26.76923076923077,,,,,,3.1538461538461537,2.8461538461538463,3.1538461538461537,1.3846153846153846,,2.076923076923077,1.0,,16.923076923076923,15.538461538461538,0.17076923076923078,7.6923076923076925,7.0,8.076923076923077,3.769230769230769,class,,,baa0795018a9f84ffe3956844ad87155af259abc,2015-03-06 10:17:34+00:00,8.458481352136005e-05,0.5663659364489024
,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project,8.0,7.0,baa0795018a9f84ffe3956844ad87155af259abc,2015-03-06 10:17:34+00:00,8.458481352136005e-05,0.5663659364489024
,,,,,,,,,,,,,,,,,,,,,,,,,,6.6440677966101696,16.06779661016949,0.3898305084745763,14.35593220338983,2.3559322033898304,11.186440677966102,1.3389830508474576,6.288135593220339,4.423728813559322,0.2542372881355932,7.0,9.542372881355933,2.5254237288135593,8.11864406779661,2.3389830508474576,2.1864406779661016,2.457627118644068,1.1355932203389831,1.0847457627118644,,,,,0.22033898305084745,,0.576271186440678,0.22033898305084745,,,0.12305084745762712,2.3389830508474576,2.1864406779661016,2.457627118644068,1.1355932203389831,method,,,d5141f7403a74db3a9ffdcbd33008dcd0f78a885,2015-03-06 15:53:16+00:00,6.766785081708804e-05,0.5802499055094791
1.85,1.7,1.85,1.0,11.5,0.15,10.45,0.6,1.3,8.7,6.05,0.1,,0.05,0.8,,,,3.15,1.35,3.2,17.0,0.0,0.8,0.35,2.05,,65.95,6.3,52.05,12.1,37.7,7.65,,,,23.2,31.6,10.5,24.5,,,,,,3.0,2.8,3.0,1.35,,2.1,1.0,,11.25,10.4,0.129,7.15,6.7,7.5,3.6,class,,,d5141f7403a74db3a9ffdcbd33008dcd0f78a885,2015-03-06 15:53:16+00:00,6.766785081708804e-05,0.5802499055094791
