AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,numberJavaFiles,commitSha,commitDate,readability,Kind,Name
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,f4d3bde005362f7231c220997f4f3fd68df43cd1,2015-05-28 11:57:52-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,cf9cd4a561e3d653c1d837531a5f9d3a0e0a5883,2015-07-09 11:09:39-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,9f6f1f2410913c56522b4620c94ebfc46d7caff6,2015-08-17 09:53:44-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,e5275c6490f25cfa027ee648a4d48c3b74853b4d,2015-08-20 23:45:16-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,7d5ce28d31c309a66a92bfa4111197c7557e5468,2015-10-08 17:41:48-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,a45b89a4812706973cb01194ae6ebe44f9e4bbb7,2015-11-18 09:32:29-08:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,52ba147424647f15de28270f0d6ddf75ba01ccdf,2016-01-11 18:24:25-08:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,483e62fef32e8f9c46ea87d33785aa9ce41f0676,2016-04-20 12:25:26-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,56cea95c309f32c0765482e6d4a1f32578c70090,2016-05-18 11:37:27-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,062b18f77b05ac06af5c1abf5267a664e9907145,2016-08-12 15:17:13-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,c5a7906bec2d663c855b9f97b26e08c760f5839a,2016-12-13 09:38:18-08:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,a7b71243afb1b51bd073cd10290556e906d255be,2017-05-17 13:31:00-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,6bc3dd27e10dcd59620dd30d40689344449bf5f0,2017-06-08 09:32:13-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,1cbffed582ed97249ab6107394780a7f12965ea5,2017-10-10 17:50:24-07:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,3aef70f2f8db90710716b5bf3522169aa90446c6,2018-02-15 16:34:08-08:00,0.00034567290673625064,,
12.0,11.0,12.0,10.0,111.0,8.0,64.0,36.0,14.0,33.0,8.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,41.0,14.0,60.0,180.0,1.0,5.0,3.0,51.0,0.0,879.0,134.0,442.0,144.0,238.0,305.0,0.0,0.0,0.0,185.0,287.0,136.0,151.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,31.0,12.0,0.0,16.0,9.0,0.0,401.0,291.0,7.0,81.0,76.0,84.0,62.0,11,4296ab5ef5c3a3ae342b4107b107ec000e8c01e5,2019-09-03 11:23:27-07:00,0.00034567290673625064,,
