numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
0,0.0,0.0,0.0
6,79.5,1.7272727272727273,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
3,14.0,1.0,0.2822569402633235
3,14.0,1.0,0.2822569402633235
4,14.5,1.0,0.31245978086371906
4,14.5,1.0,0.31245978086371906
4,14.25,1.0,0.3193237527739257
4,14.25,1.0,0.3493407078785822
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
5,16.0,1.3333333333333333,0.19937386369565505
5,16.0,1.3333333333333333,0.19937386369565505
0,0.0,0.0,0.0
5,16.0,1.3333333333333333,0.19645414518890905
5,16.0,1.3333333333333333,0.19645414518890905
1,21.0,1.5,0.0005584203754551709
1,21.0,1.5,0.0005584203754551709
5,16.0,1.3333333333333333,0.19645414518890905
2,12.5,1.0,0.2518688328564167
4,14.25,1.0,0.3462762068375014
4,14.25,1.0,0.3462762068375014
5,16.0,1.3333333333333333,0.19645414518890905
4,14.25,1.0,0.3462762068375014
5,16.0,1.3333333333333333,0.19645414518890905
5,15.8,1.3333333333333333,0.1979297071695328
8,8.625,1.0,0.6432398324541282
8,8.625,1.0,0.6432398324541282
5,15.8,1.3333333333333333,0.1979297071695328
5,15.8,1.3333333333333333,0.1979297071695328
10,9.4,1.3333333333333333,0.5767988875508309
10,9.4,1.3333333333333333,0.5767988875508309
10,9.4,1.3333333333333333,0.5767988875508309
0,0.0,0.0,0.0
0,0.0,0.0,0.0
8,8.625,1.0,0.6432398324541282
10,9.4,1.3333333333333333,0.5767988875508309
10,9.4,1.3333333333333333,0.5767988875508309
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
4,7.25,1.0,0.8671303987503052
1,55.0,1.5,0.0
1,55.0,1.5,0.0
1,55.0,1.5,0.0
1,55.0,1.5,0.0
2,6.5,1.0,0.902974545955658
2,6.5,1.0,0.902974545955658
4,7.25,1.0,0.8671303987503052
8,14.25,1.3333333333333333,0.28815327398478985
8,14.25,1.3333333333333333,0.28815327398478985
8,14.25,1.3333333333333333,0.2894722558557987
0,0.0,0.0,0.0
6,21.83333333333333,1.4285714285714286,0.008511030852484206
0,0.0,0.0,0.0
6,26.16666666666667,2.083333333333333,0.2529278372724851
6,26.16666666666667,2.083333333333333,0.2529278372724851
6,27.16666666666667,2.0,0.2773420345038176
6,26.5,2.083333333333333,0.1941601907213529
6,26.5,2.083333333333333,0.1941601907213529
6,26.5,2.083333333333333,0.1941601907213529
12,25.75,2.130434782608696,0.2363702344397704
11,27.54545454545455,2.130434782608696,0.2077251875942404
6,13.666666666666664,1.0,0.3148070821771398
0,0.0,0.0,0.0
3,18.0,1.0,0.034955223673023283
5,12.0,1.0,0.41644750367850064
7,15.142857142857142,1.0,0.2699909968235131
8,16.25,1.0,0.23637893280829306
5,13.2,1.0,0.4713550238870085
6,18.5,1.4444444444444444,0.44363530469127
6,18.166666666666668,1.4444444444444444,0.45484281354583794
6,18.166666666666668,1.4444444444444444,0.45484281354583794
8,23.25,1.0526315789473684,0.20917248811747413
6,21.83333333333333,1.4285714285714286,0.008511030852484206
8,16.25,1.0,0.23637893280829306
8,16.0,1.0,0.2364571655634791
8,16.25,1.0,0.23637893280829306
8,16.25,1.0,0.23637893280829306
8,16.25,1.0,0.23637893280829306
8,16.25,1.0,0.23637893280829306
8,16.25,1.0,0.23637893280829306
4,15.5,1.0,0.22312952944776046
8,16.0,1.0,0.2364571655634791
4,15.5,1.0,0.22312952944776046
4,15.5,1.0,0.22312952944776046
4,14.0,1.0,0.26420050306478515
4,15.5,1.0,0.22312952944776046
6,14.666666666666664,1.6,0.21051991148851806
4,15.5,1.0,0.22312952944776046
4,14.0,1.0,0.26420050306478515
4,14.0,1.0,0.26420050306478515
6,14.666666666666664,1.6,0.21051991148851806
